----  Field Name Corporate finance: 
----  Field Level 2.0: 
----  Field Papers Number 42427:
----  All time max citation paper: Common risk factors in the returns on stocks and bonds, 1993, (5985.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1910|0|0.0|Annals of The American Academy of Political and Social Science|Bibliography On Securities and Stock Exchanges
1938|1.0|1.0|Botanical Review|Competition among fungi
1942|1.0|1.0|Bulletin of Mathematical Biology|An expression for the rate of return of an egg after artificial deformation
1955|6.0|0.0|Journal of Dairy Science|Selection Indices Based on Milk and Fat Yield, Fat Per Cent, and Type Classification1
1958|2.0|1.5|Geochimica et Cosmochimica Acta|Cosmic-ray-induced radioactivities in meteoritesII Al 26 , Be 10 and Co 60 , aerolites, siderites and tektites
1959|1.0|1.0|Journal of Chemical Physics|Kinetics of the Thermal Decomposition of Dimethylmercury. I. Cyclopentane Inhibition
1960|2.0|1.0|Geochimica et Cosmochimica Acta|Dating galenas by means of their isotopic constitutionsII
1961|2.0|2.0|The Journal of Business|Dividend Policy, Growth, and the Valuation of Shares
1962|0|0.0|Tiers-monde|Accumulation du capital, structures sociales et syndicalisme
1963|3.0|1.5|Geochimica et Cosmochimica Acta|The sodium cycle and the age of the ocean
1965|8.0|8.0|The Review of Economics and Statistics|The valuation of risk assets and the selection of risky investments in stock portfolios and capital budgets
1966|0|0.0|Monthly Weather Review|ECONOMIC VALUE OF IMPROVED METHODS OF TRANSLATING WEATHER INFORMATION INTO OPERATIONAL TERMS1
1967|14.0|3.5|Brain Research|Ascending axon degeneration following hemisection of the spinal cord in the tegu lizard ( Tupinambis nigropunctatus )
1968|4.0|3.0|Archive for Rational Mechanics and Analysis|On the thermodynamics of materials with memory
1969|5.0|1.0|Journal of Dairy Science|Sire Evaluation for Economic Merit
1970|39.0|3.5|Journal of Finance|EFFICIENT CAPITAL MARKETS: A REVIEW OF THEORY AND EMPIRICAL WORK
1971|13.0|0.5||Theory of rational option pricing
1972|3.0|1.0||Valuation Models in Regulation
1973|6.0|0.0|Nature|Rapid Screening Assay for Revertants derived from MSV-transformed Cells
1974|17.0|2.0|Journal of Financial Economics|The effects of dividend yield and dividend policy on common stock prices and returns
1975|16.0|1.0||Economic analysis of projects
1976|17.0|1.0|Journal of Financial Economics|Theory of the firm: Managerial behavior, agency costs and ownership structure
1977|17.0|3.0|Journal of Financial Economics|Risk-adjusted discount rates and capital budgeting under uncertainty
1978|17.0|1.0|Cell|Template-determined, variable rate of RNA chain elongation
1979|48.0|1.0|Journal of Financial Economics|An intertemporal asset pricing model with stochastic consumption and investment opportunities
1980|47.0|2.0|Journal of Financial Economics|The Effects of Capital Structure Change on Security Prices: A Study of Exchange Offers
1981|33.0|2.0|Journal of Geophysical Research|The temporal and spatial distribution of tropospheric nitrous oxide
1982|15.0|2.0|Journal of Molecular Biology|Variable rate of polypeptide chain elongation for colicins A, E2 and E3
1983|36.0|2.0|Journal of Finance|International Portfolio Choice and Corporation Finance: A Synthesis
1984|41.0|2.0|Journal of Financial Economics|Convertible debt issuance, capital structure change and financing-related information: Some new evidence
1985|96.0|2.0|Nature|Production of transgenic rabbits, sheep and pigs by microinjection.
1986|124.0|2.0|Journal of Financial Economics|Investment banking and the capital acquisition process
1987|88.0|2.0|Neuroscience|Delayed neurotoxicity of excitatory amino acids In vitro
1988|86.0|2.0|Neuroscience|N-methyl-d-aspartate promotes the survival of cerebellar granule cells in culture
1989|46.0|2.0|Journal of Finance|Seasoned Offerings, Imitation Costs, and the Underpricing of Initial Public Offerings
1990|47.0|2.0|Journal of Financial Economics|Managerial discretion and optimal financing policies
1991|183.0|2.0|Journal of Finance|Efficient Capital Markets: II
1992|225.0|2.0|Journal of Finance|The CrossSection of Expected Stock Returns
1993|125.0|2.0|Journal of Financial Economics|Common risk factors in the returns on stocks and bonds
1994|73.0|2.0|IEEE Journal on Selected Areas in Communications|Design study for a CDMA-based third-generation mobile radio system
1995|57.0|2.0|Journal of the Academy of Marketing Science|Relationship Marketing of ServicesGrowing Interest, Emerging Perspectives
1996|71.0|2.0||A declarative language for querying and restructuring the Web
1997|91.0|3.0|Review of Financial Studies|A Markov Model for the Term Structure of Credit Risk Spreads
1998|146.0|3.0|Psychological Bulletin|The validity and utility of selection methods in personnel psychology : Practical and theoretical implications of 85 years of research findings
1999|178.0|3.0|Journal of Economic Literature|Financial Development and Economic Growth: Views and Agenda
2000|225.0|3.0|Journal of Economic Perspectives|Beyond Computation: Information Technology, Organizational Transformation and Business Performance
2001|169.0|3.0|Pediatrics|Costs of Juvenile Violence: Policy Implications
2002|145.0|3.0|Journal of The Royal Statistical Society Series B-statistical Methodology|Econometric analysis of realized volatility and its use in estimating stochastic volatility models
2003|176.0|4.0|IEEE Transactions on Wireless Communications|Capacity regions for wireless ad hoc networks
2004|181.0|4.0|Review of Financial Studies|Risks and Portfolio Decisions Involving Hedge Funds
2005|321.0|4.0|The American Economic Review|The Cyclical Behavior of Equilibrium Unemployment and Vacancies
2006|321.0|4.0|Nature|Neurons in the orbitofrontal cortex encode economic value
2007|268.0|4.0|Review of Financial Studies|Market Liquidity and Funding Liquidity
2008|409.0|4.0|Journal of the American College of Cardiology|Diagnostic Accuracy of 64-Slice Computed Tomography Coronary Angiography: A Prospective, Multicenter, Multivendor Study
2009|562.0|4.0|Annals of Medicine|EQ-SD: a measure of health status from the EuroQol Group
2010|625.0|4.0|Journal of Development Economics|A New Data Set of Educational Attainment in the World, 1950-2010
