----  Field Name Cybernetics: 
----  Field Level 2.0: 
----  Field Papers Number 31471:
----  All time max citation paper: Mean shift: a robust approach toward feature space analysis, 2002, (3663.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|0|0.0|Transactions of The American Institute of Electrical Engineers|Tensor Analysis of Multielectrode-Tube Circuits
1945|0|0.0||Pulse Response: A New Approach to A.C. Electric-Network Theory and Measurement
1946|16.0|16.0|The Journal of Pediatrics|The retention of electrolyte during recovery fromsevere dehydration due to diarrhea
1948|0|0.0||Network analysis by the chain-relaxation method
1950|1.0|1.0|Journal of Clinical Investigation|THE PARATHYROID GLANDS AND PHOSPHORUS HOMEOSTASIS 12
1952|4.0|0.0|Review of Educational Research|The School as a Social System
1954|0|0.0||The solution of a certain differential equation. Its usefulness in a particular application of silicon-carbide resistors
1956|1.0|1.0|Proceedings of The Iee Part C: Monographs|Electromagnetic momentum and electron inertia in a current circuit
1957|1.0|1.0|Child Development|THE PARENT-CHILD RELATION AS A SOCIAL SYSTEM: I. PARENT AND CHILD ROLES1
1958|2.0|1.0|Proceedings of The Iee Part C: Monographs|Tensor analysis of electrical machine hunting
1959|2.0|2.0|JAMA Pediatrics|The Association of Various Factors and Hypernatremic Diarrheal Dehydration
1960|1.0|0.5|Proceedings of The Iee Part B: Electronic and Communication Engineering|Fundamental and harmonic distortion of waves, frequency-modulated with a single tone
1961|3.0|2.0|Proceedings of The Iee Part C: Monographs|The algebra and topology of electrical networks
1962|2.0|0.0||AUGMENTING HUMAN INTELLECT: A CONCEPTUAL FRAMEWORK
1963|2.0|0.5|Proceedings of The Institution of Electrical Engineers|Notes on the use of matrix theory in the analysis of linear feedback circuits
1964|6.0|1.0|Annals of the New York Academy of Sciences|CONTROL IN BIOLOGICAL SYSTEMS  A PHYSICAL REVIEW *
1965|5.0|1.0|Proceedings of The Institution of Electrical Engineers|Sensitivity in some simple RC active networks
1966|9.0|1.0|Proceedings of the IEEE|AEDNET: A simulator for nonlinear networks
1967|12.0|3.0|Communications of The ACM|A computer system for inference execution and data retrieval
1968|14.0|1.0|Journal of Clinical Investigation|The mechanisms of sodium absorption in the human small intestine
1969|18.0|1.0|Journal of Clinical Investigation|The role of aminogenic glucagon secretion in blood glucose homeostasis
1970|13.0|1.0|JAMA Internal Medicine|A Possible Mechanism for Hypertension Induced by Oral Contraceptives: Diminished Feedback Suppression of Renin Release
1971|17.0|2.0|Journal of Clinical Investigation|On the Mechanism of Inhibition in Fluid Reabsorption by the Renal Proximal Tubule of the Volume-Expanded Rat
1972|20.0|1.0|Communications of The ACM|A study of storage partitioning using a mathematical model of locality
1973|27.0|1.0|Journal of Clinical Investigation|The Effect of Chronic Sodium Loading and Sodium Restriction on Plasma Prostaglandin A, E and F Concentrations in Normal Humans
