----  Field Name Data stream mining: 
----  Field Level 2.0: 
----  Field Papers Number 1171:
----  All time max citation paper: Models and issues in data stream systems, 2002, (1261.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1986|17.0|17.0|Machine Learning|Incremental Learning from Noisy Data
1988|1.0|1.0|Iee Proceedings F Communications, Radar and Signal Processing|Two-channel direct-bit detection receiver for 16-psk modulated signals
1989|3.0|3.0|international conference on computer design|FPC: a floating-point processor controller chip for systolic signal processing
1993|6.0|6.0||COBBIT - A Control Procedure for COBWEB in the Presence of Concept Drift
1995|3.0|1.5|international conference on artificial intelligence and law|Detecting change in legal concepts
1996|49.0|18.0|IEEE Journal on Selected Areas in Communications|Human perception of jitter and media synchronization
1997|23.0|3.5|Machine Learning|Empirical Support for Winnow and Weighted-MajorityAlgorithms: Results on a Calendar Scheduling Domain
1998|28.0|7.0|Machine Learning|Tracking the Best Disjunction
1999|11.0|4.0|knowledge discovery and data mining|Handling concept drifts in incremental learning with support vector machines
2000|76.0|4.0|high performance computer architecture|Register organization for media processing
2001|145.0|7.0|Sigmod Record|Continuous queries over data streams
2002|587.0|21.0|symposium on principles of database systems|Models and issues in data stream systems
2003|148.0|22.0|knowledge discovery and data mining|Mining concept-drifting data streams using ensemble classifiers
2004|93.0|12.0|international conference on data mining|Moment: maintaining closed frequent itemsets over a stream sliding window
2005|141.0|9.0|Sigmod Record|Mining data streams: a review
2006|288.0|8.0|very large data bases|The CQL continuous query language: semantic foundations and query execution
2007|72.0|6.0|IEEE Pervasive Computing|Data Management in the Worldwide Sensor Web
2008|51.0|3.0|IEEE Transactions on Fuzzy Systems|Evolving Fuzzy-Rule-Based Classifiers From Data Streams
2009|149.0|4.0|knowledge discovery and data mining|Collaborative filtering with temporal dynamics
2010|136.0|3.0|Journal of Statistical Software|rEMM: Extensible Markov Model for Data Stream Clustering in R
