----  Field Name Data warehouse: 
----  Field Level 2.0: 
----  Field Papers Number 52403:
----  All time max citation paper: Comparison of simple potential functions for simulating liquid water, 1983, (11054.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1939|4.0|4.0|Journal of Chemical Physics|InfraRed and Raman Spectra of Polyatomic Molecules VI. Triborine Triamine, B3N3H6
1953|20.0|10.0|Journal of Chemical Physics|FreeElectron Network Model for Conjugated Systems. I. Theory
1956|16.0|16.0|Journal of Chemical Physics|Electronic Interaction in the FreeElectron Network Model for Conjugated Systems. II. Spectra of Aromatic Hydrocarbons
1957|19.0|16.0|Journal of Chemical Physics|Iodine Complexes in Inert Solvents. III. Iodine Complexes with Methanol, Ethanol, or Diethyl Ether in Carbon Tetrachloride
1959|0|0.0|Journal of Chemical Physics|Substituted Methanes. XXIX. Vibrational Spectra, Potential Constants, and Calculated Thermodynamic Properties for Dibromochlorofluoromethane and Bromodichlorofluoromethane
1960|3.0|3.0|Journal of Chemical Physics|Electronic Interaction in the FreeElectron Network Model for Conjugated Systems. III. Spectra of Hydrocarbons Other Than Even Alternants
1961|4.0|2.0|Journal of Chemical Physics|Phase Transitions in the Ammonium Halides
1962|10.0|9.5|Biological Cybernetics|Zur Theorie der lateralen Inhibition
1963|6.0|0.5|Journal of Chemical Physics|Collisional Transition Probabilities for Vibrational Deactivation of Chemically Activated secButyl Radicals. The Rare Gases
1964|5.0|4.5|Journal of Geophysical Research|Seasonal variation of density and temperature over Churchill, Canada, during solar maximum
1965|1.0|0.0|Journal of Mathematical Physics|ROTATIONALLY-SYMMETRIC MODEL FIELD THEORIES
1966|4.0|4.0|Geophysical Prospecting|A THEORETICAL INVESTIGATION ON THE FORMATION FACTOR/PERMEABILITY/POROSITY RELATIONSHIP USING A NETWORK MODEL*
1967|12.0|4.0|Communications of The ACM|A computer system for inference execution and data retrieval
1968|13.0|6.0|Proceedings of the IEEE|Models for the generation of the motor output pattern in flying locusts
1969|28.0|5.0|IEEE Transactions on Microwave Theory and Techniques|Analysis of Interdigital Surface Wave Transducers by Use of an Equivalent Circuit Model
1970|14.0|1.0|Biochemical Genetics|Glutamate oxalate transaminase (GOT) genetics in Mus musculus: linkage, polymorphism, and phenotypes of the Got-2 and Got-1 loci.
1971|12.0|3.0|Biochemical Genetics|Biochemical polymorphisms in feral and inbred mice (mus musculus).
1972|14.0|1.0|Proceedings of the IEEE|Topological optimization of computer networks
1973|27.0|2.0|Communications of The ACM|A data definition and mapping language
1974|94.0|3.0|international conference on management of data|SEQUEL: A structured English query language
1975|47.0|5.0||INGRES: a relational data base system
1976|86.0|4.5|ACM Transactions on Database Systems|The design and implementation of INGRES
1977|128.0|3.0|Journal of Geophysical Research|A global thermospheric model based on mass spectrometer and incoherent scatter data MSIS, 2. Composition
1978|45.0|5.0|Communications of The ACM|An English language question answering system for a large relational database
1979|127.0|5.0|ACM Transactions on Database Systems|Extending the database relational model to capture more meaning
1980|44.0|4.0|ACM Transactions on Database Systems|A language facility for designing database-intensive applications
1981|96.0|3.0|FEBS Journal|A Network Model for the Organization of Type IV Collagen Molecules in Basement Membranes
1982|48.0|4.0|ACM Transactions on Database Systems|A simplied universal relation assumption and its properties
1983|109.0|3.0|Journal of Chemical Physics|Comparison of simple potential functions for simulating liquid water
1984|112.0|3.0|Journal of the ACM|On compiling queries in recursive first-order databases
1985|81.0|2.0|ACM Transactions on Database Systems|GALILEO: a strongly-typed, interactive conceptual language
1986|194.0|4.0|international conference on management of data|The design of POSTGRES
1987|196.0|3.0|ACM Computing Surveys|Semantic database modeling: survey, applications, and research issues
1988|148.0|3.0|Journal of Molecular Biology|Predicting the secondary structure of globular proteins using neural network models
1989|78.0|3.0|international conference on management of data|CLASSIC: a structural data model for objects
1990|156.0|3.0|ACM Computing Surveys|Federated database systems for managing distributed, heterogeneous, and autonomous databases
1991|86.0|3.0|architectural support for programming languages and operating systems|The cache performance and optimizations of blocked algorithms
1992|85.0|3.0|Journal of the ACM|Institutions: abstract model theory for specification and programming
1993|105.0|3.0|programming language design and implementation|Global optimizations for parallelism and locality on scalable parallel machines
1994|113.0|3.0|international conference on management of data|From structured documents to novel query facilities
1995|167.0|3.0|international conference on data engineering|Object exchange across heterogeneous information sources
1996|224.0|2.0|International Journal on Digital Libraries|The Lorel Query Language for Semistructured Data
1997|427.0|3.0|high performance computing|Globus: A Metacomputing Infrastructure Toolkit
1998|132.0|3.0|formal ontology in information systems|Formal Ontology and Information Systems
1999|681.0|4.0|IEEE Transactions on Information Theory|Space-time block codes from orthogonal designs
2000|1035.0|3.0|Nucleic Acids Research|The Pfam protein families database
2001|625.0|4.0|Nucleic Acids Research|The RDP-II (Ribosomal Database Project)
2002|661.0|4.0|acm/ieee international conference on mobile computing and networking|Wireless sensor networks for habitat monitoring
2003|484.0|4.0|Nucleic Acids Research|BINDThe Biomolecular Interaction Network Database
2004|530.0|4.0|Trends in Ecology and Evolution|Model selection in ecology and evolution
2005|3454.0|4.0||Data Mining: Concepts and Techniques
2006|488.0|4.0|Machine Learning|Markov logic networks
2007|525.0|4.0|Nucleic Acids Research|NCBI GEO: mining tens of millions of expression profilesdatabase and tools update
2008|749.0|2.0|Ecology|Spatial Autocorrelation: Trouble or New Paradigm?
2009|1288.0|2.0|International Journal on Semantic Web and Information Systems|Linked Data - The Story So Far
2010|789.0|3.0|IEEE Transactions on Knowledge and Data Engineering|A Survey on Transfer Learning
