----  Field Name Decorative arts: 
----  Field Level 2.0: 
----  Field Papers Number 2714:
----  All time max citation paper: A survey on context-aware systems, 2007, (720.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1974|0|0.0|Nuclear Engineering and Design|Foreseeable thermal, mechanical, and materials engineering problems of fusion reactor power plants
1975|2.0|2.0||Thermochemical Water Cracking Using Solar Heat
1976|30.0|30.0|Photochemistry and Photobiology|PHOTOSYNTHESIS AS A RESOURCE FOR ENERGY AND MATERIALS*
1977|5.0|1.0|Journal of Power Sources|Fuel cell assemblies with an acidic electrolyte
1978|33.0|1.0|ACM Transactions on Database Systems|Normalization and hierarchical dependencies in the relational data model
1979|6.0|1.0||A possible route to small, flexible fusion units
1980|0|0.0|Wear|Tribological properties of silicon carbide in metal removal process
1981|18.0|18.0|ACM Transactions on Database Systems|On the design of relational database schemata
1982|7.0|0.0||Second-Law Analysis in Heat Transfer and Thermal Design
1983|2.0|1.0||Precision Flexible Machining Cells within a Manufacturing System.
1984|27.0|0.5|ACM Transactions on Information Systems|The design requirements of office systems
1985|8.0|2.0|international conference on robotics and automation|Computer control of space-borne teleoperators with sensory feedback
1986|5.0|2.5|ACM Transactions on Database Systems|Incomplete information costs and database design
1987|18.0|3.0|european conference on object-oriented programming|An object modelling technique for conceptual design
1988|14.0|2.0|Engineering With Computers|Computer environments for the design of mechanical assemblies: A research review
1989|13.0|1.0|Advances in Space Research|Conceptual design for a mercury relativity satellite
1990|27.0|1.0|international conference on computer graphics and interactive techniques|DON: user interface presentation design assistant
1991|8.0|4.0|Computers & Structures|An expert system for the conceptual design of bridges
1992|29.0|1.0|ACM Transactions on Database Systems|On taxonomic reasoning in conceptual design
1993|51.0|3.0|ACM Transactions on Information Systems|HDMa model-based approach to hypertext application design
1994|18.0|1.0|IEEE Journal of Solid-state Circuits|Subthreshold-current reduction circuits for multi-gigabit DRAM's
1995|16.0|2.0||Conceptual design of a fast neutron operated high power energy amplifier
1996|30.0|2.0|Design Studies|The Electronic Cocktail Napkina computational environment for working with design diagrams
1997|50.0|1.0|International Journal of Cooperative Information Systems|DESIRE: Modelling Multi-Agent Systems in a Compositional Formal Framework
1998|41.0|3.0|hawaii international conference on system sciences|Conceptual design of data warehouses from E/R schemes
1999|20.0|2.0|Research in Engineering Design|A-Design: An Agent-Based Approach to Conceptual Design in a Dynamic Environment
2000|61.0|3.0|ACM Transactions on Information Systems|Model-driven development of Web applications: the AutoWeb system
2001|29.0|4.0|Design Studies|Modular product architecture
2002|106.0|3.5|IEEE Transactions on Magnetics|One terabit per square inch perpendicular recording conceptual design
2003|56.0|3.0|IEEE Transactions on Knowledge and Data Engineering|A fuzzy-logic based bidding strategy for autonomous agents in continuous double auctions
2004|56.0|3.5|international conference on computer graphics and interactive techniques|Modeling by example
2005|188.0|4.0|Journal of Membrane Science|Solid polymer electrolyte membranes for fuel cell applicationsa review
2006|76.0|4.0|Journal of Pain and Symptom Management|Symptom Cluster Research: Conceptual, Design, Measurement, and Analysis Issues
2007|459.0|4.5|ubiquitous computing|A survey on context-aware systems
2008|83.0|3.0|Fuel Processing Technology|Techno-economic study of different alternatives for biodiesel production
2009|51.0|4.0|Computers & Industrial Engineering|A hybrid approach to concept selection through fuzzy analytic network process
2010|76.0|4.0|Materials & Design|Shape morphing of aircraft wing: Status and challenges
