----  Field Name Digital image processing: 
----  Field Level 2.0: 
----  Field Papers Number 7475:
----  All time max citation paper: Watersheds in digital spaces: an efficient algorithm based on immersion simulations, 1991, (1762.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1966|8.0|8.0|Journal of the ACM|Sequential Operations in Digital Picture Processing
1967|28.0|28.0|Journal of Geophysical Research|Observations of the Earth's magnetic tail and neutral sheet at 510,000 kilometers by Explorer 33
1973|7.0|4.0|Pattern Recognition|A cellular logic array for image processing
1974|2.0|2.0||The GRAFIX I image processing system
1975|3.0|2.5|Journal of Geophysical Research|Acquisition and description of Mariner 10 television science data at Mercury
1976|6.0|3.0|IEEE Transactions on Computers|Parallel Detection of Concavities in Cellular Blobs
1977|1.0|1.0||Digital Image Processing and Recognition
1978|0|0.0|Computers & Electrical Engineering|A digital image system for atmospheric research
1979|7.0|2.5|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|Segmentation by texture using a co-occurrence matrix and a split-and-merge algorithm
1980|6.0|3.0|Pattern Recognition|Feature extraction for texture classification
1981|18.0|3.5|American Journal of Cardiology|Digital image processing of two dimensional echocardiograms: Identification of the endocardium
1982|6.0|2.0|Journal of Geophysical Research|Airglow characteristics of equatorial plasma depletions
1983|23.0|5.0|Communications of The ACM|A hierarchical data structure for multidimensional digital images
1984|26.0|2.0|Journal of Fluid Mechanics|A perspective view of the plane mixing layer
1985|39.0|1.0|Journal of Fluid Mechanics|Chaotic mode competition in parametrically forced surface waves
1986|41.0|3.0|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|Distance transformations in digital images
1987|39.0|2.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Morphological filters--Part I: Their set-theoretic analysis and relations to linear shift-invariant filters
1988|27.0|2.0|Journal of Cell Biology|Real-time observations of microtubule dynamic instability in living cells
1989|37.0|3.0|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|Fast surface tracking in three-dimensional binary images
1990|37.0|2.5|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|The algebraic basis of mathematical morphology. I. dilations and erosions
1991|48.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Watersheds in digital spaces: an efficient algorithm based on immersion simulations
1992|39.0|3.0|Proceedings of the IEEE|Order statistics in digital image processing
1993|82.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Comparing images using the Hausdorff distance
1994|34.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Motion tracking with an active camera
1995|67.0|3.0|Proceedings of the IEEE|Region-based video coding using mathematical morphology
1996|33.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Geodesic saliency of watershed contours and hierarchical segmentation
1997|32.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Direct gray-scale minutiae detection in fingerprints
1998|66.0|3.0|IEEE Transactions on Circuits and Systems for Video Technology|Semiautomatic segmentation and tracking of semantic video objects
1999|43.0|3.0|international conference on computer vision|The Hamilton-Jacobi skeleton
2000|119.0|3.0|international conference on computer graphics and interactive techniques|Adaptively sampled distance fields: a general representation of shape for computer graphics
2001|120.0|3.0|NeuroImage|Magnetic Resonance Image Tissue Classification Using a Partial Volume Model
2002|104.0|4.0|Journal of Molecular Biology|Alpha-synuclein, especially the Parkinson"s disease-associated mutants, forms pore-like annular and tubular protofibrils.
2003|159.0|4.0|IEEE Transactions on Medical Imaging|A shape-based approach to the segmentation of medical imagery using level sets
2004|137.0|3.0|International Journal of Imaging Systems and Technology|Advances and challenges in superresolution
2005|139.0|3.0|Computer Graphics Forum|Collision Detection for Deformable Objects
2006|112.0|3.0|International Journal of Computer Vision|Discriminative Random Fields
2007|87.0|3.0|Journal of Endodontics|Digital and Advanced Imaging in Endodontics: A Review
2008|223.0|2.0|IEEE Transactions on Image Processing|Sparse Representation for Color Image Restoration
2009|196.0|2.0|Remote Sensing of Environment|Recent Advances in Techniques for Hyperspectral Image Processing
2010|115.0|3.0|Magnetic Resonance in Medicine|Combination of Compressed Sensing and Parallel Imaging for Highly Accelerated First-Pass Cardiac Perfusion MRI
