----  Field Name Economic anthropology: 
----  Field Level 2.0: 
----  Field Papers Number 1738:
----  All time max citation paper: Alliances and networks, 1998, (1394.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|2.0|1.0|American Anthropologist|Price and Output Variability in a PeasantArtisan Stoneworking Industry in Oaxaca, Mexico: An Analytical Essay in Economic Anthropology
1979|0|0.0|Africa Spectrum|Rural Class Differentiation in Nigeria: Theory and Practice. A Quantitative Approach in the Case of Nupeland
1981|3.0|3.0|Annales De L'institut Pasteur. Virologie|Capping of frog virus 3 antigen on the plasma membrane of infected cells
1982|4.0|4.0|Annals of Tourism Research|Tourism in Malaysia competing needs in a plural society
1983|2.0|1.5|Polymer|Simulation of cyclics and degradation product formation in polyethylene terephthalate reactors
1984|11.0|11.0|Physiologia Plantarum|Integration of soybean pod development and monocarpic senescence
1985|5.0|5.0|Physiologia Plantarum|Metabolism of Urtica dioica as dependent on the supply of mineral nutrients
1986|0|0.0|Social Science & Medicine|Equity in the distribution of health and welfare services: Can we rely on the state to reverse the 'inverse care law?'
1987|0|0.0||The Effect of Alterations in Nitrogen Supply on Nitrogen Metabolism of Hydroponically Grown Maize Plants, Zea mays L.
1988|3.0|2.0|International Journal of Radiation Oncology Biology Physics|Repair and proliferation: major determinants of the multifraction radiation response
1989|2.0|1.5|Plant Ecology|Topographic control of vegetation in a mountain big sagebrush steppe
1990|1.0|1.0|Journal of Plant Physiology|Rubidium export from individual leaves of maturing wheat
1991|23.0|13.5|New Phytologist|Physicochemical properties of plant growth regulators and plant tissues determine their distribution and redistribution: stomatal regulation by abscisic acid in leaves.
1992|3.0|1.5|Forensic Science International|Evaluating suspected co-proxamol overdose
1993|7.0|0.5|Journal of Economic Surveys|EVALUATING IMPACT EFFECTS OF TAX REFORMS
1994|7.0|3.0|Journal of Public Economics|Non-Leaky Buckets: Optimal Redistributive Taxation and Agency Costs
1995|12.0|1.0|European Journal of Political Economy|Robin hood and the redistribution of property income
1996|30.0|8.0|Economic Geography|Sticky Places in Slippery Space: A Typology of Industrial Districts
1997|18.0|1.5|Economic Geography|Business Networks and Transnational Corporations: A Study of Hong Kong Firms in the ASEAN Region*
1998|168.0|4.0|Strategic Management Journal|Alliances and networks
1999|82.0|3.0|Strategic Management Journal|Network location and learning: the influence of network resources and firm capabilities on alliance formation
2000|47.0|2.5|Economic Geography|Quality, Nature, and Embeddedness: Some Theoretical Considerations in the Context of the Food Sector*
2001|48.0|3.0|Journal of Public Economics|Social preferences, self-interest, and the demand for redistribution
2002|41.0|6.0|Journal of Business Venturing|The effects of embeddedness on the entrepreneurial process
2003|84.0|4.0|IEEE Transactions on Signal Processing|Anti-collusion fingerprinting for multimedia
2004|104.0|2.5|Journal of Public Economics|Capital tax competition: bane or boon
2005|58.0|2.0|Strategic Management Journal|Structural vs. relational embeddedness: social capital and managerial performance
2006|78.0|3.0|American Political Science Review|Electoral Institutions and the Politics of Coalitions: Why Some Democracies Redistribute More Than Others
2007|76.0|4.0|Strategic Management Journal|Network Structure and Innovation: The Leveraging of a Dual Network as a Distinctive Relational Capability
2008|89.0|4.0|Comparative Political Studies|Partisan Politics, the Welfare State, and Three Worlds of Human Capital Formation
2009|81.0|3.0|Economy and Society|Economization, part 1: shifting attention from the economy towards processes of economization
2010|264.0|4.0|Ecological Economics|Reconciling theory and practice: An alternative conceptual framework for understanding payments for environmental services
