----  Field Name Education: 
----  Field Level 2.0: 
----  Field Papers Number 586487:
----  All time max citation paper: Global cancer statistics, 2011, (11706.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1925|0|0.0|Journal of Hygiene|A Further Contribution to the Experimental Study of Epidemiology.
1926|3.0|2.0|Journal of the Marine Biological Association of the United Kingdom|Structure and Physiology of the Organs of Feeding and Digestion in Ostrea edulis
1929|1.0|0.5|Transactions of The Royal Society of Tropical Medicine and Hygiene|An analysis of the leishmania sandfly problem
1930|2.0|1.0|Journal of Dairy Research|Methods of Determining the Numbers of Bacteria in Milk
1931|2.0|0.0|JAMA Pediatrics|Acute Poliomyelitis in Syracuse, New York: Clinical Analysis of Five Successive Outbreaks from 1922, to 1929 with Special Reference to Epidemiology and Treatment with Serum.
1932|3.0|1.5|JAMA|MILK IRRADIATED BY THE CARBON ARC LAMP: A CLINICAL AND LABORATORY STUDY OF RICKETS
1933|1.0|1.0|JAMA Pediatrics|EFFECT OF MILK AND MODIFIED MILK ON GASTRIC CONTRACTIONS
1934|0|0.0|American Journal of Public Health|The Effectiveness of Vaccines Used for the Prevention of Typhoid Fever in the United States Army and Navy
1935|1.0|1.0|Digestive Diseases and Sciences|The role of serumcalcium fractions in the effect of viosterol on the bleeding tendency in jaundice.
1936|1.0|1.0|Journal of Hygiene|Studies on Endemic and Experimental Goitre.
1937|3.0|1.0|The Lancet|EFFECTS OF PROLONGED STRIN-STIMULATION ON THE CERVIX UTERI
1938|4.0|1.0|JAMA|POLIOMYELITIS VIRUS IN HUMAN STOOLS
1939|4.0|4.0|Journal of Dairy Science|The Riboflavin Value of Milk1
1940|9.0|1.0|Archives of Dermatology|PREVENTION OF INDUSTRIAL DERMATITIS: WITH REFERENCE TO PROTECTIVE HAND CREAMS, SOAP AND THE HARMFUL ROLE OF SOME CLEANSING AGENTS
1941|4.0|1.0|Public Health Reports|Medical Evaluation of Nutritional Status: IV. The Ocular Manifestations of Avitaminosis A, with Especial Consideration of the Detection of Early Changes by Biomicroscopy
1942|4.0|1.0|Journal of Dairy Science|Shark Liver Oil and the Vitamin A Potency of Milk*
1943|4.0|0.0|Annals of the New York Academy of Sciences|THERMODYNAMIC PROPERTIES OF SOLUTIONS OF HIGH POLYMERS: THE EMPIRICAL CONSTANT IN THE ACTIVITY EQUATION
1944|2.0|1.0|American Journal of Public Health|Typhoid Vaccine Studies IX. Intracutaneous versus Subcutaneous Vaccination for Initial Immunization
1945|1.0|1.0|Annals of Applied Biology|The infected root-hair count for estimating the activity of Plasmodiophora brassicae (Woron.) in the soil.
1946|16.0|0.0|The Journal of Pediatrics|The retention of electrolyte during recovery fromsevere dehydration due to diarrhea
1947|5.0|2.5|JAMA|Recovery of Poliomyelitis Virus from the Throat during the Incubation Period.
1948|21.0|1.0|JAMA|Clinical Problems in Penicillin Sensitivity.
1949|3.0|0.0|Journal of Dairy Science|A Solubility Method for the Determination of Alpha and Beta Lactose in Dry Products of Milk
1950|15.0|2.0|JAMA|Hemopoietic Changes during Administration of Chloramphenicol (Chloromyeetin).
1951|4.0|0.0|Annals of Applied Biology|The Control of Blowflies infesting Slaughter-Houses. I. Field Observations of the Habits of Blowflies.
1952|6.0|1.0|Journal of Pharmacy and Pharmacology|THE MICROBIOLOGICAL ASSAY OF VITAMIN B12 IN CRUDE LIVER EXTRACTS
1953|4.0|1.5||The hydraulic geometry of stream channels and some physiographic implications
1954|6.0|2.0|Journal of Chemical Physics|HYDROGEN OVERVOLTAGE AND ELECTRODE MATERIAL, A THEORETICAL ANALYSIS
1955|7.0|0.0|Annals of the New York Academy of Sciences|LOCAL FACTORS IN THE MECHANISM OF CALCIFICATION
