----  Field Name Educational psychology: 
----  Field Level 2.0: 
----  Field Papers Number 17037:
----  All time max citation paper: Self -Determination Theory and the Facilitation of Intrinsic Motivation, Social Development, and well-Being, 2000, (5593.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|0|0.0||Movement as a Cue in Person Perception
1962|1.0|0.5|Educational Technology Research and Development|The use of film in opinion measurement
1964|1.0|0.0|The Journal of Abnormal and Social Psychology|Motivational and judgmental determinants of social perception
1965|1.0|1.0|Child Development|CHILDREN'S SOCIAL PERCEPTIONS: A REVIEW OF RESEARCH
1967|2.0|2.0|Journal of Experimental Social Psychology|OPINION CHANGE AS A FUNCTION OF STRESS AND COMMUNICATOR CREDIBILITY.
1969|0|0.0|Journal of Experimental Social Psychology|The facilitating and interfering effects of cognitive dissonance on Simple and Complex paired associates learning tasks
1970|3.0|1.0|BJUI|EXTRACORPOREAL PERFUSION ON AN ARTERIOVENOUS SHUNT AS A METHOD OF FUNCTIONAL ASSESSMENT OF PRESERVED KIDNEYS
1971|3.0|1.0|Review of Educational Research|The Structure of Human Memory and Some Educational Implications.
1972|13.0|4.0|Journal of Experimental Social Psychology|Retrospective misattribution and task enjoyment
1973|9.0|0.0|Psychological Bulletin|SELF- AND INTERPERSONAL EVALUATIONS: ESTEEM THEORIES VERSUS CONSISTENCY THEORIES
1974|17.0|1.0|Educational Researcher|The Decline and Fall of the Laws of Learning.
1975|8.0|2.0|Child Development|Children's Use of Motives and Intentionality in Person Perception and Moral Judgment.
1976|21.0|5.0|Journal of Social Issues|Fear of Success: Attribution of Cause to the Victim
1977|208.0|3.0|Psychological Review|Telling more than we can know: Verbal reports on mental processes
1978|25.0|3.5|Journal of Personality and Social Psychology|Reconstructing the past: Some cognitive consequences of person perception.
1979|45.0|3.0|Advances in Experimental Social Psychology|Prototypes in Person Perception
1980|13.0|3.0|Journal of Personality and Social Psychology|A Cognitive (Attribution)-Emotion-Action Model of Motivated Behavior: An Analysis of Judgments of Help-Giving.
1981|74.0|2.0|American Psychologist|Mood and memory
1982|45.0|2.0|Monographs of The Society for Research in Child Development|Rules of causal attribution
1983|44.0|2.0|Contemporary Educational Psychology|Becoming a strategic reader
1984|42.0|2.0|Journal of Educational Psychology|Informed Strategies for Learning: A Program to Improve Children's Reading Awareness and Comprehension.
1985|95.0|2.0|American Psychologist|How many memory systems are there?
1986|138.0|3.0|Psychological Review|An Attributional Theory of Achievement Motivation and Emotion
1987|31.0|2.0|Child Development|The Development of Childrens Knowledge of Self-Control Strategies
1988|42.0|2.0|Cognitive Psychology|Diagnostic Reasoning with Circumstantial Evidence.
1989|146.0|3.0|Child Development|Small-Scale Deceit: Deception as a Marker of Two-, Three-, and Four-Year-Olds' Early Theories of Mind.
1990|35.0|3.0|Advances in Experimental Social Psychology|A Continuum of Impression Formation, from Category-Based to Individuating Processes: Influences of Information and Motivation on Attention and Interpretation
1991|66.0|2.0|Child Development|Young Children's Understanding of Other People's Feelings and Beliefs: Individual Differences and Their Antecedents
1992|419.0|3.0|Psychological Review|Memory and the hippocampus : a synthesis from findings with rats, monkeys, and humans
1993|85.0|2.0|Annals of Neurology|Procedural learning in Parkinson's disease and cerebellar degeneration.
1994|114.0|3.0|Molecular Ecology|Analysis of population genetic structure with RAPD markers
1995|87.0|3.0|Child Development|Relational Aggression, Gender, and SocialPsychological Adjustment
1996|63.0|3.0|Life Sciences|Stress- and treatment-induced elevations of cortisol levels associated with impaired declarative memory in healthy adults
1997|146.0|3.0|Journal of Cognitive Neuroscience|Imaging Cognition: An Empirical Review of PET Studies with Normal Subjects
1998|82.0|4.0|Neurobiology of Learning and Memory|Physiological memory in primary auditory cortex : Characteristics and mechanisms
1999|71.0|5.0|Molecular Ecology|Computer software for performing likelihood tests of pedigree relationship using genetic markers
2000|391.0|6.0|Journal of Cognitive Neuroscience|Imaging Cognition II: An Empirical Review of 275 PET and fMRI Studies
2001|126.0|5.0|Journal of Personality and Social Psychology|The face in the crowd revisited: a threat advantage with schematic stimuli.
2002|155.0|8.0|Journal of Applied Psychology|Perceived organizational support: A review of the literature
2003|263.0|9.0|American Psychologist|A perspective on judgment and choice: mapping bounded rationality.
2004|164.0|8.0|European Journal of Neuroscience|Lesions of dorsolateral striatum preserve outcome expectancy but disrupt habit formation in instrumental learning
2005|202.0|8.0|International Journal of Developmental Neuroscience|Developmental deficits in social perception in autism: the role of the amygdala and fusiform face area.
2006|420.0|7.0|Nature Neuroscience|Understanding emotions in others: mirror neuron dysfunction in children with autism spectrum disorders
2007|208.0|8.0|Annual Review of Psychology|Human Abilities: Emotional Intelligence
2008|313.0|9.0|The Journal of Pain|Interpreting the Clinical Importance of Treatment Outcomes in Chronic Pain Clinical Trials: IMMPACT Recommendations
2009|2309.0|8.0|Psychological Inquiry|The "What" and "Why" of Goal Pursuits: Human Needs and the Self-Determination of Behavior
2010|789.0|7.0|IEEE Transactions on Knowledge and Data Engineering|A Survey on Transfer Learning
