----  Field Name Electrical resistivity tomography: 
----  Field Level 2.0: 
----  Field Papers Number 5230:
----  All time max citation paper: Pericytes regulate the blood-brain barrier, 2010, (466.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1954|7.0|7.0|Journal of Chemical Physics|Polarization Effects in the Ionic Conductivity of Silver Bromide
1961|5.0|5.0|Journal of Applied Physics|Method for Measuring Dynamic Mechanical Properties of Viscoelastic Liquids and Gels; the Gelation of Polyvinyl Chloride
1962|19.0|19.0|Experimental Neurology|Impedance measurements in brain tissue of animals using microvolt signals
1963|0|0.0|Journal of Chemical Physics|Dielectric Constant and Interactions of Polar Molecules
1965|3.0|2.5|Journal of Chemical Physics|Pentacoordinated Molecules. VI. The ElectricDipole Moment of PCl3F2 and PCl2F3 in the Gaseous State
1966|7.0|7.0|Experimental Neurology|The role of neuronal elements in regional cerebral impedance changes in alerting, orienting and discriminative responses
1967|5.0|5.0|Proceedings of the IEEE|Measurement of RF properties of materials a survey
1968|0|0.0|Space Science Reviews|Radio-frequency impedance probes
1969|0|0.0|Proceedings of the IEEE|The piezoelectric crystal unit&#8212;Definitions and methods of measurement
1970|5.0|4.5|Planetary and Space Science|OGO satellite wake structure deduced from antenna impedance measurements
1971|16.0|1.0|Journal of Electroanalytical Chemistry|Electrode kinetics and double layer structure: IV. The Eu(II)/Eu(III) electrode reaction at the DME in 1 M KSCN; Influence of complex formation
1972|4.0|2.5|Geophysical Prospecting|AN INTERPRETATION THEORY FOR INDUCED POLARIZATION VERTICAL SOUNDINGS (TIMEDOMAIN)*
1973|5.0|1.0|Thin Solid Films|The interpretation of impedance measurements on oxide-coated aluminium part 2. The effect of flaws in As-formed films
1974|5.0|0.0|Journal of Sound and Vibration|An in situ method of wall acoustic impedance measurement in flow ducts
1975|5.0|1.0|Radio Science|The impedance of a dipole antenna in the ionosphere: 1. Experimental study
1976|9.0|1.5|Journal of Applied Physics|Highfrequency and highcurrent studies of metal oxide varistors
1977|8.0|0.5|Journal of Applied Physics|Shockinduced polarization of a ferroelectric ceramic
1978|8.0|0.0|Advances in Experimental Social Psychology|Group-Induced Polarization of Attitudes and Behavior
1979|10.0|0.5|Contact Dermatitis|Delayed irritation: Hexanediol diacrylate and butanediol diacrylate
1980|34.0|1.0|Cell|Cell surface interaction induces polarization of mouse 8-cell blastomeres at compaction
1981|4.0|0.5|IEEE Transactions on Biomedical Engineering|Electrode and Electrolyte Impedance in the Detection of Bacterial Growth
1982|18.0|1.0|Solid State Ionics|Effect of grain boundaries on the conductivity of high-purity ZrO 2 Y 2 O 3 ceramics
1983|8.0|4.0|Journal of Applied Physics|Surface photovoltage measured capacitance: Application to semiconductor/electrolyte system
1984|10.0|1.0|Journal of Electroanalytical Chemistry|The kinetics of the reduction of protons at polycrystalline and monocrystalline gold electrodes
1985|13.0|1.0|Applied Physics Letters|Selfinduced polarization changes in birefringent optical fibers
1986|9.0|0.0|Annals of Biomedical Engineering|A critique of impedance measurements in cardiac tissue
1987|13.0|2.0|Electrochimica Acta|Behavior of overpotentialdeposited species in Faradaic reactionsII. ac Impedance measurements on H 2 evolution kinetics at activated and unactivated Pt cathodes
1988|14.0|0.0|Journal of Applied Physics|Piezoelectric effects in strainedlayer superlattices
1989|12.0|1.0|Journal of Applied Physics|Influence of growth striations on paraferroelectric phase transitions: Mechanism of the formation of periodic laminar domains in LiNbO3 and LiTaO3
1990|15.0|2.0|Journal of Chemical Physics|Properties of atoms in molecules: Atomic polarizabilities
1991|26.0|1.5|Journal of Magnetism and Magnetic Materials|Spectroscopy of multilayers for magneto-optic storage
1992|18.0|2.0|Protoplasma|Hydrostatic pressure mimics gravitational pressure in characean cells
1993|45.0|1.0|Journal of Chemical Physics|Comparison of localdensity and HartreeFock calculations of molecular polarizabilities and hyperpolarizabilities
1994|9.0|2.0|Electrochimica Acta|Influence of tin on the anodic behaviour of lead in sulphuric acid solutionsI. Voltammetric, photoelectrochemical and AC impedance measurements on a Pb10%Sn alloy
1995|26.0|3.0|Journal of Applied Physics|Theoretical analysis of birefringence and forminduced polarization mode dispersion in birefringent optical fibers: A fullvectorial approach
1996|26.0|2.0|Journal of Electroanalytical Chemistry|Dynamic quartz crystal impedance measurements of polyvinylferrocene film deposition
1997|23.0|2.0|IEEE Transactions on Microwave Theory and Techniques|Micromachined microwave transmission lines in CMOS technology
1998|30.0|2.0|Proceedings of the IEEE|Electrical characteristics of interconnections for high-performance systems
1999|44.0|3.0|Electrochimica Acta|5 V lithium cathodes based on spinel solid solutions Li 2 Co 1+X Mn 3X O 8 : -1 X 1
2000|36.0|3.0|Inverse Problems|Statistical inversion and Monte Carlo sampling methods in electrical impedance tomography
2001|167.0|3.0|Cell|Integrin-Mediated Activation of Cdc42 Controls Cell Polarity in Migrating Astrocytes through PKC
2002|146.0|5.0|Cancer Cell|4 integrin-dependent formation of polarized three-dimensional architecture confers resistance to apoptosis in normal and malignant mammary epithelium
2003|70.0|5.0|Journal of Cell Biology|Shear stress-induced endothelial cell polarization is mediated by Rho and Rac but not Cdc42 or PI 3-kinases.
2004|73.0|4.0|The American Journal of Gastroenterology|Twenty-Four Hour Ambulatory Simultaneous Impedance and pH Monitoring: A Multicenter Report of Normal Values From 60 Healthy Volunteers
2005|58.0|4.0|Journal of Power Sources|Dischargecharge properties of Li/LiCoO 2 cell using room temperature ionic liquids (RTILs) based on quaternary ammonium cation  Effect of the structure
2006|129.0|5.0|Journal of Applied Physics|Strain-induced polarization in wurtzite III-nitride semipolar layers
2007|82.0|4.0|Molecular Crystals and Liquid Crystals|Ferroelectric Liquid Crystals; A Review
2008|104.0|4.0|Journal of Colloid and Interface Science|Complex conductivity of water-saturated packs of glass beads
