----  Field Name Electrochemistry: 
----  Field Level 2.0: 
----  Field Papers Number 251584:
----  All time max citation paper: Comparison of simple potential functions for simulating liquid water, 1983, (11054.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1930|4.0|3.5|JAMA Pediatrics|CITRIC ACID MILK IN INFANT FEEDING
1932|4.0|2.0|Journal of Dairy Research|37. Studies in Cheddar Cheese: I. The Oxidation-Reduction Potentials of Ripening Cheddar Cheese
1933|1.0|1.0|Protoplasma|STUDIES ON THE OXIDATION-REDUCTION POTENTIAL OF PROTOZOAN CULTURES I. The effect o| -SH on Cbilamonas paramecittm
1934|0|0.0|The Journal of Agricultural Science|The use of the Glass Electrode in Soil Reaction and Oxidation-Reduction Potential Measurements
1935|0|0.0|Transactions of The American Institute of Electrical Engineers|Present Status of Ferromagnetic Theory
1937|4.0|0.5|Journal of Chemical Physics|Raman Spectra of Amino Acids and Related Substances III. Ionization and Methylation of the Amino Group
1938|9.0|9.0|Journal of Chemical Physics|A Kinetic Approach to the Theory of Conductance of Infinitely Dilute Solutions, Based on the ``Cage'' Model of Liquids
1939|5.0|1.0|Journal of Chemical Physics|Application of the Theory of Absolute Reaction Rates to Overvoltage
1940|6.0|0.0|JAMA Pediatrics|POSSIBLE RELATION BETWEEN ELECTROLYTE BALANCE AND BRONCHIAL ASTHMA
1941|2.0|1.0|Journal of Chemical Physics|Theory of Acid Strength. Temperature Effect
1942|0|0.0|Journal of Dairy Science|Factors Affecting Swiss Cheese Starter Activity. Effect of Heat-Treatment and Source of Milk
1943|2.0|2.0|Journal of Dairy Science|Some Factors Affecting the Stability of Certain Milk Properties. VII. The Effects of Metals and of Ascorbic Acids on the Oxidation-Reduction Potential*
1944|0|0.0|Journal of The Society of Dyers and Colourists|OxidationReduction Potentials: Their Significance and Applications
1945|3.0|2.0|Journal of Chemical Physics|The Conductance of Aqueous Solutions of Calcium Chloride at Temperatures from 15 to 45C
1946|0|0.0|Journal of Dairy Science|Propionic Acid, Sodium Propionate and Calcium Propionate as Inhibitors of Mold Growth. II. Studies Pertaining to the Active Agent Responsible for the Inhibitory Effect of the Propionates*
1947|1.0|0.0||Calibration of uniform-field spark-gaps for high-voltage measurement at power frequencies
1948|5.0|0.0|Journal of Chemical Physics|Structure of Micelles of Colloidal Electrolytes. III. A New LongSpacing XRay Diffraction Band, and the Relations of Other Bands
1949|5.0|5.0|Archives of Ophthalmology|Studies of the eye with radiosodium autographs
1950|9.0|0.0|Physica D: Nonlinear Phenomena|Trivalent Cations in Fluorescent Zinc Sulphide
1951|6.0|1.0|Biochimica et Biophysica Acta|Studies on the lipolytic enzyme action I. Kinetics of pancreatic lipase activity on an ester in homogeneous aqueous solution
1952|6.0|1.5|Journal of Applied Physics|The Use of Radioactive Isotopes in a Study of Evaporation from Thermionic Cathodes
1953|31.0|2.0|Journal of Chemical Physics|Dissociation, Chemical Exchange, and the Proton Magnetic Resonance in Some Aqueous Electrolytes
1954|7.0|2.0|Journal of Chemical Physics|On the Entropies of Complex Ions in Aqueous Solution
1955|7.0|0.0|Electroencephalography and Clinical Neurophysiology|Evaluation of permanent implantation of electrodes within the brain
1956|29.0|2.0|Biochimica et Biophysica Acta|Studies on the electron transfer system IV. The electron transfer particle
1957|14.0|2.0|Journal of Chemical Physics|Rates and Mechanisms of Protolysis of Methylammonium Ion in Aqueous Solution Studied by Proton Magnetic Resonance
1958|8.0|1.5|Journal of Chemical Physics|TEMPERATURE DEPENDENCE OF PROTON RELAXATION TIMES IN AQUEOUS SOLUTIONS OF PARAMAGNETIC IONS
1959|9.0|0.0|Journal of Chemical Physics|Proton Spin Relaxation in Aqueous Solutions of Paramagnetic Ions. II. Cr+++, Mn++, Ni++, Cu++, and Gd+++
1960|118.0|1.5|Analytical Biochemistry|A simple efficient liquid scintillator for counting aqueous solutions in a liquid scintillation counter
1961|12.0|1.0|Journal of Fluid Mechanics|EXPERIMENTS ON POWER GENERATION FROM A MOVING PLASMA
1962|81.0|1.0|Journal of Chemical Physics|Structure of Water and Hydrophobic Bonding in Proteins. I. A Model for the Thermodynamic Properties of Liquid Water
1963|60.0|2.0|Biochimica et Biophysica Acta|The role of lipids in mitochondrial electron transfer and oxidative phosphorylation
1964|21.0|2.0|Journal of Molecular Biology|On the reported solubilization of carcinogenic hydrocarbons in aqueous solutions of DNA
1965|87.0|1.0|Journal of Chemical Physics|Nuclear Spin Coupling Between Geminal Hydrogen Atoms
1966|37.0|1.0|Journal of Molecular Biology|Association by hydrogen bonding of free nucleosides in non-aqueous solution
1967|62.0|1.0|Journal of Molecular Biology|Electron microscopy of size and shape of viral DNA in solutions of different ionic strengths
1968|26.0|1.0|IEEE Transactions on Power Apparatus and Systems|Optimal Power Flow Solutions
1969|42.0|1.0|Journal of Cell Biology|DETECTION OF COMPLEX CARBOHYDRATES IN THE GOLGI APPARATUS OF RAT CELLS
1970|48.0|1.0|Science|Alkaloids from Catecholamines in Adrenal Tissue: Possible Role in Alcoholism
1971|37.0|1.0|Geochimica et Cosmochimica Acta|Partitioning of rare earth, alkali and alkaline earth elements between phenocrysts and acidic igneous magma
1972|82.0|1.0|The Journal of Comparative Neurology|Origin and termination of the hippocampal perforant path in the rat studied by silver impregnation
1973|22.0|1.0|Geochimica et Cosmochimica Acta|Solubilization of hydrocarbons by the dissolved organic matter in sea water
1974|30.0|2.0|Communications in Mathematical Physics|Markovian master equations
1975|36.0|2.0|Journal of Chemical Physics|The effect of intramolecular quantum modes on free energy relationships for electron transfer reactions
1976|53.0|2.0|Life Sciences|Spectrin: Current understanding of its physical, biochemical, and functional properties
1977|41.0|2.0|Nature|Prostacyclin is the major prostaglandin released from the isolated perfused rabbit and rat heart
1978|85.0|2.0|Archives of Biochemistry and Biophysics|Involvement of the light-harvesting complex in cation regulation of excitation energy distribution in chloroplasts
1979|93.0|2.0|Brain Research|Effect of oxytocin and vasopressin on memory consolidation: sites of action and catecholaminergic correlates after local microinjection into limbic-midbrain structures
1980|83.0|2.0|The Journal of Physiology|Electrophysiological properties of in vitro Purkinje cell dendrites in mammalian cerebellar slices.
1981|84.0|2.0|Brain Research|Voltammetry in the striatum of chronic freely moving rats: Detection of catechols and ascorbic acid
1982|73.0|2.0|Journal of Geophysical Research|The composition of precipitation in remote areas of the world
1983|109.0|2.0|Journal of Chemical Physics|Comparison of simple potential functions for simulating liquid water
1984|51.0|2.0|Geochimica et Cosmochimica Acta|Thermodynamic and kinetic constraints on reaction rates among minerals and aqueous solutions. II. Rate constants, effective surface area, and the hydrolysis of feldspar
1985|85.0|2.0|Water Resources Research|Modeling the Effects of Acid Deposition: Assessment of a Lumped Parameter Model of Soil Water and Streamwater Chemistry
1986|129.0|2.0|Journal of Clinical Investigation|Atrial natriuretic factor in normal subjects and heart failure patients. Plasma levels and renal, hormonal, and hemodynamic responses to peptide infusion.
1987|284.0|2.0|Applied Physics Letters|Preparation of YBaCu oxide superconductor thin films using pulsed laser evaporation from high Tc bulk material
1988|105.0|2.0|Applied Physics Letters|Observation of two distinct components during pulsed laser deposition of high Tc superconducting films
1989|142.0|2.0|Journal of Applied Physics|Perpendicular magnetic anisotropy and magnetooptical Kerr effect of vapordeposited Co/Ptlayered structures
1990|88.0|2.0|Photosynthesis Research|Current perceptions of Photosystem II.
1991|103.0|2.0|Applied Physics Letters|Comparison of Si(111) surfaces prepared using aqueous solutions of NH4F versus HF
1992|65.0|2.0|Analyst|Amperometric biosensors based on an apparent direct electron transfer between electrodes and immobilized peroxidases. Plenary lecture
1993|152.0|2.0|Journal of the American Ceramic Society|Ceramic Fuel Cells
1994|105.0|2.0|Structure|Structure of the photosynthetic reaction centre from Rhodobacter sphaeroides at 2.65  resolution: cofactors and protein-cofactor interactions
1995|217.0|2.0|Science|Structures of metal sites of oxidized bovine heart cytochrome c oxidase at 2.8 A.
1996|106.0|2.0|Neuron|Dynamic Rearrangement of the Outer Mouth of a K+ Channel during Gating
1997|139.0|2.0|Journal of Applied Physics|Erbium implanted thin film photonic materials
1998|430.0|3.0|The New England Journal of Medicine|Spontaneous initiation of atrial fibrillation by ectopic beats originating in the pulmonary veins.
1999|176.0|3.0|international conference on computer vision|Object recognition from local scale-invariant features
2000|541.0|3.0|Acta Materialia|Stabilization of metallic supercooled liquid and bulk amorphous alloys
2001|881.0|4.0|Nature|Neurophysiological investigation of the basis of the fMRI signal
2002|388.0|4.0|Academy of Management Review|Social Capital: Prospects for a New Concept
2003|729.0|5.0|Nature|Sequencing and comparison of yeast species to identify genes and regulatory elements
2004|272.0|5.0|Nature|Electric polarization reversal and memory in a multiferroic material induced by magnetic fields.
2005|306.0|5.0|Nature Biotechnology|Potent and persistent in vivo anti-HBV activity of chemically modified siRNAs
2006|794.0|5.0|Science|Piezoelectric Nanogenerators Based on Zinc Oxide Nanowire Arrays
2007|733.0|5.0|Progress in Polymer Science|Controlled/living radical polymerization: Features, developments, and perspectives
2008|1906.0|5.0|Nature Nanotechnology|Processable aqueous dispersions of graphene nanosheets
2009|994.0|6.0|Biotechnology Advances|Silver nanoparticles as a new generation of antimicrobials
2010|1413.0|7.0|PLOS ONE|Deep Sequencing of the Vaginal Microbiota of Women with HIV
