----  Field Name Epidemiology: 
----  Field Level 2.0: 
----  Field Papers Number 522256:
----  All time max citation paper: Confidence limits on phylogenies: an approach using the bootstrap, 1985, (19394.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1925|0|0.0|Journal of Hygiene|A Further Contribution to the Experimental Study of Epidemiology.
1926|3.0|3.0|Journal of Dairy Science|The Effect of Environmental Temperature on the Percentage of Fat in Cow's Milk
1930|4.0|1.0|JAMA|VIOSTEROL (IRRADIATED ERGOSTEROL): PROPHYLACTIC AND THERAPEUTIC DOSAGE
1931|2.0|1.5|JAMA Pediatrics|Acute Poliomyelitis in Syracuse, New York: Clinical Analysis of Five Successive Outbreaks from 1922, to 1929 with Special Reference to Epidemiology and Treatment with Serum.
1932|0|0.0|Journal of Hygiene|The Evidence of Brucella abortus Infection in Slaughterhouse Men
1934|4.0|4.0|JAMA Pediatrics|Dental Caries. III. Riekets in Relation to Caries in the Deciduous and in the Permanent Teeth.
1935|1.0|0.0|American Journal of Public Health|Studies of Correlated Human and Bovine Brucelliasis. Statistical and Serological.
1937|2.0|0.0|American Journal of Public Health|Epidemiological Studies in Influenza.
1938|5.0|3.0|JAMA|BERIBERI IN ALCOHOL ADDICTS
1939|2.0|2.0|The School Review|A Necessary Precaution in Diagnostic Testing
1940|7.0|1.0|JAMA Internal Medicine|An Epidemic Disease of the Respiratory Tract.
1941|3.0|0.5|American Heart Journal|The significance of diagnostic tests in the study of peripheral vascular disease
1942|2.0|1.0|JAMA|Sulfathiazole in Epidemic Sonne Dysentery.
1943|1.0|1.0|Journal of the American Dental Association|Dietary Control of Enamel Caries
1944|3.0|0.0|JAMA Pediatrics|ATTACK RATE AND INCUBATION PERIOD OF MEASLES: SIGNIFICANCE OF AGE AND OF CONDITIONS OF EXPOSURE
1945|9.0|2.0|Parasitology|The Ecology of the Sheep Tick, Ixodes ricinus L. The seasonal Activity in Britain with particular Reference to northern England.
