----  Field Name Epigenetics: 
----  Field Level 2.0: 
----  Field Papers Number 912755:
----  All time max citation paper: SINGLE STEP METHOD OF RNA ISOLATION BY ACID GUANIDINIUM-THIOCYANATE-PHENOL-CHLOROFORM EXTRACTION, 1987, (36778.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1924|1.0|1.0|Molecular Genetics and Genomics|A genetic and cytological analysis of a section deficiency involving four units of the X-chromosome in Drosophila melanogaster
1929|7.0|7.0|New Phytologist|CELL GROWTH AND CELL DIVISION IN THE SHOOT OF THE FLOWERING PLANT
1930|3.0|1.0|Journal of Genetics|Chromosomal aberrants and gene mutations in Nicotiana obtained by grafting.
1931|0|0.0|Genetica|Contributions to the Genetics of PISUM
1932|4.0|3.5|The Journal of Allergy and Clinical Immunology|Serum sensitiveness after toxin-antitoxin. A clinical and laboratory study
1933|1.0|1.0|Journal of Genetics|A new allelomorphic compound presenting the phenotype of the wild Drosophila melanogaster
1935|3.0|3.0|Genetica|Crossover and disjunctional properties of X chromosome inversions in Drosophila melanogaster
1938|9.0|9.0|Genetics|The Production of Homozygous Deficient Tissues with Mutant Characteristics by Means of the Aberrant Mitotic Behavior of Ring-Shaped Chromosomes
1940|4.0|1.0|Journal of Genetics|Cytogenetics of Brassica hybrids and species.
1941|1.0|0.0|Journal of Genetics|The effect of sex on the spontaneous mutation rate in Drosophila melanogaster
1942|4.0|2.5|Journal of Experimental Zoology|A cytological and experimental analysis of the meiotic behavior of the univalent X chromosome in the bearberry aphid Tamalia (Phyllaphis) coweni (Ckll.)
1943|0|0.0|Journal of Genetics|The incompatibility sieve for producing polyploids
1945|1.0|0.0|Acta Physiologica Scandinavica|The Reabsorption of Glycine and Other Amino Acids in the Kidneys of Man
1946|1.0|0.5|Journal of Morphology|Cytological studies on Acrididae. IV. The structure of the Xchromosome in the meiosis of Phlaeoba infumata
1947|1.0|0.5|Botanical Review|Supernumerary chromonemal reproductions: Polytene chromosomes, endomitosis, multiple chromosome complexes, polysomaty
1949|3.0|3.0|Journal of Experimental Zoology|The influence of near infrared radiation on the production by nitrogen mustard of chromosome rearrangements in Drosophila.
1950|5.0|1.0|Genetics|The genetic basis of heterosis in maize.
1951|5.0|1.5|Cold Spring Harbor Symposia on Quantitative Biology|Chromosome Organization and Genic Expression
1952|4.0|2.5|Nature|Mode of Action of Chloramphenicol
1953|5.0|0.0|Journal of Allergy|The etiological role of streptococcus toxin-antitoxin systems in the experimental production of arterial sensitization
1954|2.0|1.0|Biochimica et Biophysica Acta|Relation between microsomal pentose nucleic acid (PNA) and protein synthesis in the hypocotyl of germinating bean embryo
1955|12.0|1.5|Biochimica et Biophysica Acta|The role of the nucleus in protein synthesis in Amoeba
1956|10.0|2.5|Cancer Research|Carcinogenesis by Radioactive Substances
1957|20.0|2.5|Virology|The effect of the inhibition of protein synthesis on the establishment of lysogeny
