----  Field Name Ethnobiology: 
----  Field Level 2.0: 
----  Field Papers Number 3622:
----  All time max citation paper: The internationalization and performance of SMEs, 2001, (663.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1969|0|0.0|Arctic|Progress of Research in Zoology through the Naval Arctic Research Laboratory
1975|2.0|2.0|design automation conference|Application design within the system for business automation (SBA)
1976|0|0.0|Journal of the Academy of Marketing Science|On the Usefulness of Q-Methodology for Consumer Segmentation
1978|5.0|5.0||A Production Rule System For Neurological Localization
1982|0|0.0|principles of distributed computing|Finding safe paths in a faulty environment
1985|0|0.0|Social Science & Medicine|Physicians and medical innovation
1986|4.0|2.5|Continental Shelf Research|Open boundary conditions for numerical models of shelf sea circulation
1987|17.0|9.0|Economic Botany|In situ conservation of crop genetic resources through maintenance of traditional farming systems.
1988|28.0|3.0|Communications of The ACM|Reasoning with worlds and truth maintenance in a knowledge-based programming environment
1989|10.0|0.0|Agriculture and Human Values|Legitimizing local knowledge: From displacement to empowerment for third world people
1990|7.0|4.0|Journal of Parallel and Distributed Computing|Distributed fault-tolerant embeddings of rings in hypercubes
1991|24.0|1.0|Rural Sociology|Social Theory and the De/Reconstruction of Agricultural Science: Local Knowledge for an Alternative Agriculture1
1992|9.0|2.0|Social Science & Medicine|Local knowledge: Research capacity building in international health
1993|11.0|3.0||Indigenous knowledge for biodiversity conservation
1994|13.0|4.0|international conference on data engineering|Mariposa: a new architecture for distributed data
1995|33.0|2.0|IEEE Transactions on Computers|Fault-tolerant wormhole routing algorithms for mesh networks
1996|19.0|2.0|Journal of International Business Studies|Local Knowledge Transfer and Performance: Implications for Alliance Formation in Asia
1997|25.0|5.0|virtual reality software and technology|Integration of motion control techniques for virtual human and avatar real-time animation
1998|13.0|5.0|Soil Use and Management|Knowing the land: soil and land resource evaluation and indigenous knowledge
1999|34.0|3.0|Agroforestry Systems|Sesbania sesban improved fallows in eastern Zambia: Their inception, development and farmer enthusiasm
2000|26.0|5.0|Fish and Fisheries|Ignore fishers knowledge and miss the boat
2001|69.0|3.0|Strategic Management Journal|The internationalization and performance of SMEs
2002|84.0|4.0|Management Information Systems Quarterly|Information systems as a reference discipline
2003|78.0|6.0|international conference on distributed computing systems|Updates in highly unreliable, replicated peer-to-peer systems
2004|183.0|4.0|Conservation Biology|Rethinking CommunityBased Conservation
2005|47.0|5.0|Conservation Biology|USE OF TRADITIONAL ECOLOGICAL KNOWLEDGE IN MARINE CONSERVATION
2006|167.0|6.0|Landscape and Urban Planning|Urban effects on native avifauna: a review
2007|72.0|6.0|Journal of Ethnopharmacology|Indian medicinal plants as a source of antimycobacterial agents
2008|233.0|5.0|International Journal of Climatology|Physiographically sensitive mapping of climatological temperature and precipitation across the conterminous United States
2009|174.0|6.0|Journal of Economic Geography|Mobility of Skilled Workers and Co-Invention Networks: An Anatomy of Localized Knowledge Flows
2010|159.0|6.0|Journal of Environmental Management|Integrating local and scientific knowledge for environmental management
