----  Field Name Evolutionary algorithm: 
----  Field Level 2.0: 
----  Field Papers Number 10722:
----  All time max citation paper: Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach, 1999, (2200.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|5.0|5.0|Proceedings of the IEEE|Techniques for the optimal design and synthesis of switching circuits
1969|0|0.0|Proceedings of The Institution of Electrical Engineers|Optimal control of a class of distributed-parameter systems using gradient methods
1970|4.0|4.0|Psychometrika|A comparison of three predictor selection techniques in multiple regression
1971|0|0.0||Algorithms for nonlinear problems which use discrete approximations to derivatives
1972|6.0|3.0|IEEE Transactions on Microwave Theory and Techniques|Practical Least pth Optimization of Networks
1973|4.0|1.0|Computer Methods in Applied Mechanics and Engineering|A modified gradient method for finite element elastoplastic analysis by quadratic programming
1974|3.0|1.5|Water Resources Research|The estimation of vertical eddy diffusivities below the thermocline in lakes
1975|0|0.0|Annals of Regional Science|An iterative curve fitting approach for solving the Weber problem in spatial economics
1976|0|0.0|Folia Microbiologica|Application of mathematical optimization methods in microbiology
1977|0|0.0|New Zealand Journal of Geology and Geophysics|Determination Of densities of rhyolitic glass shards by a gradient method (note)
1978|29.0|4.0|Mathematical Programming|Large-scale linearly constrained optimization
1979|7.0|4.5|Journal of Chemical Physics|The orthogonal gradient method. A simple method to solve the closedshell, openshell, and multiconfiguration SCF equations
1980|6.0|4.5|Journal of Geophysical Research|Deep crustal electrical conductivity in the Adirondacks
1981|0|0.0|Chemical Physics Letters|Theoretical study on the structure and stability of (LiH) 6 by the energy gradient method
1982|1.0|1.0|Physics of the Earth and Planetary Interiors|Difficulties in the application of magnetic field gradient analysis to induction studies
1983|17.0|1.0|Journal of Molecular Spectroscopy|Force field in the methylamine molecule from ab initio MO calculation
1984|12.0|1.5|Chemical Physics|On the calculation of dipole moment and polarizability derivatives by the analytical energy gradient method: Application to the formaldehyde molecule
1985|18.0|4.5|Journal of Geophysical Research|Biogenic hydrocarbon emissions from deciduous and coniferous trees in the United States
1986|64.0|4.0|Journal of Chemical Physics|The analytic configuration interaction gradient method: Application to the cyclic and open isomers of the S3 molecule
1987|21.0|7.0|Journal of Colloid and Interface Science|A wettability gradient method for studies of macromolecular interactions at the liquid/solid interface
1988|46.0|3.5|Journal of Chemical Physics|A systematic theoretical study of harmonic vibrational frequencies: The single and double excitation coupled cluster (CCSD) method
1989|11.0|4.0|Journal of Investigative Dermatology|Increased Androgen Binding Capacity in Sebaceous Glands in Scalp of Male-pattern Baldness
1990|13.0|1.5|Chemical Physics Letters|A direct MP2 gradient method
1991|52.0|3.5|Journal of Chemical Physics|Analytic evaluation of energy gradients for the singles and doubles coupled cluster method including perturbative triple excitations: Theory and applications to FOOF and Cr2
1992|18.0|2.0|Journal of Computational and Applied Mathematics|A modified gradient method for two-dimensional problems in tomography
1993|82.0|5.5|electronic commerce|An overview of evolutionary algorithms for parameter optimization
1994|57.0|6.0|IEEE Transactions on Neural Networks|An evolutionary algorithm that constructs recurrent neural networks
1995|85.0|3.0|Integration|Recent directions in netlist partitioning: a survey
1996|50.0|3.0|electronic commerce|Evolutionary algorithms for constrained parameter optimization problems
1997|143.0|2.0|IEEE Transactions on Evolutionary Computation|No free lunch theorems for optimization
1998|75.0|3.0|IEEE Transactions on Systems, Man, and Cybernetics|Multiobjective optimization and multiple constraint handling with evolutionary algorithms. I. A unified formulation
1999|223.0|5.0|IEEE Transactions on Evolutionary Computation|Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach
2000|98.0|3.0|electronic commerce|Comparison of Multiobjective Evolutionary Algorithms: Empirical Results
2001|57.0|4.0|Journal of Computational Physics|The surface gradient method for the treatment of source terms in the shallow-water equations
2002|190.0|5.0|IEEE Transactions on Evolutionary Computation|Learning and optimization using the clonal selection principle
2003|243.0|3.0|IEEE Transactions on Evolutionary Computation|Performance assessment of multiobjective optimizers: an analysis and review
2004|178.0|4.0|IEEE Transactions on Automatic Control|Cooperative control of mobile sensor networks:Adaptive gradient climbing in a distributed environment
2005|247.0|4.0|IEEE Transactions on Evolutionary Computation|Evolutionary optimization in uncertain environments-a survey
2006|196.0|3.5|IEEE Transactions on Evolutionary Computation|Self-Adapting Control Parameters in Differential Evolution: A Comparative Study on Numerical Benchmark Problems
2007|299.0|3.0|Journal of Global Optimization|A powerful and efficient algorithm for numerical function optimization: artificial bee colony (ABC) algorithm
2008|479.0|3.0|soft computing|On the performance of artificial bee colony (ABC) algorithm
2009|804.0|3.0|Siam Journal on Imaging Sciences|A Fast Iterative Shrinkage-Thresholding Algorithm for Linear Inverse Problems
2010|208.0|4.0|Acta Mechanica|A novel heuristic optimization method: charged system search
