----  Field Name Evolutionary computation: 
----  Field Level 2.0: 
----  Field Papers Number 9462:
----  All time max citation paper: A fast and elitist multiobjective genetic algorithm: NSGA-II, 2002, (6164.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1990|23.0|2.0|Biological Cybernetics|Comparing genetic operators with gaussian mutations in simulated evolutionary processes using linear systems
1991|13.0|10.0|IEEE Transactions on Systems, Man, and Cybernetics|A genetic algorithm for the linear transportation problem
1992|18.0|3.5|parallel problem solving from nature|Non-Linear Genetic Representations
1993|49.0|9.0|international conference on computer graphics and interactive techniques|Spacetime constraints revisited
1994|57.0|5.0|IEEE Transactions on Neural Networks|An evolutionary algorithm that constructs recurrent neural networks
1995|28.0|4.0|Robotics and Autonomous Systems|Challenges In Evolving Controllers for Physical Robots
1996|50.0|3.0|electronic commerce|Evolutionary algorithms for constrained parameter optimization problems
1997|143.0|3.0|IEEE Transactions on Evolutionary Computation|No free lunch theorems for optimization
1998|75.0|2.5|IEEE Transactions on Systems, Man, and Cybernetics|Multiobjective optimization and multiple constraint handling with evolutionary algorithms. I. A unified formulation
1999|223.0|5.0|IEEE Transactions on Evolutionary Computation|Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach
2000|61.0|3.0|IEEE Transactions on Evolutionary Computation|Stochastic ranking for constrained evolutionary optimization
2001|117.0|4.0|IEEE Transactions on Information Theory|Analysis of sum-product decoding of low-density parity-check codes using a Gaussian approximation
2002|690.0|4.0|IEEE Transactions on Evolutionary Computation|A fast and elitist multiobjective genetic algorithm: NSGA-II
2003|243.0|4.0|IEEE Transactions on Evolutionary Computation|Performance assessment of multiobjective optimizers: an analysis and review
2004|295.0|4.0|IEEE Transactions on Antennas and Propagation|Particle swarm optimization in electromagnetics
2005|247.0|3.0|IEEE Transactions on Evolutionary Computation|Evolutionary optimization in uncertain environments-a survey
2006|305.0|3.0|IEEE Transactions on Evolutionary Computation|Comprehensive learning particle swarm optimizer for global optimization of multimodal functions
2007|167.0|2.0|Computer Methods in Applied Mechanics and Engineering|Robust optimization  A comprehensive survey
2008|254.0|2.0||A Field Guide to Genetic Programming
2009|463.0|2.0|IEEE Transactions on Evolutionary Computation|Differential Evolution Algorithm With Strategy Adaptation for Global Numerical Optimization
2010|242.0|3.0|Clinical Orthopaedics and Related Research|A New Metaheuristic Bat-Inspired Algorithm
