----  Field Name Evolutionary developmental biology: 
----  Field Level 2.0: 
----  Field Papers Number 2188:
----  All time max citation paper: Evolutionary origins of the endosperm in flowering plants., 2002, (918.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1976|4.0|2.0|American Journal of Physical Anthropology|Growth of the maxillary complex in the rhesus monkey (Macaca mulatta).
1980|0|0.0|International Political Science Review|Local Government and Development in India
1981|41.0|14.5|Peptides|The satiety effect of cholecystokinin: A progress report
1982|4.0|4.0|American Journal of Orthodontics|Longitudinal changes in the maxilla and the maxillary-mandibular relationship between 8 and 17 years of age
1983|5.0|0.0|Regulatory Peptides|Gastrin/cholecystokinin-like immunoreactive peptides in the Dungeness crab, Cancer magister (Dana): immunochemical and biological characterization
1984|26.0|5.5|Nature|A bacterial repressor protein or a yeast transcriptional terminator can block upstream activation of a yeast gene.
1985|7.0|2.0|Gene|Analysis of the inducible MEL1 gene of Saccharomyces carlsbergensis and its secreted product, alpha-galactosidase (melibiase)
1986|55.0|27.5|Nature|Upstream activator sequences are present in the promoters of nitrogen fixation genes
1987|20.0|4.0|Neuroscience Letters|Species differences in the localization of peripheral type cholecystokinin receptors in rodent brain
1988|27.0|3.5|Nature|GAL4 activates transcription in Drosophila.
1989|16.0|3.0|Molecular Microbiology|Upstream activating sequences that are shared by two divergently transcribed operons mediate cAMPCRP regulation of pilusadhesin in Escherichia coli
1990|24.0|3.5|The Journal of Comparative Neurology|Structural homology of identified motoneurones in larval and adult stages of hemi and holometabolous insects
1991|34.0|3.0|European Journal of Pharmacology|Evidence that CCK B receptors mediate the regulation of exploratory behaviour in the rat
1992|11.0|2.0|European Neuropsychopharmacology|Alterations in brain cholecystokinin receptors in suicide victims
1993|78.0|1.0|Development|Signals from the notochord and floor plate regulate the region-specific expression of two Pax genes in the developing spinal cord.
1994|119.0|2.0|Development|Pax-3 is required for the development of limb muscles: a possible role for the migration of dermomyotomal muscle progenitor cells
1995|62.0|3.0|Development|Homeobox genes and connective tissue patterning.
1996|136.0|4.0|Current Opinion in Genetics & Development|Special HATs for special occasions: linking histone acetylation to chromatin assembly and gene activation
1997|92.0|8.0|Proceedings of the National Academy of Sciences of the United States of America|Arabidopsis thaliana CBF1 encodes an AP2 domain-containing transcriptional activator that binds to the C-repeat/DRE, a cis-acting DNA regulatory element that stimulates transcription in response to low temperature and water deficit.
1998|44.0|5.0|Molecular Cell|Broad, but Not Universal, Transcriptional Requirement for yTAFII17, a Histone H3like TAFII Present in TFIID and SAGA
1999|65.0|10.0|Developmental Biology|Silencing of Developmental Genes in Hydra
2000|104.0|6.0|Nature Genetics|A computational analysis of whole-genome expression data reveals chromosomaldomains of gene expression
2001|150.0|9.0|Molecular and Cellular Biology|Transcriptional Profiling Shows that Gcn4p Is a Master Regulator of Gene Expression during Amino Acid Starvation in Yeast
2002|277.0|9.0|Genome Biology|Evolutionary origins of the endosperm in flowering plants.
2003|160.0|11.0|Molecular Biology and Evolution|The Evolution of Transcriptional Regulation in Eukaryotes
2004|93.0|10.0|The EMBO Journal|Pax7 directs postnatal renewal and propagation of myogenic satellite cells but not their specification
2005|63.0|8.0|Molecular and Cellular Biology|Domain-Wide Displacement of Histones by Activated Heat Shock Factor Occurs Independently of Swi/Snf and Is Not Correlated with RNA Polymerase II Density
2006|97.0|9.5|Developmental Biology|Satellite-cell pool size does matter: Defining the myogenic potency of aging skeletal muscle
2007|299.0|8.0|Evolution|THE LOCUS OF EVOLUTION: EVO DEVO AND THE GENETICS OF ADAPTATION
2008|55.0|9.0|Experimental Cell Research|Myostatin signals through Pax7 to regulate satellite cell self-renewal
2009|197.0|10.0|Nature|Deep homology and the origins of evolutionary novelty.
2010|155.0|9.0|Nature Reviews Genetics|Evolution and development of shape: integrating quantitative approaches
