----  Field Name Facility management: 
----  Field Level 2.0: 
----  Field Papers Number 4313:
----  All time max citation paper: Electrochemical capacitors for energy management, 2008, (1148.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1973|0|0.0|Energy Conversion|Technical alternatives for energy management
1974|19.0|19.0|Journal of Geophysical Research|On electron heat conduction in the solar wind
1976|6.0|3.0|ACM Transactions on Database Systems|Databsse system approach the management decision support
1979|3.0|3.0|Proceedings of the IEEE|Electric power load management: Some technical, economic, regulatory and social issues
1980|1.0|1.0|IEEE Transactions on Computers|Optimization of Memory Hierarchies in Multiprogrammed Computer Systems With Fixed Cost Constraint
1981|4.0|3.5|Journal of Thermal Biology|A two-dimensional operative-temperature model for thermal energy management by animals
1982|3.0|1.0|Applied Energy|Government policy and managerial practices for conserving energy in non-domestic premises
1983|3.0|0.5|Automatica|Energy management technology in pulp, paper, and allied industries
1984|2.0|2.0|Family and Consumer Sciences Research Journal|Residential Energy Research: Progress and Potential
1985|2.0|1.0|IEEE Transactions on Power Apparatus and Systems|Contingency Ranking and Simulation for On-Line Use
1986|1.0|0.5||Saving energy the easy way: An analysis of thermostat management
1987|5.0|2.0|Environmental Management|Public concerns and the public role in siting nuclear and chemical waste facilities
1988|40.0|4.5|IEEE Transactions on Software Engineering|A taxonomy of scheduling in general-purpose distributed computing systems
1989|3.0|0.0|computer software and applications conference|An object-oriented methodology for end-user logical database design: the structured entity model approach
1990|7.0|1.0|IEEE Transactions on Electron Devices|Analysis of the drain breakdown mechanism in ultra-thin-film SOI MOSFETs
1991|4.0|0.5|international conference on data engineering|The architecture of BrAID: a system for bridging AI/DB systems
1992|23.0|2.5|Operations Research|Economic Lot Sizing: An O(n log n) Algorithm That Runs in Linear Time in the Wagner-Whitin Case
1993|4.0|2.0|international symposium on autonomous decentralized systems|Task decomposition in dynamic agent societies
1994|99.0|3.5|IEEE Transactions on Very Large Scale Integration Systems|A survey of power estimation techniques in VLSI circuits
1995|23.0|3.0|Proceedings of the IEEE|Technology directions for portable computers
1996|22.0|2.0|design automation conference|Scheduling techniques to enable power management
1997|20.0|2.0|high-performance computer architecture|Software-managed address translation
1998|61.0|2.0|IEEE Personal Communications|Software strategies for portable computer energy management
1999|154.0|6.0|IEEE Journal on Selected Areas in Communications|Minimum energy mobile wireless networks
2000|38.0|5.0|international conference on communications|Power management for throughput enhancement in wireless ad-hoc networks
2001|166.0|5.0|IEEE Computer|Smart Dust: communicating with a cubic-millimeter computer
2002|116.0|4.0|IEEE Transactions on Mobile Computing|Optimizing sensor networks in the energy-latency-density design space
2003|131.0|7.0|Nature Materials|Single-wall carbon nanotubes as attractive toughening agents in alumina-based nanocomposites
2004|85.0|5.0|Computer Communication Review|Reconsidering wireless systems with multiple radios
2005|171.0|4.0|international conference on computer communications|Energy-efficient target coverage in wireless sensor networks
2006|167.0|3.0|international conference on management of data|High-performance complex event processing over streams
2007|89.0|4.0|IEEE Wireless Communications|Localization systems for wireless sensor networks
2008|482.0|3.0|Science|Electrochemical capacitors for energy management
2009|129.0|3.0|IEEE Transactions on Power Electronics|VSC-Based HVDC Power Transmission Systems: An Overview
2010|308.0|7.0|international conference on mobile systems, applications, and services|MAUI: making smartphones last longer with code offload
