----  Field Name Family therapy: 
----  Field Level 2.0: 
----  Field Papers Number 7612:
----  All time max citation paper: Clinical Significance: A Statistical Approach to Defining Meaningful Change in Psychotherapy Research., 1991, (2867.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1966|1.0|1.0|Comprehensive Psychiatry|From family therapy to a psychology of relationships: Fictions of the individual and fictions of the family
1967|5.0|3.5|Behaviour Research and Therapy|Cognitive behavior modification: Motivated learning reading treatment with subprofessional therapy-technicians
1968|8.0|5.5|Behaviour Research and Therapy|Behavior modification of smoking: The experimental investigation of diverse techniques
1969|3.0|1.0|Journal of School Psychology|Behavior modification with children: Rationale and technique
1970|4.0|2.0|Journal of School Psychology|The Results of A Pilot Program to Train Teachers in the Classroom Application of Behavior Modification Techniques.
1971|4.0|1.0|Behavior Therapy|Teacher and students as sources for behavior modification in the classroom
1972|20.0|2.0|Science|Long-term habituation of a defensive withdrawal reflex in aplysia.
1973|13.0|0.0|Physiology & Behavior|Schedule induced behavior in humans
1974|14.0|1.0|Psychological Bulletin|Studies of behavior modification and juvenile delinquency: a review, methodological critique, and social perspective.
1975|42.0|3.0|Journal of Personality and Social Psychology|The role of expectations and attributions in the alleviation of learned helplessness
1976|11.0|3.0|Applied Psychophysiology and Biofeedback|Cognitive factors in biofeedback therapy
1977|12.0|1.0|Journal of Consulting and Clinical Psychology|Comparison of Cognitive Therapy and Behavior Therapy in the Treatment of Depression.
1978|141.0|3.0|Behavioral and Brain Sciences|How adaptive behavior is produced: a perceptual-motivational alternative to response reinforcements
1979|14.0|1.5|The Journal of Pediatrics|Reducing adolescent obesity through a school health program
1980|19.0|2.0|Family Relations|Supporting Families under Stress: The Role of Social Networks.
1981|30.0|2.0|Psychological Bulletin|Social Skills Intervention in the Treatment of Isolated or Withdrawn Children.
1982|37.0|2.5|International Journal of Eating Disorders|Bulimia and family therapy: A case study
1983|34.0|2.0|Behavior Therapy|Behavioral family therapy with conduct disorders in children
1984|30.0|2.0|American Psychologist|A study of the "value" systems of behavioral scientists
1985|67.0|2.0|Child Development|Families and individual development: provocations from the field of family therapy.
1986|40.0|1.0|Health Education & Behavior|The Role of Self-Efficacy in Achieving Health Behavior Change
1987|36.0|2.5|Journal of Consulting and Clinical Psychology|Behavioral Treatment and Normal Educational and Intellectual Functioning in Young Autistic Children.
1988|21.0|2.0|Journal of Consulting and Clinical Psychology|Comparison of Operant Behavioral and Cognitive-Behavioral Group Treatment for Chronic Low Back Pain.
1989|23.0|2.0|Research in Developmental Disabilities|A 20 Year Review of Punishment and Alternative Methods to Treat Problem Behaviors in Developmentally Delayed Persons.
1990|22.0|2.0|Journal of Consulting and Clinical Psychology|Group cognitive-behavioral treatment for the nonpurging bulimic: an initial evaluation.
1991|83.0|2.0|Journal of Consulting and Clinical Psychology|Clinical Significance: A Statistical Approach to Defining Meaningful Change in Psychotherapy Research.
1992|12.0|1.0|Journal of Marital and Family Therapy|HAVING A SECONDORDER MIND WHILE DOING FIRSTORDER THERAPY
1993|34.0|2.0|Journal of Consulting and Clinical Psychology|Group cognitive-behavioral therapy and group interpersonal psychotherapy for the nonpurging bulimic individual: a controlled comparison.
1994|19.0|2.0|Child Development|Young African-American Multigenerational Families in Poverty: Quality of Mothering and Grandmothering.
1995|19.0|1.0|Journal of Marital and Family Therapy|THE EFFICACY OF MARITAL AND FAMILY THERAPY: AN EMPIRICAL OVERVIEW, CONCLUSIONS, AND RECOMMENDATIONS
1996|34.0|2.0|Physiology & Behavior|Anorexia induced by chronic central administration of cytokines at estimated pathophysiological concentrations.
1997|23.0|2.0|Journal of Applied Behavior Analysis|Noncontingent reinforcement as treatment for severe problem behavior: some procedural variations.
1998|62.0|3.0|Journal of Consulting and Clinical Psychology|Empirically supported couple and family interventions for marital distress and adult mental health problems.
1999|69.0|2.0|JAMA|Soliciting the patient's agenda: have we improved?
2000|108.0|4.0|Pain|Spared nerve injury: an animal model of persistent peripheral neuropathic pain.
2001|73.0|4.0|Gastroenterology|Current status of medical and surgical therapy for obesity
2002|290.0|5.0|Genome Biology|Evaluation of differential gene expression during behavioral development in the honeybee using microarrays and northern blots
2003|558.0|5.0|The New England Journal of Medicine|Multifactorial intervention and cardiovascular disease in patients with type 2 diabetes.
2004|123.0|6.0|Journal of Substance Abuse Treatment|The Cannabis Youth Treatment (CYT) Study: Main findings from two randomized trials
2005|65.0|5.0|Journal of Consulting and Clinical Psychology|How Does Motivational Interviewing Work? Therapist Interpersonal Skill Predicts Client Involvement Within Motivational Interviewing Sessions.
2006|265.0|6.0|Psychological Bulletin|Does changing behavioral intentions engender behavior change? A meta-analysis of the experimental evidence.
2007|130.0|5.0|Journal of the American Academy of Child and Adolescent Psychiatry|3-Year Follow-up of the NIMH MTA Study
2008|574.0|4.0|The New England Journal of Medicine|Effect of a Multifactorial Intervention on Mortality in Type 2 Diabetes
2009|284.0|6.0|American Psychologist|Toward a Theory of Motivational Interviewing
2010|193.0|6.0|The New England Journal of Medicine|Multicenter, placebo-controlled trial of lorcaserin for weight management.
