----  Field Name Financial engineering: 
----  Field Level 2.0: 
----  Field Papers Number 1367:
----  All time max citation paper: Empirical Characteristics of Dynamic Trading Strategies: The Case of Hedge Funds, 1997, (499.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1975|0|0.0|European Economic Review|The impact of West European trade strategies on exports to Eastern Europe
1983|2.0|2.0|World Development|Alternative trade strategies and employment in the Argentine manufacturing sector
1988|28.0|15.0|World Bank Research Observer|Export promoting trade strategy : issues and evidence
1989|3.0|0.5||Would general trade liberalization in developing countries expand South-South trade?
1990|7.0|3.5|World Development|Trade strategy in medium-term adjustment
1991|10.0|0.5|Stochastic Processes and their Applications|Option hedging for semimartingales
1992|16.0|7.0|conference on object-oriented programming systems, languages, and applications|ET++SwapsManager: using object technology in the financial engineering domain
1993|6.0|2.5|Journal of Finance|Option Valuation and Hedging Strategies with Jumps in the Volatility of Asset Returns
1994|25.0|5.0|Journal of Finance|Firm Valuation, Earnings Expectations, and the ExchangeRate Exposure Effect
1995|20.0|2.0|Journal of Financial Economics|Anatomy of the trading process Empirical evidence on the behavior of institutional traders
1996|6.0|1.0|Journal of Forecasting|Forecasting Austrian IPOs: An Application of Linear and Neural Network Error-Correction Models
1997|49.0|2.5|Review of Financial Studies|Empirical Characteristics of Dynamic Trading Strategies: The Case of Hedge Funds
1998|36.0|4.0|Review of Financial Studies|An Anatomy of Trading Strategies
1999|26.0|2.5|Journal of International Economics|Foreign Portfolio Investors Before and during a Crisis
2000|20.0|3.0|Journal of Economic Behavior and Organization|The price dynamics of common trading strategies
2001|32.0|3.0|Journal of Financial Economics|Short-sellers, fundamental analysis, and stock returns
2002|80.0|3.0|Journal of Financial Economics|Stocks are special too: An analysis of the equity lending market
2003|47.0|5.0|IEEE Transactions on Power Systems|Risk assessment in energy trading
2004|66.0|2.0|Industrial and Corporate Change|Tools of the trade: the socio-technology of arbitrage in a Wall Street trading room
2005|82.0|4.0|Acta Tropica|Artemisinin-based combination therapies (ACTs): Best hope for malaria treatment but inaccessible to the needy!
2006|133.0|3.0|Journal of Financial Economics|Separating microstructure noise from volatility
2007|54.0|3.0|Journal of Economic Surveys|WHAT DO WE KNOW ABOUT THE PROFITABILITY OF TECHNICAL ANALYSIS?
2008|68.0|4.0|The Review of Economic Studies|Manipulation and the Allocational Role of Prices
2009|143.0|3.0|Review of Financial Studies|Short-Sale Strategies and Return Predictability
2010|81.0|3.0|Applied Mathematical Finance|Optimal Execution with Nonlinear Impact Functions and Trading-enhanced Risk
