----  Field Name Fiscal policy: 
----  Field Level 2.0: 
----  Field Papers Number 55032:
----  All time max citation paper: Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation, 1982, (5652.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|7.0|7.0|Geochimica et Cosmochimica Acta|The isotopic compositions and concentrations of lead in some chondritic stone meteorites
1965|1.0|0.5|Demography|Long swings in u.s. demographic and economic growth: some findings on the historical pattern
1966|3.0|3.0||Innovations in interest rate policy
1967|0|0.0|Staff Studies|Interest rates and the demand for consumer durable goods
1968|1.0|1.0|Proceedings of the IEEE|Traffic flow theory
1969|3.0|1.0|Journal of Economic Literature|Balance-of-Payments Theory
1970|3.0|2.0|Nature|Control of Chemical Pollutants
1971|12.0|0.5|Management Science|A Generalized Goal Decomposition Model
1972|13.0|2.0|Journal of Economic Theory|Optimal economic growth and uncertainty: The discounted case
1973|6.0|1.0|Journal of Political Economy|Aggregate Demand, Job Search, and Employment
1974|15.0|0.5|Journal of Financial Economics|Stock prices, inflation, and the term structure of interest rates
1975|19.0|1.0|Journal of International Economics|Some doubts about the efficacy of monetary policy under flexible exchange rates
1976|41.0|2.0|The Scandinavian Journal of Economics|The Exchange Rate and the Balance of Payments in the Short Run and in the Long Run: A Monetary Approach
1977|12.0|1.0|World Development|Issues and evidence on recent Brazilian economic growth
1978|13.0|1.5|Journal of Development Economics|Exports and economic growth : Further evidence
1979|67.0|2.0|Journal of Political Economy|STABILIZING POWERS OF MONETARY POLICY UNDER RATIONAL EXPECTATIONS
1980|20.0|2.0|Geochimica et Cosmochimica Acta|Geochemistry of ultramafic xenoliths from Kapfenstein, Austria: evidence for a variety of upper mantle processes
1981|31.0|1.5|Journal of Monetary Economics|The Real Interest Rate: An Empirical Investigation
1982|62.0|2.0|Econometrica|Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation
1983|70.0|3.0|Journal of Monetary Economics|Rules, Discretion and Reputation in a Model of Monetary Policy
1984|47.0|2.0||International Interest Rate and Price Level Linkages under Flexible Exchange Rates: A Review of Recent Evidence
1985|66.0|1.0|Journal of International Economics|Conditional variance and the risk premium in the foreign exchange market
1986|39.0|2.0|Journal of Monetary Economics|Reputation in a Model of Monetary Policy with Incomplete Information
1987|43.0|2.0|Journal of Econometrics|Interpreting the evidence on money-income causality
1988|32.0|2.0||Sources of Business Cycle Fluctuations
1989|84.0|2.0|Journal of Monetary Economics|Is public expenditure productive?
1990|82.0|1.0|Journal of Political Economy|Endogenous Technological Change
1991|73.0|1.0|FEBS Letters|Control of the light-harvesting function of chloroplast membranes by aggregation of the LHCII chlorophyllprotein complex
1992|132.0|2.0|Econometrica|Bond Pricing and the Term Structure of Interest Rates: A New Methodology for Contingent Claims Valuation
1993|88.0|2.0|Journal of Monetary Economics|Discretion versus policy rules in practice
1994|91.0|2.0||The Logic of Currency Crises
1995|119.0|2.0|Economics and Politics|INSTITUTIONS AND ECONOMIC PERFORMANCE: CROSSCOUNTRY TESTS USING ALTERNATIVE INSTITUTIONAL MEASURES
1996|105.0|2.0|Brookings Papers on Economic Activity|What Does Monetary Policy Do?
1997|137.0|2.0||An Optimization-based Econometric Framework for the Evaluation of Monetary Policy
1998|119.0|2.0||Interest-Rate Rules in an Estimated Sticky Price Model
1999|360.0|3.0|Journal of Economic Literature|The New Growth Evidence
2000|190.0|3.0|The American Economic Review|A Reassessment of the Relationship Between Inequality and Growth
2001|186.0|3.0|Journal of Economic Growth|Growth is Good for the Poor
2002|298.0|3.0|Nature|The economic and social burden of malaria
2003|179.0|3.0||Breaking the conflict trap : civil war and development policy
2004|234.0|3.0|Quarterly Journal of Economics|The modern history of exchange rate arrangements: A reinterpretation
2005|202.0|3.0||Handbook of Economic Growth
2006|385.0|3.0|Proceedings of the National Academy of Sciences of the United States of America|Powering the planet: Chemical challenges in solar energy utilization
2007|366.0|3.0|European Heart Journal|How to diagnose diastolic heart failure: a consensus statement on the diagnosis of heart failure with normal left ventricular ejection fraction by the Heart Failure and Echocardiography Associations of the European Society of Cardiology
2008|335.0|3.0|Atmospheric Environment|Air pollution in mega cities in China
2009|305.0|3.0||Conditional cash transfers : reducing present and future poverty
2010|1053.0|3.0|Renewable & Sustainable Energy Reviews|Microalgae for biodiesel production and other applications: A review
