----  Field Name Futures Studies: 
----  Field Level 2.0: 
----  Field Papers Number 5754:
----  All time max citation paper: Image retrieval: Ideas, influences, and trends of the new age, 2008, (1213.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1971|1.0|1.0||Guidelines for Applied Agricultural Research: Designing, Reporting and Interpreting Experiments
1974|2.0|2.0|international conference on management of data|The futures of database management
1975|2.0|2.0||On Methods for the Large-Scale Production of Hydrogen from Water
1977|11.0|6.0||Structure memory designs for a database computer
1978|1.0|1.0||The diffusion of trace element technology: an economic analysis
1979|9.0|5.5|Proceedings of the IEEE|Medical ultrasonic imaging: An overview of principles and instrumentation
1980|2.0|2.0|Australian Journal of Agricultural and Resource Economics|A REVIEW OF THREE RESEARCH PROGRAMS IN QUANTITATIVE MODELLING IN THE BUREAU OF AGRICULTURAL ECONOMICS
1981|10.0|8.5||Review of Methods Used to Evaluate Returns to Agricultural Research
1982|5.0|1.0|Tourism Management|Can futures research contribute to tourism policy?
1983|1.0|1.0|symposium on principles of database systems|Attributed grammars for query language translations
1984|7.0|0.5|Australian Journal of Agricultural and Resource Economics|PERSPECTIVES ON ASSESSING THE IMPACTS OF IMPROVED AGRICULTURAL TECHNOLOGIES IN DEVELOPING COUNTRIES
1985|3.0|1.5||THE INFLUENCE OF TECHNOLOGICAL PROGRESS ON THE LONG RUN FARM LEVEL ECONOMICS OF SOIL CONSERVATION
1986|1.0|0.5|IEEE Journal on Selected Areas in Communications|An Overview of the Army/DARPA Distributed Communications and Processing Experiment
1987|7.0|1.5|Journal of Geophysical Research|Study of the highfrequency spectrum of the anomalous gravity potential
1988|8.0|4.0|International Journal of Forecasting|A move toward scenario analysis
1989|21.0|2.0|international conference on computer design|Integration and packaging plateaus of processor performance
1990|10.0|0.0|international symposium on physical design|Geometric learning algorithms
1991|28.0|1.0|Mathematics of Operations Research|Scenarios and policy aggregation in optimization under uncertainty
1992|27.0|1.0|Educational Technology Research and Development|Emerging Technologies, ISD, and Learning Environments: Critical Perspectives
1993|46.0|1.0|international conference on management of data|Database system issues in nomadic computing
1994|102.0|4.0|IEEE Software|Inquiry-based requirements analysis
1995|74.0|3.0|Ai Magazine|Intelligent Agents for Interactive Simulation Environments
1996|60.0|2.0|international conference on computer communications|Intelligent agents: an emerging technology for next generation telecommunications?
1997|102.0|3.0|international conference on management of data|InfoSleuth: agent-based semantic integration of information in open and dynamic environments
1998|109.0|2.0|IEEE Personal Communications|Overview of spatial channel models for antenna array communication systems
1999|91.0|3.0|Developmental Biology|Z/AP, a Double Reporter for Cre-Mediated Recombination
2000|167.0|3.0|international symposium on computer architecture|Clock rate versus IPC: the end of the road for conventional microarchitectures
2001|153.0|4.0|Nature Biotechnology|Magnetodendrimers allow endosomal magnetic labeling and in vivo tracking of stem cells
2002|299.0|4.0|Nature Reviews Immunology|Viruses and interferon: a fight for supremacy
2003|238.0|4.0|Nature Reviews Cancer|5-Fluorouracil: mechanisms of action and clinical strategies
2004|197.0|5.0|cryptographic hardware and embedded systems|Strong Authentication for RFID Systems Using the AES Algorithm
2005|145.0|6.0|Science of The Total Environment|Acid mine drainage remediation options: a review
2006|116.0|4.0|BMC Genomics|Analysis of the proState cancer cell line LNCaP transcriptome using a sequencing-by-synthesis approach
2007|661.0|5.0|Cell|The Mammalian Epigenome
2008|935.0|4.0|ACM Computing Surveys|Image retrieval: Ideas, influences, and trends of the new age
2009|260.0|5.0|Proceedings of the IEEE|Cooperative Communications for Cognitive Radio Networks
2010|248.0|6.0|European Journal of Cancer|Magnetic resonance imaging of the breast: Recommendations from the EUSOMA working group
