----  Field Name Game theory
----  Field Level 2.0
----  Field Papers Number 90928
----  All time max citation paper Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images, 1984, (4661.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1945|3.0|3.0|Journal of Dairy Science|The Methylene-Blue Reduction Test and its Relation to Other Measures of Quality in Bull Semen
1952|0|0.0|Bulletin of the American Mathematical Society|Some notions and problems of game theory
1955|1.0|1.0|Transactions of the American Mathematical Society|Some functional equations in the theory of dynamic programming. I. Functions of points and point transformations
1956|0|0.0||ON GAMES OF SURVIVAL,
1957|0|0.0|Journal of Economics|Game theory, linear programming and input-output analysis
1960|6.0|6.0|Journal of Mathematical Physics|COMPUTATION OF ORDER PARAMETERS IN AN ISING LATTICE BY THE MONTE CARLO METHOD
1961|1.0|0.0|Mathematische Zeitschrift|Some remarks on generalised products of groups with amalgamations
1962|3.0|1.0|Australian Journal of Agricultural and Resource Economics|APPLICATIONS OF GAME THEORY IN AGRICULTURAL ECONOMICS: REVIEW AND REQUIEM*
1963|3.0|0.0|International Economic Review|A limit theorem on the core of an economy
1964|4.0|2.0|Biometrika|BAYESIAN ANALYSIS OF RANDOM-EFFECT MODELS IN THE ANALYSIS OF VARIANCE. I. POSTERIOR DISTRIBUTION OF VARIANCE-COMPONENTS.
1965|16.0|4.0|Journal of the ACM|A New Normal-Form Theorem for Context-Free Phrase Structure Grammars
1966|6.0|2.5||An approach toward answering English questions from text
1967|28.0|3.0|Communications of The ACM|The simulation of time sharing systems
1968|5.0|0.5|Journal of Economic Theory|EFFICIENCY PRICES IN AN INFINITE-DIMENSIONAL SPACE.
1969|9.0|1.0|Journal of Economic Theory|On Market Games,
1970|14.0|2.0|Journal of the ACM|On Canonical Forms and Simplification
1971|9.0|1.0|Communications of The ACM|An analysis of some time-sharing techniques
1972|43.0|1.0|Cognitive Psychology|Subjective probability: A judgment of representativeness
1973|53.0|1.0|Journal of Personality and Social Psychology|Social Psychology As History
1974|40.0|1.0|Journal of Theoretical Biology|The theory of games and the evolution of animal conflicts
1975|36.0|2.0|Physiology & Behavior|A model of hormones and agonistic behavior
1976|64.0|2.0|ACM Transactions on Database Systems|Synthesizing third normal form relations from functional dependencies
1977|113.0|2.0|ACM Transactions on Database Systems|Multivalued dependencies and a new normal form for relational databases
1978|33.0|2.0|Psychopharmacology|Intruder-Evoked Aggression in Isolated and Nonisolated Mice" Effects of Psychomotor Stimulants and L-Dopa
1979|59.0|2.0|ACM Transactions on Database Systems|Computational problems related to the design of normal form relational schemas
1980|38.0|1.0|IEEE Transactions on Communications|Multiaccess Protocols in Packet Communication Systems
1981|62.0|2.0|Behavioral and Brain Sciences|Dominance: The baby and the bathwater
1982|50.0|2.0|Atmospheric Environment|An updated chemical mechanism for hydrocarbon/NOx/SO2 photooxidations suitable for inclusion in atmospheric simulation models
1983|37.0|3.0|Physica D: Nonlinear Phenomena|The dimension of chaotic attractors
1984|100.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images
1985|73.0|3.0|Journal of Finance|Does the Stock Market Overreact?
1986|124.0|2.0|Psychological Review|A spreading-activation theory of retrieval in sentence production.
1987|88.0|3.0|principles of distributed computing|Hierarchical correctness proofs for distributed algorithms
1988|58.0|2.0|ACM Transactions on Database Systems|Extended algebra and calculus for nested relational databases
1989|196.0|2.0|Ethology and Sociobiology|Evolutionary psychology and the generation of culture, part II
1990|125.0|3.0|Journal of the ACM|Knowledge and common knowledge in a distributed environment
1991|81.0|2.0|Journal of Chemical Physics|Magic number carbon clusters: Ionization potentials and selective reactivity
1992|138.0|2.0|Machine Learning|A Bayesian Method for the Induction of Probabilistic Networks from Data
1993|85.0|3.0|Statistical Science|Bayesian analysis in expert systems
1994|131.0|2.0|Psychonomic Bulletin & Review|Guided Search 2.0 A revised model of visual search
1995|87.0|2.0|Behavioral and Brain Sciences|Self-control: Beyond commitment
1996|157.0|2.0|IEEE Transactions on Fuzzy Systems|Fuzzy logic = computing with words
1997|143.0|3.0|IEEE Transactions on Evolutionary Computation|No free lunch theorems for optimization
1998|336.0|3.0||Polychemotherapy for early breast cancer: An overview of the randomised trials
1999|212.0|3.0|Journal of Economic Literature|The Science of Monetary Policy: a New Keynesian Perspective
2000|374.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Normalized cuts and image segmentation
2001|169.0|4.0|symposium on the theory of computing|Algorithms, games, and the internet
2002|539.0|4.0|IEEE Transactions on Signal Processing|A tutorial on particle filters for online nonlinear/non-Gaussian Bayesian tracking
2003|847.0|4.0|American Journal of Human Genetics|A Comparison of Bayesian Methods for Haplotype Reconstruction from Population Genotype Data
2004|539.0|5.0|Systematic Biology|Model Selection and Model Averaging in Phylogenetics: Advantages of Akaike Information Criterion and Bayesian Approaches Over Likelihood Ratio Tests
2005|460.0|4.0|Nature|Strategies for containing an emerging influenza pandemic in Southeast Asia
2006|473.0|4.0|Science|Five Rules for the Evolution of Cooperation
2007|1831.0|4.0|BMC Evolutionary Biology|BEAST: Bayesian evolutionary analysis by sampling trees
2008|345.0|3.0|Genetics|A genome-scan method to identify selected loci appropriate for both dominant and codominant markers: a Bayesian perspective.
2009|483.0|4.0|NeuroImage|Bayesian analysis of neuroimaging data in FSL.
2010|1323.0|4.0|PLOS ONE|A Geometrical Perspective for the Bargaining Problem
