----  Field Name Gamma-ray astronomy: 
----  Field Level 2.0: 
----  Field Papers Number 1054:
----  All time max citation paper: Eicosanoids and the gastrointestinal tract, 1995, (272.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1968|32.0|32.0|Journal of Geophysical Research|Interpretation of auroral hiss measured on OGO 2 and at Byrd Station in terms of incoherent Cerenkov Radiation
1969|11.0|1.0|Proceedings of SPIE|Picosecond Laser Pulses
1972|16.0|13.0|Journal of Geophysical Research|An evaluation of the intensity of cerenkov radiation from auroral electrons with energies down to 100 ev
1973|6.0|6.0|Journal of Geophysical Research|Use of electron and proton beams for production of very low frequency and hydromagnetic emissions
1974|31.0|31.0|Journal of Geophysical Research|A test of incoherent Cerenkov radiation for VLF hiss and other magnetospheric emissions
1975|8.0|6.0|Planetary and Space Science|A calculation of auroral hiss with improved models for geoplasma and magnetic field
1976|36.0|18.0|Journal of Geophysical Research|coherent generation of VLF hiss
1977|0|0.0||Performance analysis of grazing incidence imaging systems
1978|4.0|1.5|Journal of Applied Physics|Analysis of bunching of an electron beam at optical wavelengths
1979|3.0|3.0|The Journal of Allergy and Clinical Immunology|The relevance of neutrophil chemotactic factors to allergic disease
1980|0|0.0|Physics of Fluids|Spontaneous emission of plasmafrequency radiation in tokamaks
1981|8.0|5.0|Pharmacology, Biochemistry and Behavior|The effects of dl -cathinone in a gustatory avoidance paradigm
1982|10.0|7.0|Geophysical Research Letters|Detailed Observations of the Source of Terrestrial Narrowband Electromagnetic Radiation.
1984|8.0|1.0|Biochimica et Biophysica Acta|Characterization of lipoxygenase metabolites of arachidonic acid in cultured human skin fibroblasts
1985|27.0|8.0|Gastroenterology|Arachidonic acid metabolites and their role in inflammatory bowel disease
1986|0|0.0|Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment|The position sensitive proportional counter (PSPC) of the Rosat telescope
1987|25.0|2.0|Journal of Geophysical Research|Chaotization of the electron motion as the cause of an internal magnetotail instability and substorm onset
1988|14.0|4.0|Journal of Geophysical Research|An analysis of whistler mode radiation from the Spacelab 2 electron beam
1989|14.0|5.0|Journal of Geophysical Research|Coherent Cerenkov radiation from the Spacelab 2 electron beam
1990|18.0|1.0|The Journal of Allergy and Clinical Immunology|Pathogenesis of airway mucus hypersecretion
1991|1.0|0.0|Advances in Space Research|Fluctuations in the X-ray background, X-ray source counts and astro D
1992|7.0|1.0|Tetrahedron Letters|A new efficient synthesis of (5S,12S)-DiHETE
1993|32.0|1.0|Journal of Applied Physics|Multilayer X-ray mirrors - Interfacial roughness, scattering, and image quality
1994|3.0|1.0|Physiological and Molecular Plant Pathology|Eicosanoids in the Phytophthora infestans -potato interaction: lipoxygenase metabolism of arachidonic acid and biological activities of selected lipoxygenase products
1995|88.0|3.0|Gastroenterology|Eicosanoids and the gastrointestinal tract
1996|18.0|3.5|Advances in Space Research|New observational facts about solar flares from Yohkoh studies  Evidence of magnetic reconnection and a unified model of flares
1997|11.0|1.0|Mayo Clinic Proceedings|New Insights Into the Pathophysiology of Renovascular Hypertension
1998|16.0|2.5|high level parallel programming models and supportive environments|ZPL's WYSIWYG performance model
1999|21.0|3.5|American Journal of Physiology-renal Physiology|20-HETE agonists and antagonists in the renal circulation
2000|37.0|6.0|Peptides|Comparison of central administration of corticotropin-releasing hormone and urocortin on food intake, conditioned taste aversion, and c-Fos expression
2001|20.0|1.5|Monthly Notices of the Royal Astronomical Society|ASCA and ROSAT observations of nearby cluster cooling flows
2002|59.0|1.5|Mayo Clinic Proceedings|HER2 testing in patients with breast cancer: poor correlation between weak positivity by immunohistochemistry and gene amplification by fluorescence in situ hybridization.
2003|20.0|2.0|Prostaglandins & Other Lipid Mediators|Role of cytochrome P450-dependent arachidonic acid metabolites in liver physiology and pathophysiology
2004|53.0|2.0|European Journal of Radiology|CT angiography with three-dimensional techniques for the early diagnosis of intracranial aneurysms. Comparison with intra-arterial DSA and the surgical findings.
2005|28.0|5.0|Geomorphology|Evaluation of current statistical approaches for predictive geomorphological mapping
2006|72.0|4.0|Journal of the American College of Cardiology|Computed Tomography Coronary Angiography
2007|98.0|4.0|Publications of the Astronomical Society of Japan|The X-ray telescope onboard Suzaku
2008|190.0|5.0|Solar Physics|The Solar Optical Telescope for the Hinode Mission: An Overview
2009|143.0|5.0|Journal of the American College of Cardiology|Coronary computed tomography angiography for early triage of patients with acute chest pain: the ROMICAT (Rule Out Myocardial Infarction using Computer Assisted Tomography) trial.
2010|156.0|4.0|Journal of the American College of Cardiology|Prognostic Value of 64-Slice Cardiac Computed Tomography: Severity of Coronary Artery Disease, Coronary Atherosclerosis, and Left Ventricular Ejection Fraction
