----  Field Name Gemology: 
----  Field Level 2.0: 
----  Field Papers Number 3493:
----  All time max citation paper: Zirconia as a ceramic biomaterial., 1999, (837.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1964|0|0.0|Geophysical Prospecting|REFRACTION SEISMICS WITH AN ANISOTROPIC OVERBURDEN: A GRAPHICAL METHOD OF INTERPRETATION*
1968|6.0|6.0|Geophysical Prospecting|Magneto-telluric measurements in the North German basin
1971|3.0|2.5|Geophysical Prospecting|REFLECTIONS ON AMPLITUDES*
1975|1.0|1.0|Geophysical Prospecting|AN INTERACTIVE COMPUTER/GRAPHICDISPLAYTERMINAL SYSTEM FOR INTERPRETATION OF RESISTIVITY SOUNDINGS*
1976|2.0|2.0|Geophysical Prospecting|A COMPARISON BETWEEN WIENER FILTERING, KALMAN FILTERING, AND DETERMINISTIC LEAST SQUARES ESTIMATION*
1977|3.0|1.5|Geophysical Prospecting|Resistivity sounding on a multi-layered earth with transitional layers. Part I: theory
1978|1.0|1.0|Geophysical Prospecting|Attenuation of coherent noise in marine seismic exploration using very long arrays
1979|6.0|6.0|Geophysical Prospecting|RESISTIVITY MODELLING FOR ARBITRARILY SHAPED TWODIMENSIONAL STRUCTURES*
1980|5.0|1.0|Geophysical Prospecting|THE QUANTITATIVE INTERPRETATION OF DIPOLE SOUNDINGS BY MEANS OF THE RESISTIVITY TRANSFORM FUNCTION*
1981|4.0|3.0|Geophysical Prospecting|A NOTE ON THE USE OF A NOMOGRAM FOR SELFPOTENTIAL ANOMALIES*
1982|2.0|2.0|Geophysical Prospecting|Comparison of five least-squares inversion techniques in resistivity sounding
1983|3.0|3.0|Geophysical Prospecting|Linear filtering of VLF dip-angle measurements
1984|4.0|1.0|Geophysical Prospecting|THREETERM TAYLOR SERIES FOR t2  x2CURVES OF P AND SWAVES OVER LAYERED TRANSVERSELY ISOTROPIC GROUND*
1985|10.0|2.0|Geophysical Prospecting|SEPARATION OF P AND SWAVES*
1986|5.0|2.0|Geophysical Prospecting|ANISOTROPY AND TRANSVERSE ISOTROPY*
1987|1.0|0.0|Geophysical Prospecting|A SIMPLE METHOD OF INTERPRETATION OF RESISTIVITY SOUNDING DATA USING EXPONENTIAL APPROXIMATION OF THE KERNEL FUNCTION*
1988|19.0|3.5|Basin Research|Listric extensional fault systems - results of analogue model experiments
1989|24.0|5.0|Journal of the American Ceramic Society|Spatially Resolved Raman Spectroscopy Study of Transformed Zones in MagnesiaPartiallyStabilized Zirconia
1990|154.0|3.0|Journal of the American Ceramic Society|Perspective on the Development of HighToughness Ceramics
1991|33.0|8.0|Journal of the American Ceramic Society|Enhanced Fracture Toughness in Layered Microcomposites of CeZrO2 and Al2O3
1992|23.0|3.0|Journal of the American Ceramic Society|CubictoTetragonal (t') Transformation in ZirconiaContaining Systems
1993|20.0|2.5|Basin Research|The interaction between normal faulting and drainage in active extensional basins, with examples from the western United States and central Greece
1994|11.0|6.0|Solid State Ionics|Characterization of mixed conductors by dc techniques. Part I: Theoretical solutions
1995|24.0|2.0|Solid State Ionics|Model for ion-blocking at internal interfaces in zirconias
1996|48.0|2.0|Geophysical Prospecting|Rapid leastsquares inversion of apparent resistivity pseudosections by a quasiNewton method1
1997|11.0|3.0|Microporous Materials|Separation of alcohol/water mixtures by pervaporation through zeolite A membranes
1998|22.0|1.0|Journal of Colloid and Interface Science|Nucleation and Growth for Synthesis of Nanometric Zirconia Particles by Forced Hydrolysis
1999|51.0|4.0|Catalysis Today|Methanol reforming for fuel-cell applications: development of zirconia-containing CuZnAl catalysts
2000|66.0|5.0|Solid State Ionics|Fabrication of thin electrolytes for second-generation solid oxide fuel cells
2001|42.0|4.0|Journal of Molecular Recognition|Current and emerging commercial optical biosensors
2002|49.0|5.0|Catalysis Today|X-ray absorption fine structure analysis of local structure of CeO 2 ZrO 2 mixed oxides with the same composition ratio (Ce/Zr=1)
2003|70.0|5.0|Journal of Catalysis|Automotive exhaust catalysis
2004|78.0|6.0|Biophysical Journal|The Density and Refractive Index of Adsorbing Protein Layers
2005|65.0|5.0|Dental Materials|Microtensile bond strength of different components of core veneered all-ceramic restorations
2006|115.0|6.0|Biomaterials|What future for zirconia as a biomaterial?
2007|107.0|6.0|Journal of Dentistry|An overview of zirconia ceramics: basic properties and clinical applications.
2008|252.0|8.0|Dental Materials|State of the art of zirconia for dental applications
2009|134.0|7.0|BMC Genomics|Sugarcane genes associated with sucrose content
2010|126.0|8.0|Journal of Oral Rehabilitation|Clinical trials in zirconia: a systematic review
