----  Field Name Geomechanics: 
----  Field Level 2.0: 
----  Field Papers Number 1171:
----  All time max citation paper: The All-Species Living Tree project: a 16S rRNA-based phylogenetic tree of all sequenced type strains., 2008, (312.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1973|7.0|5.0|Respiration Physiology|Immediate ventilatory response to elastic loads and positive pressure in man
1975|4.0|4.0|Wear|WHEEL/RAIL ADHESION-BOUNDARY LUBRICATION BY OILY FLUIDS
1976|0|0.0|Metallurgical and Materials Transactions A-physical Metallurgy and Materials Science|Residual strength of shock loaded RMI 38644
1977|6.0|4.0|Journal of Biomechanics|Compact bone fatigue damageI. Residual strength and stiffness
1978|1.0|1.0|Journal of Composite Materials|Fatigue and Residual Strength Degradation for Graphite/Epoxy Composites Under Tension-Compression Cyclic Loadings
1979|3.0|3.0|Journal of Archaeological Science|The estimation of the relative frequencies of mammalian species: Khirokitia 1972
1980|0|0.0|Wear|TEMPERATURE RISE DUE TO SLIP BETWEEN WHEEL AND RAIL: AN ANALYTICAL SOLUTION FOR HERTZIAN CONTACT
1983|0|0.0|Composite Structures|Residual strength assessment of SMC composites subjected to dynamic impact
1984|7.0|7.0|International Journal for Numerical and Analytical Methods in Geomechanics|Dynamic behaviour of saturated porous media; The generalized Biot formulation and its numerical solution
1985|4.0|4.0|Composites Science and Technology|Cumulative damage theory for composite materials: Residual life and residual strength methods
1986|3.0|2.0|Composites|Hygrothermal effects on the mechanical behaviour of graphite fibre-reinforced epoxy laminates beyond initial failure
1988|0|0.0|Composite Structures|Non-destructive test analysis and life and residual strength prediction of composite aircraft structures
1989|1.0|0.5|Journal of Cataract and Refractive Surgery|Secondary intraocular lens implantation in eyes that experienced suprachoroidal hemorrhage during primary cataract surgery
1990|24.0|0.5|Gastroenterology|Clinical, biological, and endoscopic picture of attacks of Crohn's disease
1991|3.0|1.5|Engineering Geology|Correlation of mineralogy and index properties with residual strength of Iraklion marls
1992|2.0|1.0|Respiration Physiology|Airway anesthesia during positive and negative inspiratory pressure breathing in man
1993|24.0|2.5|Journal of the American Ceramic Society|Influence of Loading Frequency on the RoomTemperature Fatigue of a CarbonFiber/SiCMatrix Composite
1994|25.0|0.0|Nuclear Physics|The string dilation and a least coupling principle
1995|15.0|2.0|International Journal of Impact Engineering|Impact damage prediction in carbon composite structures
1996|17.0|1.0|Journal of The Mechanics and Physics of Solids|Some basic fracture mechanics concepts in functionally graded materials
1997|16.0|2.5|Quaternary Science Reviews|A ring-shear device for the study of till deformation: Tests on tills with contrasting clay contents
1998|39.0|3.0|European Respiratory Journal|Noninvasive pressure support ventilation in COPD patients with postextubation hypercapnic respiratory insufficiency.
1999|36.0|4.0|Molecular Ecology|Ribosomal small subunit sequence variation within spores of an arbuscular mycorrhizal fungus, Scutellospora sp.
2000|17.0|3.0|Critical Care Medicine|Noninvasive continuous positive airway pressure in neutropenic patients with acute respiratory failure requiring intensive care unit admission.
2001|23.0|3.0|Journal of Emergency Medicine|A prospective, randomized trial of BiPAP in severe acute congestive heart failure
2002|77.0|2.0|Molecular Ecology|Molecular diversity of arbuscular mycorrhizal fungi and patterns of host association over time and space in a tropical forest
2003|49.0|3.5|International Journal of Systematic and Evolutionary Microbiology|Multiple protein phylogenies show that Oxyrrhis marina and Perkinsus marinus are early branches of the dinoflagellate lineage
2004|100.0|5.0|Sleep|Evidence for lipid peroxidation in Obstructive sleep apnea
2005|21.0|5.5|Composites Science and Technology|Modelling single and double-lap repairs on composite materials
2006|76.0|6.0|Molecular Phylogenetics and Evolution|Lophotrochozoan phylogeny assessed with LSU and SSU data: Evidence of lophophorate polyphyly
2007|43.0|6.0|Energy Conversion and Management|Estimating maximum sustainable injection pressure during geological sequestration of CO2 using coupled fluid flow and geomechanical fault-slip analysis
2008|191.0|5.0|Systematic and Applied Microbiology|The All-Species Living Tree project: a 16S rRNA-based phylogenetic tree of all sequenced type strains.
2009|95.0|8.0||The Factor Structure of the System Usability Scale
2010|83.0|7.0|International Journal of Greenhouse Gas Control|Coupled reservoir-geomechanical analysis of CO 2 injection and ground deformations at In Salah, Algeria
