----  Field Name Geometric design: 
----  Field Level 2.0: 
----  Field Papers Number 7170:
----  All time max citation paper: A smooth particle mesh Ewald method, 1995, (5251.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1952|7.0|3.5|American Heart Journal|A geometric model for determining the direction of mean spatial vectors
1962|0|0.0|Bulletin of Mathematical Biology|On color perception
1964|12.0|12.0|Journal of Geophysical Research|Upper air neutral composition measurements by a mass spectrometer
1966|0|0.0|Philosophical Magazine|The effects of dislocation distribution on the low temperature electrical transport properties of deformed metals
1967|8.0|8.0|Journal of Approximation Theory|APPROXIMATION BY PERIODIC SPLINE INTERPOLANTS ON UNIFORM MESHES.
1968|10.0|7.0|Journal of Mathematical Analysis and Applications|On the Ahlberg-Nilson extension of spline interpolation: The g -splines and their optimal properties
1969|1.0|0.5|IEEE Journal of Quantum Electronics|Properties of an unstable confocal resonator CO 2 laser system
1970|3.0|3.0|Mathematics of Computation|Elliptic spline functions and the Rayleigh-Ritz-Galerkin method
1972|23.0|3.5|Journal of Approximation Theory|Error bounds for spline and L -spline interpolation
1973|5.0|2.5|Journal of Approximation Theory|Best bounds for the uniform periodic spline interpolation operator
1974|19.0|0.0|Journal of Geophysical Research|Theoretical considerations of electrical conductivity in a partially molten mantle and implications for geothermometry
1975|5.0|4.0|Journal of Geophysical Research|Seasonal and longitudinal variations in the occurrence frequency of magnetospheric ionization ducts
1976|14.0|2.5|Communications of The ACM|Hierarchical geometric models for visible surface algorithms
1977|8.0|3.0|Mathematics of Computation|Algorithms for computing shape preserving spline interpolations to data
1978|10.0|2.0|Psychological Review|Concerning the Applicability of Geometric Models to Similarity Data: The Interrelationship Between Similarity and Spatial Density
1979|38.0|2.0|Computer-aided Design|Geometric modelling: a survey
1980|78.0|2.0|ACM Computing Surveys|Representations for Rigid Solids: Theory, Methods, and Systems
1981|25.0|3.5|design automation conference|Virtual Grid Symbolic Layout
1982|58.0|2.0|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|Geometric modeling using octree encoding
1983|18.0|2.0|international conference on computer graphics and interactive techniques|Design of solids with free-form surfaces
1984|42.0|4.0|Proceedings of the IEEE|Extended Gaussian images
1985|24.0|3.5|ACM Transactions on Graphics|Object representation by means of nonminimal division quadtrees and octrees
1986|41.0|8.0|international conference on computer graphics and interactive techniques|Free-form deformation of solid geometric models
1987|37.0|6.5|international conference on computer graphics and interactive techniques|Set operations on polyhedra using binary space partitioning trees
1988|28.0|3.0||Geometric Modeling with Algebraic Surfaces
1989|25.0|3.0|international conference on computer graphics and interactive techniques|Layered construction for deformable animated characters
1990|29.0|1.5|international conference on computer graphics and interactive techniques|Extended free-form deformation: a sculpturing tool for 3D geometric modeling
1991|49.0|3.0|Computer-aided Design|Assessment of features technology
1992|134.0|4.0|international conference on computer graphics and interactive techniques|Decimation of triangle meshes
1993|27.0|2.5|Numerische Mathematik|A geometric model for active contours in image processing
1994|66.0|4.0|workshop on applications of computer vision|Image mosaicing for tele-reality applications
1995|139.0|2.0|international conference on computer graphics and interactive techniques|Multiresolution analysis of arbitrary meshes
1996|186.0|3.0|international conference on computer graphics and interactive techniques|Modeling and rendering architecture from photographs: a hybrid geometry- and image-based approach
1997|88.0|3.0|Computer-aided Design|Reverse engineering of geometric modelsan introduction
1998|51.0|2.0|IEEE Transactions on Image Processing|Variational principles, surface evolution, PDEs, level set methods, and the stereo problem
1999|87.0|4.0|Journal of Computational Physics|The fast construction of extension velocities in level set methods
2000|82.0|4.0|international conference on computer graphics and interactive techniques|Displaced subdivision surfaces
2001|164.0|5.0|Journal of Computational Physics|Level set methods: an overview and some recent results
2002|220.0|5.0|International Journal of Computer Vision|A Multiphase Level Set Framework for Image Segmentation Using the Mumford and Shah Model
2003|133.0|4.5||Acceleration techniques for GPU-based volume rendering
2004|98.0|4.0|Journal of Computational Physics|Structural optimization using sensitivity analysis and a level-set method
2005|230.0|5.0||Surface Parameterization: a Tutorial and Survey
2006|294.0|4.0|NeuroImage|User-guided 3D active contour segmentation of anatomical structures: Significantly improved efficiency and reliability
2007|224.0|4.0|International Journal of Computer Vision|A Review of Statistical Approaches to Level Set Segmentation: Integrating Color, Texture, Motion and Shape
2008|213.0|4.0|IEEE Transactions on Image Processing|Minimization of Region-Scalable Fitting Energy for Image Segmentation
2009|159.0|3.0|Journal of Geophysical Research|Global marine gravity from retracked Geosat and ERS1 altimetry: Ridge segmentation versus spreading rate
2010|544.0|4.5|Nanoscale Research Letters|Fabrication of Nickel Nanostructure Arrays Via a Modified Nanosphere Lithography
