----  Field Name Geostatistics: 
----  Field Level 2.0: 
----  Field Papers Number 4440:
----  All time max citation paper: Normalization for cDNA microarray data: a robust composite method addressing single and multiple slide systematic variation, 2002, (2194.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1964|0|0.0|Molecular Physics|The effect of relaxation on the symmetry of N.M.R. spectra
1965|0|0.0|Advanced Energy Conversion|Influence of spatially dependent properties on the performance of a thermoelectric heat pump
1966|16.0|16.0|Journal of Geophysical Research|Trapped protons of the inner radiation belt.
1967|7.0|3.5|Journal of Geophysical Research|Space and time variations in outerbelt electron spectra
1969|0|0.0|Journal of the Physical Society of Japan|The Breakdown of Effective Mass Equations Due to Rapidly Varying Potentials
1970|2.0|2.0|Remote Sensing of Environment|The multiband approach to geological mapping from orbiting satellites - Is it redundant or vital
1971|2.0|1.0|Regional and Urban Economics|Econometric estimation with spatial dependence
1973|4.0|2.0|Planetary and Space Science|The sideband instability of electrostatic waves in an inhomogeneous medium
1974|10.0|6.0|Journal of Geophysical Research|A theory of latitude dependent geomagnetic micropulsations: The asymptotic fields
1975|17.0|6.0|Planetary and Space Science|Calculated photoelectron pitch angle and energy spectra
1976|24.0|7.0|Journal of Geophysical Research|Multiplesatellite studies of magnetospheric substorms: Radial dynamics of the plasma sheet
1977|24.0|4.0|Journal of Geophysical Research|Two types of magnetospheric ELF chorus and their substorm dependences
1978|15.0|9.0|Journal of Applied Physics|Characterization of (Al,Ga)As injection lasers using the luminescence emitted from the substrate
1979|14.0|4.0|Journal of Geophysical Research|The mechanics of dynamic shear crack propagation
1980|18.0|2.0|Earth and Planetary Science Letters|Magnetotelluric soundings over the northeast Pacific may reveal spatial dependence of depth and conductance of the asthenosphere
1981|15.0|3.0|Icarus|A comparison of the thermal and radar characteristics of Mars
1982|16.0|4.0|Journal of Geophysical Research|Selfconsistent theory of timedependent convection in the Earth's magnetotail
1983|29.0|4.0|Journal of Applied Physics|MonteCarlo simulation of electron properties in rf parallel plate capacitively coupled discharges
1984|16.0|5.0|Journal of Applied Physics|Computer simulation of a CF4 plasma etching silicon
1985|15.0|5.0|Journal of Applied Physics|Multidimensional modeling of transverse avalanche laser discharges: Applications to the HgBr laser
1986|27.0|4.0|BioScience|Remote detection of forest damage
1987|10.0|2.5|Nutrient Cycling in Agroecosystems|Frequency distributions and spatially dependent variability of ammonium and nitrate concentrations in soil under grazed and ungrazed grassland
1988|29.0|3.0|Journal of Chemical Physics|Molecular dynamics study of an isomerizing diatomic in a LennardJones fluid
1989|22.0|2.0|Remote Sensing of Environment|A physical model for predicting bidirectional reflectances over bare soil
1990|39.0|2.0|Journal of Chemical Physics|Molecular dynamics simulations of the structure and dynamics of confined polymer melts
1991|17.0|5.0|Chemical Geology: Isotope Geoscience Section|The statistical distribution of the mean squared weighted deviation
1992|45.0|2.0|Ecological Monographs|Geostatistical tools for modeling and interpreting ecological spatial dependence
1993|22.0|5.0|Journal of Chemical Physics|Manifestations of spatially dependent friction in classical activated rate processes
1994|46.0|2.0|Journal of Geophysical Research|A constitutive law for rate of earthquake production and its application to earthquake clustering
1995|25.0|2.5|Physics of Plasmas|Beyond paradigm: Turbulence, transport, and the origin of the radial electric field in low to high confinement mode transitions in the DIIID tokamak
1996|27.0|2.0|Regional Science and Urban Economics|Simple diagnostic tests for spatial dependence
1997|24.0|2.0|Journal of Hydrology|Radar Mapping of Surface Soil Moisture
1998|75.0|3.0|Ecosystems|Quantifying Landscape Spatial Pattern: What Is the State of the Art?
1999|61.0|4.0|international conference on computer graphics and interactive techniques|A perceptually based physical error metric for realistic image synthesis
2000|46.0|3.0|Journal of Hydrology|Geostatistical approaches for incorporating elevation into the spatial interpolation of rainfall
2001|184.0|5.0|Annales Geophysicae|The Cluster Magnetic Field Investigation: overview of in-flight performance and initial results
2002|1026.0|5.5|Nucleic Acids Research|Normalization for cDNA microarray data: a robust composite method addressing single and multiple slide systematic variation
2003|162.0|5.0|Magnetic Resonance in Medicine|Reduction of eddy-current-induced distortion in diffusion MRI using a twice-refocused spin echo.
2004|66.0|6.0|Journal of Hydrology|Spatial correlation of soil moisture in small catchments and its relationship to dominant spatial hydrological processes
2005|70.0|5.0|Journal of Economic Geography|Regional convergence, inequality, and space
2006|112.0|6.0|International Journal of Computer Vision|Discriminative Random Fields
2007|84.0|6.0|Ecological Modelling|Incorporating spatial dependence in predictive vegetation models
2008|376.0|6.0|Nano Letters|Atomic Structure of Graphene on SiO2
2009|258.0|6.0|Water Resources Research|Integrating collocated auxiliary parameters in geostatistical simulations using joint probability distributions and probability aggregation
2010|99.0|7.0|BMC Genomics|A robust penalized method for the analysis of noisy DNA copy number data
