----  Field Name Geriatrics: 
----  Field Level 2.0: 
----  Field Papers Number 4416:
----  All time max citation paper: The Montreal Cognitive Assessment, MoCA: A Brief Screening Tool For Mild Cognitive Impairment, 2005, (1465.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|3.0|2.5|Arthritis & Rheumatism|Cervical vertebral erosions and subluxations in rheumatoid arthritis and ankylosing spondylitis
1962|4.0|3.0|Arthritis & Rheumatism|Long term uricosuric therapy in gout
1964|23.0|14.0|Journal of Clinical Investigation|Hemolytic Complement in Synovial Fluid*
1966|6.0|3.0|Organizational Behavior and Human Performance|Activation theory and task design
1969|1.0|0.5|Arthritis & Rheumatism|Leukocyteconnective tissue cell interaction. I. Stimulation of hyaluronate synthesis by live and dead leukocytes
1970|0|0.0|Arthritis & Rheumatism|Cardiac necrobiotic (Rheumatoid?) granulomas without arthritis. report of two cases
1971|2.0|1.5|Arthritis & Rheumatism|Reiter's disease, ankylosing spondylitis and rheumatoid arthritis occurring within a single family
1972|6.0|6.0|Environmental Research|Patterns of urban heat-wave deaths and implications for prevention: Data from New York and St. Louis during July, 1966
1973|2.0|1.0|Arthritis & Rheumatism|Influence of natural and synthetic estrogens on the course of autoimmune disease in the nzb/nzw mouse
1975|12.0|8.0|Environmental Research|Toxicity of polybrominated biphenyls (Firemaster BP-6) in rodents
1976|1.0|0.0|Arthritis & Rheumatism|Hypertrophic osteoarthropathy and rheumatoid arthritis. Simultaneous occurrence in association with diffuse interstitial fibrosis
1977|0|0.0|Arthritis & Rheumatism|Ecchymosis of the lower leg
1978|4.0|2.0|Environmental Research|A cellular model for studying accommodation to environmental stressors: Protection and potentiation by cadmium and other metals
1979|2.0|1.0|International Journal of Aging & Human Development|Individual Psychotherapy with the Aged: A Selective Review.
1980|5.0|1.5|Arthritis & Rheumatism|Acute nongonococcal infectious arthritis
1981|12.0|2.5|Experimental Gerontology|Comparative studies of the age-related changes in protein synthesis in the rat pancreas and parotid gland
1982|4.0|1.0|Mechanisms of Ageing and Development|Changes in the synthesis of exportable and nonexportable proteins in parotid glands during aging
1983|4.0|3.0|Journal of Chronic Diseases|Aging and drug disposition  Metabolism
1984|10.0|1.0|Arthritis & Rheumatism|A murine model of polymyositis induced by coxsackievirus B1 (Tucson strain).
1985|10.0|2.5|Journal of Clinical Psychology|Depression in geriatric and adult medical inpatients
1986|6.0|0.0|Experimental Gerontology|Endogenous pyrogen/interleukin-1 production in aged rats
1987|5.0|2.5|Journal of Quantitative Criminology|Linking the Micro- and Macro-Level Dimensions of Lifestyle-Routine Activity and Opportunity Models of Predatory Victimization
1988|15.0|1.5|Journal of Clinical Epidemiology|Cervical cancer screening practices among older women: results from the Maryland Cervical Cancer Case-Control Study.
1989|15.0|2.5|Journal of the American Geriatrics Society|Methods used to manage urinary incontinence by older adults in the community.
1990|16.0|2.0|Addictive Behaviors|Relationship between nicotine tolerance questionnaire scores and plasma cotinine
1991|10.0|2.0|The Journal of Allergy and Clinical Immunology|Findings before diagnoses of asthma among the elderly in a longitudinal study of a general population sample
1992|28.0|3.0|Journal of Clinical Epidemiology|The low cholesterol-mortality association in a national cohort
1993|13.0|1.5|Journal of Clinical Epidemiology|Change in self-reported functioning in older persons entering a residential care facility
1994|35.0|2.0|Journal of the American Geriatrics Society|Postural Control in Older Adults
1995|54.0|3.5|JAMA|Shared risk factors for falls, incontinence, and functional dependence : unifying the approach to geriatric syndromes
1996|16.0|2.0|Journal of Clinical Epidemiology|Measuring functional status: Cross-sectional and longitudinal associations between performance and self-report (Zutphen Elderly Study 19901993)
1997|90.0|4.0|Arthritis & Rheumatism|The role of T cells in the immunopathogenesis of rheumatoid arthritis: new perspectives.
1998|58.0|4.5|JAMA|Health Values of Hospitalized Patients 80 Years or Older
1999|52.0|5.0|American Journal of Preventive Medicine|Validation of self-report of influenza and pneumococcal vaccination status in elderly outpatients
2000|75.0|5.5|Arthritis & Rheumatism|Basic biology and clinical application of specific cyclooxygenase2 inhibitors
2001|44.0|4.0|Journal of the American Geriatrics Society|Aspiration Pneumonia: Dental and Oral Risk Factors in an Older Veteran Population
2002|51.0|7.0|Developmental Review|The Life-Course Dynamics of Goal Pursuit and Goal Adjustment: A Two-Process Framework
2003|127.0|6.0|JAMA|Patterns of Functional Decline at the End of Life
2004|120.0|7.0|Arthritis & Rheumatism|Evidence of augmented central pain processing in idiopathic chronic low back pain
2005|202.0|5.0|Arthritis & Rheumatism|Pregabalin for the treatment of fibromyalgia syndrome: results of a randomized, double-blind, placebo-controlled trial.
2006|143.0|6.0|Atmospheric Chemistry and Physics|Cluster activation theory as an explanation of the linear dependence between formation rate of 3nm particles and sulphuric acid concentration
2007|204.0|7.0|Journal of the American Geriatrics Society|Geriatric Syndromes: Clinical, Research, and Policy Implications of a Core Geriatric Concept
2008|288.0|5.0|Journal of the American Geriatrics Society|Effective Exercise for the Prevention of Falls: A Systematic Review and MetaAnalysis
2009|369.0|5.0|The Lancet|Ageing populations: the challenges ahead
2010|586.0|7.0|Journal of Education and Work|Expansive Learning at Work: Toward an activity theoretical reconceptualization
