----  Field Name Glaciology: 
----  Field Level 2.0: 
----  Field Papers Number 6203:
----  All time max citation paper: Subglacial sediments as a control on the onset and location of two Siple Coast ice streams, West Antarctica, 2006, (979.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|0|0.0|Ecological Monographs|Site factor variations and responses in temporary forest types in Northern Idaho.
1950|5.0|2.0|British Journal of Nutrition|Copper pine of calves.
1951|4.0|4.0|Journal of Dairy Science|Vitamin B12 in Blood of Newborn and Colostrum-Fed Calves and in Colostrum and Normal Milk of Holstein and Jersey Cows1,2
1953|1.0|1.0|Journal of Dairy Science|Prepartum Milking. IV. The Effect of Prepartum Milking on Milk Production and Length of Time Required to Reach Peak of Lactation
1954|1.0|1.0|Arctic|Limnology in the North American Arctic and Subarctic
1955|6.0|6.0|Biochimica et Biophysica Acta|Glucose as a precursor of milk constituents in the intact dairy cow
1957|1.0|1.0|Journal of Dairy Research|660. Properties and composition of colostrum from Egyptian buffaloes and cows
1958|3.0|2.5|Journal of Dairy Science|Effect of Heavy Concentrate Feeding Before Calving Upon Lactation and Mammary Gland Edema1
1959|4.0|4.0|Journal of Dairy Science|Comparison of alfalfa hay and alfalfa silage alone and with supplements of grain, hay, or corn silage for growing dairy calves.
1960|11.0|4.0|Journal of Dairy Science|Genetic Improvement in Production Attributable to Sires Used in Artificial Insemination in North Carolina
1964|1.0|0.0|The Journal of Agricultural Science|A note on the use of the analysis of covariance to reduce standard errors in experiments on milk production
1965|8.0|5.0|Journal of Geophysical Research|Sixyear record of oxygen and hydrogen isotope variations in South Pole firn
1966|3.0|1.0|Earth and Planetary Science Letters|ARTIFICIAL RADIOACTIVITY REFERENCE HORIZONS IN GREENLAND FIRN.
1967|5.0|5.0|Journal of Dairy Science|Effect of Molasses in Normal- and High-Grain Rations on Utilization of Nutrients for Lactation1
1968|6.0|4.5|Geophysical Prospecting|Magneto-telluric measurements in the North German basin
1969|29.0|9.0|Geochimica et Cosmochimica Acta|Chemical concentrations of pollutant lead aerosols, terrestrial dusts and sea salts in Greenland and Antarctic snow strata
1970|17.0|1.5|Journal of Dairy Science|Methionine Hydroxy Analog: Varying Levels for Lactating Cows
1971|4.0|2.5|Limnology and Oceanography|Contribution by snow to the nutrient budget of some small northwest Ontario lakes
1973|26.0|3.0|Icarus|Saturn's rings - A survey.
1974|4.0|4.0|Wear|Wheel/rail adhesion: its relation to rail contamination on british railways
1975|1.0|1.0|Geophysical Prospecting|AN INTERACTIVE COMPUTER/GRAPHICDISPLAYTERMINAL SYSTEM FOR INTERPRETATION OF RESISTIVITY SOUNDINGS*
1976|9.0|2.0|Quaternary Research|Rock glaciers and block fields, review and new data
1977|4.0|3.0|IEEE Transactions on Geoscience and Remote Sensing|Application of First-Order Renormalization Method to Scattering from a Vegetation-Like Half-Space
1978|10.0|1.0|Icarus|Martian fretted terrain: Flow of erosional debris
1979|10.0|6.0|IEEE Transactions on Geoscience and Remote Sensing|Two-Stream Theory of Reflectance of Snow
1980|15.0|3.0||The effect of level and system of concentrate allocation to January/February calving cows on total lactation performance.
1981|10.0|2.0|Boundary-Layer Meteorology|The albedo of snow for partially cloudy skies
1982|25.0|1.0|Reviews of Geophysics|Optical properties of snow
1983|13.0|2.0|Nature|Secular variation of Earth's gravitational harmonic J2 coefficient from Lageos and nontidal acceleration of Earth rotation
1984|11.0|3.5|Journal of Geophysical Research|Martian north polar hazes and surface ice: Results from the Viking Survey/Completion Mission
1985|24.0|2.5|Critical Reviews in Environmental Science and Technology|Acidic deposition: effects on aquatic ecosystems
1986|27.0|3.5|Atmospheric Environment|The composition of snowfall, snowpack and meltwater in the Scottish highlands-evidence for preferential elution
1987|17.0|3.0|Icarus|Generation of liquid water on Mars through the melting of a dusty snowpack
1988|40.0|4.0|Limnology and Oceanography|In situ settling behavior of marine snow1
1989|38.0|2.5|Arctic|Toxaphene and Other Organochlorines in Arctic Ocean Fauna: Evidence for Atmospheric Delivery
1990|29.0|2.0|Water Resources Research|Hydrologic sensitivities of the SacramentoSan Joaquin River Basin, California, to global warming
1991|15.0|3.0|Water Resources Research|Precipitation chemistry in and ionic loading to an Alpine Basin, Sierra Nevada
1992|35.0|3.0|Geophysical Journal International|Effects on post-glacial rebound from the hard rheology in the transition zone
1993|60.0|6.0|Paleoceanography|Binge/purge oscillations of the Laurentide Ice Sheet as a cause of the North Atlantic's Heinrich events
1994|30.0|4.0|Journal of Geophysical Research|A simple hydrologically based model of land surface water and energy fluxes for general circulation models
1995|164.0|4.0|Science|Iceberg discharges into the north atlantic on millennial time scales during the last glaciation.
1996|50.0|4.0|Journal of Geophysical Research|Natural and anthropogenic changes in atmospheric CO2 over the last 1000 years from air in Antarctic ice and firn
1997|68.0|4.0|Journal of Geophysical Research|Oxygen 18/16 variability in Greenland snow and ice with 10-3- to 105-year time resolution
1998|35.0|4.0|Journal of Geophysical Research|Physical forcing of phytoplankton dynamics in the southwestern Ross Sea
1999|35.0|5.0|international conference on tools with artificial intelligence|Ontology based personalized search
2000|90.0|5.0|Animal Reproduction Science|Nutritional interactions with reproductive performance in dairy cattle.
2001|78.0|4.0|IEEE Transactions on Multimedia|A probabilistic framework for semantic video indexing, filtering, and retrieval
2002|75.0|6.0|Remote Sensing of Environment|MODIS Snow-Cover Products
2003|56.0|6.0|Remote Sensing of Environment|Retrieval of subpixel snow-covered area and grain size from imaging spectrometer data
2004|129.0|6.0|Nature|Long-term decline in krill stock and increase in salps within the Southern Ocean
2005|254.0|7.0|Geophysical Research Letters|Continued deceleration of Whillans Ice Stream, West Antarctica
2006|347.0|7.0|Journal of Geophysical Research|Subglacial sediments as a control on the onset and location of two Siple Coast ice streams, West Antarctica
2007|336.0|7.0|Science|Orbital and Millennial Antarctic Climate Variability over the Past 800,000 Years
2008|320.0|7.0|Geophysical Research Letters|Complex fabric development revealed by englacial seismic reflectivity: Jakobshavn Isbr, Greenland
2009|409.0|10.0|Geophysical Research Letters|Higher surface mass balance of the Greenland ice sheet revealed by high-resolution climate modeling
2010|221.0|8.5|Monthly Weather Review|Explicit Forecasts of Winter Precipitation Using an Improved Bulk Microphysics Scheme. Part II: Implementation of a New Snow Parameterization
