----  Field Name Group theory: 
----  Field Level 2.0: 
----  Field Papers Number 28880:
----  All time max citation paper: Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information, 2006, (3014.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1934|4.0|4.0|Journal of Chemical Physics|The Solution of Problems Involving Permutation Degeneracy
1940|0|0.0|Journal of Chemical Physics|The Normal Vibrations of Molecules of the Tetramethylmethane Type
1941|0|0.0|Journal of Applied Physics|The Structure and Dynamics of Liquids
1946|1.0|1.0||The analysis of vibration problems
1947|0|0.0|Proceedings of The Indian Academy of Sciences-mathematical Sciences|Raman spectrum of ammonium chloride and its variation with temperature
1949|4.0|3.0|Journal of Chemical Physics|A General Method of Obtaining Molecular Symmetry Coordinates
1951|0|0.0|Proceedings of the American Mathematical Society|Semi-automorphisms of symmetric and alternating groups
1953|2.0|1.5|Arkiv fr Matematik|Isomorphisms of abelian group algebras
1954|5.0|2.5|Journal of Chemical Physics|Frequency Assignments for Normal Aliphatic Compounds: I. The Normal Paraffins in the Range 1450 cm1 to 650 cm1
1955|19.0|9.5|Journal of Chemical Physics|Calculation of Energy Levels for Internal Torsion and OverAll Rotation. I. CH3BF2 Type Molecules
1956|0|0.0|Journal of Nuclear Energy|Solution of some nuclear reactor problems by the resistance-network analogue method  1 One-velocity-group problems
1957|6.0|4.0|Journal of Applied Physics|Theory of the Rebatrona Relativistic Electron Bunching Accelerator for Use in Megavolt Electronics
1958|0|0.0|Transactions of the American Mathematical Society|Homogeneous algebras on compact abelian groups
1959|11.0|0.0|Bulletin of the American Mathematical Society|Measure algebras on abelian groups
1960|12.0|4.0|Colloid and Polymer Science|Transversely isotropic fluids
1961|12.0|0.0|Journal of Fluid Mechanics|EXPERIMENTS ON POWER GENERATION FROM A MOVING PLASMA
1962|8.0|1.0|Journal of Chemical Physics|Molecular Vibrations and Structure of High Polymers. III. Polarized Infrared Spectra, Normal Vibrations, and Helical Conformation of Polyethylene Glycol
1963|14.0|1.5|Journal of Mathematical Physics|Bases for the Irreducible Representations of the Unitary Groups and Some Applications
1964|5.0|1.0|Mathematische Zeitschrift|On varieties generated by a finitely generated group
1965|7.0|3.0|Journal of Mathematical Physics|Tensor Methods and a Unified Representation Theory of SU3
1966|53.0|1.0|Journal of Algebra|Central elements in core-free groups
1967|9.0|1.0|Mathematische Zeitschrift|Graphs and finite permutation groups. II
1968|27.0|1.0|Physica D: Nonlinear Phenomena|A unified formulation of the kinetic equations
1969|10.0|2.0|Communications in Mathematical Physics|Fields, observables and gauge transformations. II
1970|13.0|2.0|Communications in Mathematical Physics|Renormalizable models with simple symmetry breaking. I. Symmetry breaking by a source term
1971|12.0|1.0|Management Science|An Adaptive Group Theoretic Algorithm for Integer Programming Problems
1972|14.0|1.0|Journal of the ACM|An axiomatic approach to code optimization for expressions
1973|14.0|1.0|Mathematische Zeitschrift|Localization and cohomology of nilpotent groups
1974|13.0|1.0|Transactions of the American Mathematical Society|Groups, semilattices and inverse semigroups. II
1975|12.0|1.0|Communications in Mathematical Physics|Killing tensors and the separation of the Hamilton-Jacobi equation
1976|13.0|1.0|Advances in Mathematics|The invariant theory of n  n matrices
1977|43.0|1.0|Journal of Chemical Physics|Theory of phase transitions in solid methanes. X. Centering around Phase II in solid CH4
1978|12.0|1.0|Journal of Functional Analysis|Amenable ergodic group actions and an application to Poisson boundaries of random walks
1979|22.0|2.0|Journal of Mathematical Physics|GROUP THEORY OF THE INTERACTING BOSON MODEL OF THE NUCLEUS
1980|18.0|1.0|Journal of Econometrics|Maximum likelihood estimation of econometric frontier functions
1981|40.0|1.0|Bulletin of The London Mathematical Society|Finite permutation groups and finite simple groups
1982|80.0|1.5|Mathematische Annalen|Factoring Polynomials with Rational Coefficients.
1983|31.0|1.0|Journal of Chemical Physics|Algebraic approach to molecular rotationvibration spectra. II. Triatomic molecules
1984|37.0|1.0|Archives of General Psychiatry|Regional Brain Glucose Metabolism in Chronic Schizophrenia: A Positron Emission Transaxial Tomographic Study
1985|43.0|1.0|symposium on the theory of computing|Trading group theory for randomness
1986|47.0|2.0|foundations of computer science|Proofs that yield nothing but their validity and a methodology of cryptographic protocol design
1987|48.0|1.0|foundations of computer science|Random self-reducibility and zero knowledge interactive proofs of possession of information
1988|66.0|1.0|Physics Letters B|Systematic approach to conformal systems with extended Virasoro symmetries
1989|415.0|2.0|Communications in Mathematical Physics|Quantum field theory and the Jones polynomial
1990|32.0|1.0|SIAM Journal on Computing|Group action graphs and parallel architectures
1991|54.0|2.0|Nuclear Physics|Ground Ring Of Two Dimensional String Theory
1992|52.0|1.0|IEEE Transactions on Software Engineering|The detection of fault-prone programs
1993|66.0|2.0|IEEE Transactions on Information Theory|The dynamics of group codes: state spaces, trellis diagrams, and canonical encoders
1994|72.0|2.0|Journal of the ACM|Cryptographic limitations on learning Boolean formulae and finite automata
1995|77.0|2.0|Nuclear Physics|Integrable systems and supersymmetric gauge theory
1996|88.0|2.0|Artificial Intelligence|Collaborative plans for complex group action
1997|37.0|1.0|IEEE Transactions on Neural Networks|Adaptive critic designs
1998|76.0|2.0|ACM Transactions on Modeling and Computer Simulation|Mersenne twister: a 623-dimensionally equidistributed uniform pseudo-random number generator
1999|84.0|2.0|IEEE Transactions on Information Theory|A universal lattice code decoder for fading channels
2000|126.0|2.0|IEEE Transactions on Information Theory|On the theory of space-time codes for PSK modulation
2001|186.0|2.0|Journal of High Energy Physics|The dS/CFT Correspondence
2002|203.0|2.0|Journal of High Energy Physics|The Minimal moose for a little Higgs
2003|685.0|3.0|The New England Journal of Medicine|Imatinib compared with interferon and low-dose cytarabine for newly diagnosed chronic-phase chronic myeloid leukemia
2004|251.0|3.0|Radiocarbon|IntCal04 terrestrial radiocarbon age calibration, 0-26 cal kyr BP.
2005|322.0|3.0|PLOS Biology|The pattern of polymorphism in Arabidopsis thaliana.
2006|1330.0|2.0|IEEE Transactions on Information Theory|Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information
2007|137.0|2.0|IEEE Transactions on Signal Processing|Transmitter Optimization for the Multi-Antenna Downlink With Per-Antenna Power Constraints
2008|123.0|2.0|Journal of High Energy Physics|M2-branes on M-folds
2009|385.0|2.0|PLOS Genetics|A Groupwise Association Test for Rare Mutations Using a Weighted Sum Statistic
2010|1317.0|2.0|PLOS ONE|Statistical Tests for Associations between Two Directed Acyclic Graphs
