----  Field Name Homological algebra: 
----  Field Level 2.0: 
----  Field Papers Number 3009:
----  All time max citation paper: Fusarium ear blight (scab) in small grain cereals: a review, 1995, (773.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1956|0|0.0|Transactions of the American Mathematical Society|Inductive limits of normed algebras
1959|0|0.0|Proceedings of the American Mathematical Society|Hyperspaces of the inverse limit space
1965|1.0|1.0|Transactions of the American Mathematical Society|Inverse limit sequences with covering maps
1967|4.0|4.0|Proceedings of the American Mathematical Society|A chainable continuum not homeomorphic to an inverse limit on [0,1] with only one bonding map
1969|13.0|0.5|Journal of Algebra|Relative Grothendieck groups
1970|3.0|3.0|Transactions of the American Mathematical Society|Systems of derivations
1971|4.0|2.0|Transactions of the American Mathematical Society|Mappings onto the plane
1972|8.0|1.0|Transactions of the American Mathematical Society|Inductive Limits of Finite Dimensional C * -Algebras
1973|4.0|1.0|Transactions of the American Mathematical Society|Abstract homotopy theory and generalized sheaf cohomology
1974|1.0|0.5|Transactions of the American Mathematical Society|Coherent extensions and relational algebras
1975|5.0|1.5|Transactions of the American Mathematical Society|Manifolds modelled on ^{} or bounded weak-*\ topologies
1976|16.0|2.5|Journal of Algebra|On the classification of inductive limits of sequences of semisimple finite-dimensional algebras
1977|5.0|2.0|IEEE Transactions on Automatic Control|Stable inversion of linear systems
1978|4.0|0.0|Transactions of the American Mathematical Society|Homotopy and uniform homotopy
1979|12.0|6.0|Journal of The American Academy of Dermatology|Photoprotection by melanina comparison of black and Caucasian skin
1980|2.0|0.0|Proceedings of the American Mathematical Society|An example concerning inverse limit sequences of normal spaces
1981|11.0|2.0|Journal of Pure and Applied Algebra|Grothendieck groups of abelian group rings
1982|6.0|2.5|Transactions of the American Mathematical Society|A projective description of weighted inductive limits
1983|4.0|1.0|Polar Biology|Direct and indirect effects of temperature on arctic plants
1984|4.0|1.0|Journal of Geometry and Physics|Bcklund equations on Kac-Moody-Lie algebras and integrable systems
1985|43.0|2.0|Journal of Experimental Psychology: Learning, Memory and Cognition|Ideals, Central Tendency, and Frequency of Instantiation as Determinants of Graded Structure in Categories
1986|14.0|2.0|Topology|Cyclic homology and algebraic K-theory of spacesII
1987|21.0|2.0|Journal of Algebra|Cyclic homology, comodules, and mixed complexes
1988|10.0|3.0||Cyclic homology of commutative algebras I
1989|12.0|2.0|Journal of Robotic Systems|Inversion techniques for trajectory control of flexible robot arms
1990|30.0|1.0|Topology|Cyclic cohomology, the Novikov conjecture and hyperbolic groups
1991|88.0|2.0|Journal of the American Ceramic Society|Theoretical Analysis of the Fiber Pullout and Pushout Tests
1992|23.0|2.0|IEEE Transactions on Neural Networks|A neural network regulator for turbogenerators
1993|10.0|1.5|Magnetic Resonance in Medicine|Accurate measurement of T1in vivo in less than 3 seconds using echoplanar imaging
1994|11.0|1.0|Physics Letters B|The top quark and Higgs boson masses in the standard model and the MSSM
1995|37.0|1.0|Plant Pathology|Fusarium ear blight (scab) in small grain cereals: a review
1996|25.0|1.0|international conference on computer communications|Dynamic queue length thresholds in a shared memory ATM switch
1997|44.0|2.0|Magnetic Resonance in Medicine|The b matrix in diffusion tensor echoplanar imaging
1998|30.0|2.0|Proceedings of the National Academy of Sciences of the United States of America|A family of phase-variable restriction enzymes with differing specificities generated by high-frequency gene rearrangements
1999|56.0|3.0|Biological Psychiatry|The physiological approach: functional architecture of working memory and disordered cognition in schizophrenia
2000|56.0|2.0|Journal of Mathematical Physics|D-branes, categories and N=1 supersymmetry
2001|105.0|3.0|Journal of High Energy Physics|D-Brane Stability and Monodromy
2002|182.0|3.0|Journal of High Energy Physics|D-branes, matrix theory and K-homology
2003|149.0|4.0|international symposium on computer architecture|SMARTS: accelerating microarchitecture simulation via rigorous statistical sampling
2004|93.0|5.0|Advances in Mathematics|Tilting theory and cluster combinatorics
2005|61.0|3.0||On triangulated orbit categories
2006|119.0|3.0|Genetics|Chromosome Inversions, Local Adaptation and Speciation
2007|78.0|3.0|Transactions of the American Mathematical Society|Cluster-tilted algebras
2008|303.0|3.0|Cancer Research|A Double-Negative Feedback Loop between ZEB1-SIP1 and the microRNA-200 Family Regulates Epithelial-Mesenchymal Transition
2009|176.0|3.0|Journal of the American College of Cardiology|The Sympathetic Nervous System in Heart Failure: Physiology, Pathophysiology, and Clinical Implications
2010|73.0|2.0|Inventiones Mathematicae|Khovanov homology and the slice genus
