----  Field Name Information extraction: 
----  Field Level 2.0: 
----  Field Papers Number 5493:
----  All time max citation paper: Authoritative sources in a hyperlinked environment, 1999, (2566.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1973|41.0|20.5|Journal of Geophysical Research|Atmospheric and surface properties of Mars obtained by infrared spectroscopy on Mariner 9
1974|5.0|2.5|Attention Perception & Psychophysics|Psychophysical theories of duration discrimination
1975|6.0|4.5|Journal of Chemical Physics|Average and directional Compton profiles for the O2 and CH2O molecules. II. Anisotropy in the momentum charge distribution
1976|6.0|6.0|Journal of Experimental Child Psychology|Information Extraction During Visual Search: A Developmental Progression.
1977|5.0|5.0|Attention Perception & Psychophysics|The role of structural redundancy in the perception of visual targets
1978|1.0|0.5|Papers in Regional Science|REPRESENTING, INTERPRETING, AND USING COGNIZED ENVIRONMENTS
1979|5.0|0.0|Journal of Applied Physics|Comparative study of chemical and polarization characteristics of Pd/Si and Pd/SiOx/Si Schottkybarriertype devices
1980|23.0|5.0|Biological Cybernetics|Egomotion and relative depth map from optical flow
1981|1.0|1.0|Biological Cybernetics|Modelling the visual cortex with modulo system concept
1982|11.0|1.0|Water Resources Research|Paleohydrology of southwestern Texas
1983|2.0|1.0|Pattern Recognition Letters|Shape information extraction in noisy environments
1984|28.0|1.0|Geochimica et Cosmochimica Acta|The behavior of apatite during crustal anatexis: Equilibrium and kinetic considerations
1985|3.0|2.0|Journal of Experimental Psychology: General|Picture perception: Effects of luminance on available information and information-extraction rate.
1986|32.0|2.5|ACM Transactions on Information Systems|Multimedia document presentation, information extraction, and document formation in MINOS: a model and a system
1987|38.0|1.0||The acoustic-modeling problem in automatic speech recognition
1988|21.0|0.0|international conference on computational linguistics|A statistical approach to language translation
1989|14.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Recognition and shape synthesis of 3-D objects based on attributed hypergraphs
1990|12.0|1.5|Electroencephalography and Clinical Neurophysiology|Event-related brain potentials as indices of information extraction and response priming
1991|34.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|CAD-based computer vision: from CAD models to relational graphs
1992|10.0|2.5|Journal of The American Society for Information Science|Interfaces for End-User Information Seeking.
1993|48.0|3.0|Machine Translation|Providing Machine Tractable Dictionary Tools
1994|31.0|3.0|ACM Transactions on Information Systems|Information extraction as a basis for high-precision text classification
1995|64.0|4.0|IEEE Computer|Automatic indexing and content-based retrieval of captioned images
1996|41.0|3.0|Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing|Fuzzy connectedness and object definition: theory, algorithms, and applications in image segmentation
1997|62.0|3.0||ImageRover: a content-based image browser for the World Wide Web
1998|117.0|4.0|national conference on artificial intelligence|Learning to extract symbolic knowledge from the World Wide Web
1999|316.0|5.0|Journal of the ACM|Authoritative sources in a hyperlinked environment
2000|176.0|5.0|Sigkdd Explorations|Web mining research: a survey
2001|130.0|8.0|very large data bases|Crawling the Hidden Web
2002|120.0|4.0|international conference on data engineering|Keyword searching and browsing in databases using BANKS
2003|119.0|4.0|international world wide web conferences|Extrapolation methods for accelerating PageRank computations
2004|121.0|6.0|international world wide web conferences|Towards the self-annotating web
2005|215.0|4.0|Artificial Intelligence|Unsupervised named-entity extraction from the web: an experimental study
2006|145.0|3.5|IEEE Transactions on Knowledge and Data Engineering|A Survey of Web Information Extraction Systems
2007|195.0|3.0|Environmental and Resource Economics|Incentive and informational properties of preference questions
2008|557.0|3.0|Foundations and Trends in Information Retrieval|Opinion Mining and Sentiment Analysis
2009|125.0|2.0|meeting of the association for computational linguistics|The Tradeoffs Between Open and Traditional Relation Extraction
2010|686.0|3.0|Isprs Journal of Photogrammetry and Remote Sensing|Object based image analysis for remote sensing
