----  Field Name Information management: 
----  Field Level 2.0: 
----  Field Papers Number 6158:
----  All time max citation paper: A metrics suite for object oriented design, 1994, (2112.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|0|0.0||Computerized management information systems and organizational structures
1973|2.0|2.0|Omega-international Journal of Management Science|Accounting for the man-information interface in management information systems
1975|1.0|0.5|Journal of Biomechanics|Cervical spine mechanics as a function of transection of components
1978|4.0|3.0|European Journal of Operational Research|ON THE USE OF TREE-INDEXING METHODS IN TRANSPORTATION ALGORITHMS
1980|11.0|7.0|Decision Sciences|THE EVOLVING ROLES OF MODELS IN DECISION SUPPORT SYSTEMS*
1981|2.0|1.0|IEEE Transactions on Geoscience and Remote Sensing|Remote Sensing of Temperature Profiles in Vegetation Canopies Using Multiple View Angles And Inversion Techniques
1982|17.0|0.5|design automation conference|A Database Approach for Managing VLSI Design Data
1983|14.0|1.0|Transportation Research Part B-methodological|Discrete Choice Theory, Information Theory and the Multinomial Logit and Gravity Models
1984|5.0|0.0|Information & Management|Microcomputer selection process for organizational information management
1985|45.0|2.0|ACM Transactions on Information Systems|A federated architecture for information management
1986|17.0|10.0|Management Information Systems Quarterly|Personal computing trends and problems: an empirical study
1987|43.0|2.5|very large data bases|Multimedia Information Management in an Object-Oriented Database System
1988|28.0|3.0|IEEE Transactions on Software Engineering|PICQUERY: a high level query language for pictorial database management
1989|15.0|1.0|ACM Transactions on Information Systems|The 3DIS: an extensible object-oriented information management environment
1990|32.0|2.0|international conference on computer graphics and interactive techniques|Coupling a UI framework with automatic generation of context-sensitive animated help
1991|43.0|2.5||Aquanet: a hypertext tool to hold your knowledge in place
1992|61.0|1.5|conference on computer supported cooperative work|Experiments with Oval: a radically tailorable tool for cooperative work
1993|33.0|2.0|IEEE Transactions on Knowledge and Data Engineering|A visual information management system for the interactive retrieval of faces
1994|147.0|2.0|IEEE Transactions on Software Engineering|A metrics suite for object oriented design
1995|56.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Description logics in data management
1996|32.0|2.0|logic in computer science|General decidability theorems for infinite-state systems
1997|24.0|2.0|Journal of Geophysical Research|Development, validation, and potential enhancements to the secondgeneration operational aerosol product at the National Environmental Satellite, Data, and Information Service of the National Oceanic and Atmospheric Administration
1998|147.0|2.0|conference on information and knowledge management|Inductive learning algorithms and representations for text categorization
1999|54.0|3.0|Management Science|Decentralized Multi-Echelon Supply Chains: Incentives and Information
2000|55.0|2.0|Information Processing and Management|A probabilistic model of information retrieval: development and comparative experiments Part 2
2001|48.0|2.0|Biological Conservation|Why have birds in the woodlands of Southern Australia declined?
2002|176.0|4.0|international conference on data engineering|Similarity flooding: a versatile graph matching algorithm and its application to schema matching
2003|194.0|4.0|ACM Transactions on Computer Systems|Astrolabe: A robust and scalable technology for distributed system monitoring, management, and data mining
2004|88.0|4.0|Trends in Biotechnology|High content screening applied to large-scale cell biology
2005|106.0|3.0|Philosophical Transactions of the Royal Society B|Critical factors for assembling a high volume of DNA barcodes
2006|293.0|3.0|Management Information Systems Quarterly|The nature of theory in information systems
2007|208.0|3.0|BMJ|Derivation and validation of QRISK, a new cardiovascular disease risk score for the United Kingdom: prospective open cohort study
2008|179.0|2.0|The Information Society|The Concept of Information Overload: A Review of Literature from Organization Science, Accounting, Marketing, MIS, and Related Disciplines
2009|211.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Geometric Mean for Subspace Selection
2010|128.0|4.0|Endangered Species Research|Global research priorities for sea turtles: informing management and conservation in the 21st century
