----  Field Name Integer programming: 
----  Field Level 2.0: 
----  Field Papers Number 6732:
----  All time max citation paper: QoS-aware middleware for Web services composition, 2004, (818.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1968|3.0|3.0|Communications of The ACM|Analysis of algorithms for the zero-one programming problem
1971|12.0|4.0|Management Science|An Adaptive Group Theoretic Algorithm for Integer Programming Problems
1972|6.0|1.0|Mathematical Programming|Computational experience with a group theoretic integer programming algorithm,
1975|2.0|1.0|very large data bases|A computer architecture for large (distributed) data bases
1976|4.0|2.5|IEEE Transactions on Computers|Minimization of Logic Networks Under a Generalized Cost Function
1977|13.0|3.0||Aggregation of Inequalities in Integer Programming
1978|6.0|1.5|Management Science|Generalized Networks: A Fundamental Computer-Based Planning Tool
1979|9.0|1.5|Mathematics of Operations Research|Fast Approximation Algorithms for Knapsack Problems
1980|9.0|4.0|Management Science|Pivot and Complement--A Heuristic for 0-1 Programming
1981|3.0|2.0|Iee Proceedings E Computers and Digital Techniques|User-oriented architecture
1983|32.0|3.0|Mathematics of Operations Research|Integer programming with a fixed number of variables
1984|14.0|0.5||Modelling with Integer Variables.
1985|9.0|2.0|SIAM Journal on Computing|The computational complexity of simultaneous diophantine approximation problems
1986|24.0|2.5|IEEE Transactions on Computers|Computer and Database Location in Distributed Computer Systems
1987|11.0|2.0|Mathematics of Operations Research|Minkowski's convex body theorem and integer programming
1988|31.0|1.0|decision support systems|A quantitative approach to logical inference
1989|12.0|4.0|Operations Research Letters|A probabilistic heuristic for a computationally difficult set covering problem
1990|19.0|3.0|design automation conference|Optimum and heuristic data path scheduling under resource constraints
1991|81.0|2.0|IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems|A formal approach to the scheduling problem in high level synthesis
1992|59.0|2.0|Communications of The ACM|A practical algorithm for exact array dependence analysis
1993|22.0|3.0|Management Science|Flight crew scheduling
1994|34.0|3.0|design automation conference|An Exact Algorithm for Selecting Partial Scan Flip-Flops
1995|63.0|3.0|design automation conference|Verification of Arithmetic Circuits with Binary Moment Diagrams
1996|54.0|2.5|IEEE Journal on Selected Areas in Communications|Design of logical topologies for wavelength-routed optical networks
1997|55.0|5.0|design automation conference|COSYN: hardware-software co-synthesis of embedded systems
1998|100.0|4.0|Operations Research|Branch-And-Price: Column Generation for Solving Huge Integer Programs
1999|33.0|3.0|real time systems symposium|A scalable solution to the multi-resource QoS problem
2000|67.0|4.0|IEEE Transactions on Automatic Control|Observability and controllability of piecewise affine and hybrid systems
2001|46.0|3.0|Informs Journal on Computing|Algorithms for Hybrid MILP/CP Models for a Class of Optimization Problems
2002|134.0|6.0|Natural Computing|Recent approaches to global optimization problems through Particle Swarm Optimization
2003|83.0|6.5|global communications conference|Energy efficient schemes for wireless sensor networks with multiple mobile base stations
2004|395.0|5.0|IEEE Transactions on Software Engineering|QoS-aware middleware for Web services composition
2005|133.0|5.0|computer vision and pattern recognition|Shape matching and object recognition using low distortion correspondences
2006|89.0|5.0|Siam Review|Set Partitioning: A survey
2007|190.0|4.0|IEEE Transactions on Software Engineering|Adaptive Service Composition in Flexible Processes
2008|165.0|3.0|IEEE Transactions on Knowledge and Data Engineering|On Modularity Clustering
2009|133.0|3.0|IEEE\/OSA Journal of Optical Communications and Networking|Energy-Minimized Design for IP Over WDM Networks
2010|77.0|5.0|Computers & Operations Research|A closed-loop logistic model with a spanning-tree based genetic algorithm
