----  Field Name Intelligent agent: 
----  Field Level 2.0: 
----  Field Papers Number 4470:
----  All time max citation paper: Intelligent agents: theory and practice, 1995, (1678.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1984|0|0.0|design automation conference|VLSI Test Expertise System Using a Control Flow Model
1987|4.0|4.0|international conference on robotics and automation|A decentralized approach to the motion planning problem for multiple mobile robots
1988|22.0|2.0|ACM Transactions on Information Systems|Object lens: a spreadsheet for cooperative work
1989|37.0|6.5|IEEE Transactions on Knowledge and Data Engineering|Trends in cooperative distributed problem solving
1990|4.0|1.0||Real-time reasoning: the monitoring and control of spacecraft systems
1991|27.0|3.5|IEEE Transactions on Systems, Man, and Cybernetics|An intelligent agent framework for enterprise integration
1992|36.0|3.0|Artificial Intelligence in Medicine|Guardian: A prototype intelligent agent for intensive-care monitoring
1993|13.0|2.0|IEEE Transactions on Knowledge and Data Engineering|Relational database systems with zero information loss
1994|10.0|1.0|national conference on artificial intelligence|Incorporating advice into agents that learn from reinforcements
1995|258.0|2.0|Knowledge Engineering Review|Intelligent agents: theory and practice
1996|65.0|3.0|IEEE Intelligent Systems|Agent-based engineering, the Web, and intelligence
1997|73.0|3.0|international conference on tools with artificial intelligence|Web mining: information and pattern discovery on the World Wide Web
1998|105.0|4.0|IEEE Communications Surveys and Tutorials|Mobile agents for network management
1999|157.0|4.0|human factors in computing systems|Principles of mixed-initiative user interfaces
2000|75.0|2.0|ACM Computing Surveys|Logical models of argument
2001|97.0|4.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Toward machine emotional intelligence: analysis of affective physiological state
2002|67.0|4.0||Prometheus: A methodology for developing intelligent agents
2003|137.0|3.0|IEEE Transactions on Knowledge and Data Engineering|On agent-mediated electronic commerce
2004|127.0|2.0|international conference on mobile and ubiquitous systems networking and services|SOUPA: standard ontology for ubiquitous and pervasive applications
2005|102.0|2.0|Chest|Surprisingly High Prevalence of Anxiety and Depression in Chronic Breathing Disorders
2006|405.0|2.0|IEEE Intelligent Systems|The Semantic Web Revisited
2007|120.0|2.0|IEEE Vehicular Technology Magazine|Routing in vehicular ad hoc networks: A survey
2008|87.0|2.0|decision support systems|Intelligent environment for monitoring Alzheimer patients, agent technology for health care
2009|110.0|2.0||Multi-agent systems in a distributed smart grid: Design and implementation
2010|107.0|2.0|IEEE Transactions on Intelligent Transportation Systems|A Review of the Applications of Agent Technology in Traffic and Transportation Systems
