----  Field Name Intelligent decision support system: 
----  Field Level 2.0: 
----  Field Papers Number 3079:
----  All time max citation paper: Social information filtering: algorithms for automating word of mouth, 1995, (1270.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|0|0.0|IEEE Transactions on Computers|On Information-Lossless Discrete-Time Systems
1973|1.0|1.0|IEEE Transactions on Reliability|Utilization of Reliability Measurements in Bayesian Inference: Models and Human Performance
1984|12.0|12.0|IEEE Transactions on Computers|MANIP&#8212;A Multicomputer Architecture for Solving Combinatonal Extremum-Search Problems
1985|7.0|3.5|international conference on robotics and automation|Simulation of path planning for a system with vision and map updating
1986|11.0|5.0|decision support systems|Representing modeling knowledge in an intelligent decision support system
1987|2.0|2.0||KORE: a hybrid knowledge programming environment for decision support based on a logic programming language
1988|31.0|4.0|IEEE Transactions on Software Engineering|An intelligent image database system
1989|14.0|1.0|computer vision and pattern recognition|Segmentation and description based on perceptual organization
1990|21.0|3.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Motion estimation with more than two frames
1991|38.0|2.0|ACM Transactions on Information Systems|The role of critiquing in cooperative problem solving
1992|29.0|1.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Structural indexing: efficient 3-D object recognition
1993|20.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|Perception of 3-D surfaces from 2-D contours
1994|21.0|1.5|IEEE Transactions on Systems, Man, and Cybernetics|Automated exercise progression in simulation-based training
1995|190.0|2.0|human factors in computing systems|Social information filtering: algorithms for automating word of mouth
1996|54.0|3.0|IEEE Transactions on Knowledge and Data Engineering|A guide to the literature on learning probabilistic networks from data
1997|74.0|1.0|human factors in computing systems|The persona effect: affective impact of animated pedagogical agents
1998|43.0|2.0|Information Technology|Intelligent agents for intrusion detection
1999|143.0|3.0|Proceedings of the IEEE|Evolving artificial neural networks
2000|30.0|2.0||Robust hash functions for digital watermarking
2001|40.0|2.0|international conference on computer vision|Multi-agent event recognition
2002|55.0|2.0|IEEE Computer|Q: a scenario description language for interactive agents
2003|77.0|4.0|international conference on computer vision|Background modeling and subtraction of dynamic scenes
2004|70.0|3.0||Context-aware support for computer-supported ubiquitous learning
2005|150.0|3.0|information processing in sensor networks|Perpetual environmentally powered sensor networks
2006|87.0|3.0|IEEE Transactions on Wireless Communications|Analysis of wireless geolocation in a non-line-of-sight environment
2007|114.0|3.0|computer vision and pattern recognition|Single View Human Action Recognition using Key Pose Matching and Viterbi Path Searching
2008|99.0|1.0|international conference on communications|Cooperative Spectrum Sensing Optimization in Cognitive Radio Networks
2009|152.0|1.0|Cognitive Systems Research|Cognitive architectures: Research issues and challenges
2010|79.0|3.0|computer vision and pattern recognition|iCoseg: Interactive co-segmentation with intelligent scribble guidance
