----  Field Name Internet security: 
----  Field Level 2.0: 
----  Field Papers Number 28304:
----  All time max citation paper: Human papillomavirus is a necessary cause of invasive cervical cancer worldwide., 1999, (4034.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1960|39.0|4.0|Virology|The fine structure of polyoma virus
1961|13.0|4.0|Virology|Cell-virus interactions with the polyoma virus. II. Studies on the nature of the interaction in tumor cells.
1962|6.0|6.0|Virology|Polyoma disease and tumors in mice: The distribution of viral antigen detected by immunofluorescence
1963|3.0|2.0|Annals of the New York Academy of Sciences|ENZYMATIC DETERMINATION OF TRANSMISSIBLE REPLICATING FACTORS ASSOCIATED WITH MOUSE TUMORS*
1964|6.0|6.0|Virology|Plasma enzyme levels in virus-infected mice.
1965|4.0|2.0|Food and Cosmetics Toxicology|Spontaneous tumours in rats and mice.
1966|6.0|0.0|Journal of Molecular Biology|Non-identical peptide chains in mouse encephalitis virus
1967|17.0|2.0|Cancer Research|Induction and regression of primary moloney sarcoma virus-induced tumors in mice.
1968|7.0|4.5|International Journal of Cancer|The differential action of neonatal thymectomy in mice infected with murine sarcoma virusharvey (msvh)
1969|65.0|2.0|International Journal of Cancer|Studies on cellular immunity and its serummediated inhibition in moloneyvirusinduced mouse sarcomas
1970|65.0|5.0|International Journal of Cancer|Colony inhibition studies on blocking and nonblocking serum effects on cellular immunity to moloney sarcomas
1971|21.0|6.0|International Journal of Cancer|Distribution of intracisternal aparticles in a variety of normal and neoplastic mouse tissues
1972|27.0|3.5|International Journal of Cancer|Cellmediated reaction against tumors induced by oncornaviruses. I. Kinetics and specificity of the immune response in Murine sarcoma virus (MSV)induced tumors and transplanted lymphomas
1973|47.0|5.0|Advances in Cancer Research|Genetic control of murine viral leukemogenesis.
1974|31.0|5.0|Virology|Polyoma virus proteins. A description of the structural proteins of the virion based on polyacrylamide gel electrophoresis and peptide analysis.
1975|94.0|7.0|Virology|Clonal cell lines from a feral mouse embryo which lack host-range restrictions for murine leukemia viruses.
1976|37.0|6.0|Virology|Virus-specific precursor polypeptides in cells infected with rauscher leukemia virus. Synthesis, identification, and processing.
1977|105.0|6.0|Cell|Transfer of purified herpes virus thymidine kinase gene to cultured mouse cells
1978|49.0|5.0|Cell|The integrated genome of murine leukemia virus
1979|59.0|3.0|Nature|T antigen is bound to a host protein in SV40-transformed cells.
1980|81.0|5.0|Cell|Structure of the Abelson murine leukemia virus genome and the homologous cellular gene: Studies with cloned viral DNA
1981|41.0|6.0|Cell|Cloned mouse mammary tumor virus DNA is biologically active in transfected mouse cells and its expression is stimulated by glucocorticoid hormones
1982|90.0|4.5|Cell|Many tumors induced by the mouse mammary tumor virus contain a provirus integrated in the same region of the host genome.
1983|59.0|2.0|Cell|Activation of mouse genes in transformed cells
1984|15.0|1.0|IEEE Transactions on Acoustics, Speech, and Signal Processing|Alpha-trimmed means and their relationship to median filters
1985|36.0|2.5|Journal of General Virology|Cloning and sequencing of the gene encoding the spike protein of the coronavirus IBV
1986|38.0|4.0|design automation conference|HAL: A Multi-Paradigm Approach to Automatic Data Path Synthesis
1987|54.0|5.0|IEEE Transactions on Computers|Guided Self-Scheduling: A Practical Scheduling Scheme for Parallel Supercomputers
1988|60.0|4.0|international conference on management of data|Data placement in Bubba
1989|69.0|3.0|Journal of the ACM|Efficient dispersal of information for security, load balancing, and fault tolerance
1990|61.0|2.0|Cell|The P30 movement protein of tobacco mosaic virus is a single-strand nucleic acid binding protein
1991|94.0|2.5|Hepatology|Hepatitis C viral RNA in serum of patients with chronic non-A, non-B hepatitis: detection by the polymerase chain reaction using multiple primer sets.
1992|51.0|2.0|Computer Communication Review|First IETF internet audiocast
1993|72.0|3.0|The EMBO Journal|Caveolae and Sorting in the Trans-Golgi Network of Epithelial-Cells
1994|89.0|3.0|IEEE Journal on Selected Areas in Communications|ATM-based transport architecture for multiservices wireless personal communication networks
1995|290.0|3.0|international symposium on computer architecture|The SPLASH-2 programs: characterization and methodological considerations
1996|193.0|3.0|The Lancet|Prevalence of Kaposi's sarcoma associated herpesvirus infection measured by antibodies to recombinant capsid protein and latent immunofluorescence antigen
1997|171.0|3.0|The Lancet|Hepatitis-B-virus resistance to lamivudine given for recurrent infection after orthotopic liver transplantation
1998|235.0|4.0|The Lancet|Visceral abdominal-fat accumulation associated with use of indinavir
1999|672.0|5.0|The Journal of Pathology|Human papillomavirus is a necessary cause of invasive cervical cancer worldwide.
2000|212.0|5.0|operating systems design and implementation|Overcast: reliable multicasting with on overlay network
2001|489.0|6.0|symposium on operating systems principles|Wide-area cooperative storage with CFS
2002|859.0|6.0|Computer Networks|Wireless sensor networks: a survey
2003|338.0|7.0|international conference on data engineering|Designing a super-peer network
2004|550.0|7.0|acm ieee international conference on mobile computing and networking|Routing in multi-radio, multi-hop wireless mesh networks
2005|394.0|5.5|Journal of Virology|Characterization of a Novel Influenza A Virus Hemagglutinin Subtype (H16) Obtained from Black-Headed Gulls
2006|351.0|5.0|Cell|Virus Entry: Open Sesame
2007|904.0|5.0|Proceedings of the IEEE|Consensus and Cooperation in Networked Multi-Agent Systems
2008|345.0|3.0|Water Research|Antimicrobial nanomaterials for water disinfection and microbial control: Potential applications and implications
2009|747.0|3.0|Journal of Vision|The sliding window of audiovisual simultaneity
2010|341.0|4.0|Analytica Chimica Acta|Review: Carbon nanotube based electrochemical sensors for biomolecules.
