----  Field Name Lie algebra: 
----  Field Level 2.0: 
----  Field Papers Number 10600:
----  All time max citation paper: Quantification of Obstructive and Nonobstructive Coronary Lesions by 64-Slice Computed Tomography: A Comparative Study With Quantitative Coronary Angiography and Intravascular Ultrasound, 2005, (722.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1949|4.0|4.0|Transactions of the American Mathematical Society|Representation of Jordan and Lie algebras
1951|4.0|4.0|Proceedings of the American Mathematical Society|Completely reducible Lie algebras of linear transformations
1953|3.0|3.0|Proceedings of the American Mathematical Society|Lie algebras of type
1954|1.0|1.0|Proceedings of The Glasgow Mathematical Association|The Representations of Lie Algebras of Prime Characteristic
1956|0|0.0|Bulletin of the American Mathematical Society|Algebraic group-varieties
1957|0|0.0|Proceedings of the American Mathematical Society|On cohomology of Lie algebras
1959|10.0|10.0|Journal of Chemical Physics|Configuration Interaction in the Lithium Hydride Molecule. I. A Determinantal AO Approach
1960|2.0|0.0|Transactions of the American Mathematical Society|On automorphisms of Lie algebras of classical type. II
1961|3.0|0.0|Bulletin of the American Mathematical Society|Lie and Jordan structures in simple associative rings
1962|5.0|2.0|Russian Mathematical Surveys|UNITARY REPRESENTATIONS OF NILPOTENT LIE GROUPS
1963|6.0|3.0|Journal of Chronic Diseases|Mucopolysaccharides in relation to growth and thyroid hormones
1964|9.0|6.0|Journal of Chemical Physics|Computer Analysis of NMR Spectra: Magnetic Equivalence Factoring
1965|0|0.0|Bulletin of the American Mathematical Society|Exponentiation of operator Lie algebras on Banach spaces
1966|8.0|2.0|Bulletin of the American Mathematical Society|Cohomology and deformations in graded Lie algebras
1967|5.0|2.5|Transactions of the American Mathematical Society|Cobordism operations and Hopf algebras
1968|6.0|3.0|Journal of Algebra|Almost algebraic Lie algebras
1969|7.0|1.0|Acta Mathematica|Locally homogeneous complex manifolds
1970|23.0|1.0|Journal of Molecular Spectroscopy|-Resonance perturbations in infrared perpendicular bands
1971|9.0|1.0||Singular elements of semi-simple algebraic groups
1972|8.0|1.0|Annals of Mathematics|Quotient spaces modulo reductive algebraic groups
1973|16.0|1.0||Lie Algebras and Lie Groups in Control Theory
1974|4.0|0.5|Journal of Molecular Spectroscopy|Inversion and internal rotation in methyl- d -amine: Theory
1975|9.0|1.0|Proceedings of the American Mathematical Society|Macdonald identities and Euclidean Lie algebras
1976|17.0|0.0|Inventiones Mathematicae|Lie algebra homology and the Macdonald-Kac formulas
1977|14.0|1.0|Mathematische Annalen|Induced modules and affine quotients
1978|22.0|1.0|Journal of Chemical Physics|Formulation of the direct configuration interaction method for triplet spin states. Applications to glyoxal
1979|20.0|2.0|Journal of Chemical Physics|Semiclassical Gaussian basis set method for molecular vibrational wave functions
