----  Field Name Magnetic resonance imaging
----  Field Level 2.0
----  Field Papers Number 158806
----  All time max citation paper A default mode of brain function, 2001, (4332.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1934|1.0|1.0|American Heart Journal|Treatment of chronic heart disease by total ablation of the thyroid gland , VII. The heart in artificial myxedema
1935|0|0.0|JAMA Internal Medicine|Cyclic response of the thyroid gland to experimental excitation and depression.
1937|4.0|2.5|American Journal of Anatomy|Complex IV in the dog with special emphasis on the relation of the ultimobranchial body to interfollicular cells in the postnatal thyroid gland
1939|0|0.0|Journal of Morphology|The thyroid gland of the Atlantic salmon
1940|5.0|1.0|American Heart Journal|A study of the effects of nicotinic acid and related pyridine and pyrazine compounds on the temperature of the skin of human beings.
1941|3.0|2.0|American Journal of Anatomy|An analysis of the morphology of the pituitary and thyroid glands in amphibian metamorphosis
1942|0|0.0|Anatomical Record-advances in Integrative Anatomy and Evolutionary Biology|Anatomical and physiological studies on the thyroid gland of the albino rat
1943|0|0.0|Journal of Morphology|The effect of increased and decreased light on the thyroid gland of Triturus viridescens
1944|4.0|1.0|Journal of Dairy Science|The Effect of Iodinated Casein (Protamone) on Milk and Butterfat Production and on the Ascorbic acid Content of the Milk*
1945|4.0|1.5|Vitamins and Hormones Series|Sulfonamides and Vitamin Deficiencies
1946|6.0|4.5|JAMA|The treatment of hyperthyroidism with radioactive iodine.
1947|1.0|0.5|The New England Journal of Medicine|Clinical Significance of Malignant Neoplasms of the Thyroid Gland
1949|3.0|1.5|Journal of Allergy|Studies of capillary permeability in allergy with the dermofluorometer
1950|4.0|1.0|Journal of Dairy Science|Parotid Gland Lesions in Experimental Bovine Vitamin A Deficiency
1951|5.0|0.0|Journal of Chemical Physics|Proton Magnetic Resonance Absorption in Hydrogen Perchlorate Monohydrate and the Structure of Oxonium Ion
1952|8.0|0.0|Journal of Chemical Physics|Nuclear Magnetic Resonance in Metals. I. Broadening of Absorption Lines by SpinLattice Interactions
1953|37.0|6.5|Journal of Chemical Physics|NUCLEAR MAGNETIC RESONANCE MULTIPLETS IN LIQUIDS
1954|1.0|1.0|Journal of the Marine Biological Association of the United Kingdom|Thyroidectomy of the dogfish, Scyllium canicula (L.), and the effect of dogfish thyroid upon the oxygen consumption of rats
1955|11.0|4.0|JAMA Internal Medicine|SYSTEMIC MONILIASIS AND ASPERGILLOSIS COMPLICATING CORTICOTROPIN THERAPY
1956|6.0|1.0|Journal of Chemical Physics|Fluorine Magnetic Resonance Spectra of some Mono and Disubstituted Tetrafluorocyclobutanes
1957|15.0|6.0|Journal of Chemical Physics|Medium Effects in Nuclear Magnetic Resonance Spectra of Liquids. II. Simple Aliphatic Molecules
1958|25.0|2.0|Journal of Chemical Physics|Reaction Rates by Nuclear Magnetic Resonance
1959|66.0|5.5|Journal of Chemical Physics|Angular Dependence of ElectronCoupled Proton Interactions in CH2 Groups
1960|24.0|2.0|Journal of Chemical Physics|ParamagneticResonance Studies of Irradiated HighDensity Polyethylene. I. Radical Species and the Effect of Environment on Their Behavior
1961|20.0|4.5|Journal of Cell Biology|STUDIES ON INFLAMMATION I. The Effect of Histamine and Serotonin on Vascular Permeability: An Electron Microscopic Study
1962|19.0|4.5|Journal of Chemical Physics|C13 Splittings in Proton Magnetic Resonance Spectra. III. Formyl Compounds
1963|21.0|3.0|Journal of Chemical Physics|Anomalous Chemical Shifts in the Proton Magnetic Resonance Spectra of the Dimethylcyclohexanes and Related Hydrocarbons
1964|21.0|2.0|Journal of Chemical Physics|SPIN-ECHO NMR STUDIES OF CHEMICAL EXCHANGE. I. SOME GENERAL ASPECTS.
1965|23.0|3.0|Journal of Chemical Physics|Analysis of Nuclear Magnetic Resonance Spectra of Molecules in LiquidCrystal Solvents
1966|13.0|1.0|Radiation Botany|The influence of seed water content on the oxygen effect in irradiated barley seeds
1967|18.0|1.0|Journal of Clinical Investigation|Thyrocalcitonin and the Response to Parathyroid Hormone*
1968|46.0|2.0|Journal of Geophysical Research|Cosmic-ray diffusion tensor and its variation observed with Mariner 4.
1969|20.0|1.0|Calcified Tissue International|Tetracycline-based histological analysis of bone remodeling.
1970|19.0|2.0|Journal of Molecular Biology|Solution conformation of ferrichrome, a microbial iron transport cyclohexapeptide, as deduced by high resolution proton magnetic resonance
1971|18.0|2.0|The New England Journal of Medicine|Early Diagnosis of Medullary Carcinoma of the Thyroid Gland by Means of Calcitonin Assay
1972|43.0|2.0|Journal of Clinical Investigation|Evidence for a Direct Action of Cholecalciferol and 25-Hydroxycholecalciferol on the Renal Transport of Phosphate, Sodium, and Calcium
1973|14.0|1.0|Journal of Molecular Spectroscopy|Infrared-radio frequency double resonance observations of pure rotational Q -branch transitions of methane
1974|54.0|2.0|Electroencephalography and Clinical Neurophysiology|Human auditory evoked potentials. II - Effects of attention
1975|43.0|2.0|Journal of Chemical Physics|Validity of approximate methods in molecular scattering: Thermal HClHe collisions
1976|50.0|2.0|Journal of Clinical Investigation|An assessment of daily production and significance of thyroidal secretion of 3, 3', 5'-triiodothyronine (reverse T3) in man.
1977|67.0|3.0|Quarterly Reviews of Biophysics|Deuterium magnetic resonance: theory and application to lipid membranes
1978|25.0|1.5|Biochemical and Biophysical Research Communications|Epidermal growth factor stimulates prostaglandin production and bone resorption in cultured mouse calvaria
1979|103.0|2.0|Journal of Chemical Physics|Investigation of exchange processes by twodimensional NMR spectroscopy
1980|55.0|2.0|Journal of Magnetic Resonance|Multiple quantum spin-echo spectroscopy
1981|61.0|2.0|Nature|Control of vascular permeability by polymorphonuclear leukocytes in inflammation
1982|50.0|3.0|Brain Research|Different behaviors during paradoxical sleep without atonia depend on pontine lesion site.
1983|44.0|2.0|Journal of Chemical Physics|Far infrared laser magnetic resonance of singlet methylene: Singlettriplet perturbations, singlettriplet transitions, and the singlettriplet splittinga)
1984|188.0|3.0|Journal of Neurochemistry|Elevation of the Extracellular Concentrations of Glutamate and Aspartate in Rat Hippocampus During Transient Cerebral Ischemia Monitored by Intracerebral Microdialysis
1985|175.0|3.0|Journal of Magnetic Resonance|MLEV-17-based two-dimensional homonuclear magnetization transfer spectroscopy
1986|170.0|3.0|Nature|Stimulation of bone resorption and inhibition of bone formation in vitro by human tumour necrosis factors
1987|79.0|3.0|Cognitive Psychology|Attentional requirements of learning: Evidence from performance measures
1988|135.0|3.0|Journal of Neurochemistry|Effect of Ischemia on the In Vivo Release of Striatal Dopamine, Glutamate, and Aminobutyric Acid Studied by Intracerebral Microdialysis
1989|127.0|3.0|Journal of Neurochemistry|Differential effect of stress on in vivo dopamine release in striatum, nucleus accumbens, and medial frontal cortex.
1990|100.0|3.0|Journal of Neurochemistry|Extracellular Concentrations of Cocaine and Dopamine Are Enhanced During Chronic Cocaine Administration
1991|79.0|3.0|Annals of Neurology|Magnetic resonance imaging-based volume studies in temporal lobe epilepsy: pathological correlations.
1992|189.0|3.0|Acta Physiologica Scandinavica|The 1991 Ulf von Euler Lecture:The larginine: nitric oxide pathway
1993|101.0|3.0|IEEE Engineering in Medicine and Biology Magazine|Medical image matching-a review with classification
1994|92.0|3.0|Magnetic Resonance in Medicine|Intravascular susceptibility contrast mechanisms in tissues
1995|260.0|3.0|Human Brain Mapping|Spatial registration and normalization of images
1996|117.0|3.0|Archives of General Psychiatry|Quantitative brain magnetic resonance imaging in attention-deficit hyperactivity disorder.
1997|467.0|4.0|Cell|Osteoprotegerin: A Novel Secreted Protein Involved in the Regulation of Bone Density
1998|242.0|5.0|Brain Research Reviews|What is the role of dopamine in reward: hedonic impact, reward learning, or incentive salience?
1999|367.0|5.0|Nature|Vanilloid receptors on sensory nerves mediate the vasodilator action of anandamide
2000|491.0|6.0|NeuroImage|Voxel-based morphometry - The methods
2001|881.0|6.0|Nature|Neurophysiological investigation of the basis of the fMRI signal
2002|610.0|7.0|NeuroImage|Thresholding of statistical maps in functional neuroimaging using the false discovery rate
2003|632.0|8.0|Nature|Osteoclast differentiation and activation
2004|486.0|8.0|NeuroImage|Advances in functional and structural MR image analysis and implementation as FSL
2005|697.0|8.0|Biomaterials|Synthesis and surface engineering of iron oxide nanoparticles for biomedical applications.
2006|564.0|8.0|NeuroImage|Tract-based spatial statistics: Voxelwise analysis of multi-subject diffusion data
2007|670.0|8.0|Cancer Cell|AZD2171, a Pan-VEGF Receptor Tyrosine Kinase Inhibitor, Normalizes Tumor Vasculature and Alleviates Edema in Glioblastoma Patients
2008|860.0|9.0|IEEE Signal Processing Magazine|An Introduction To Compressive Sampling
2009|2555.0|8.0|European Journal of Cancer|New response evaluation criteria in solid tumours: Revised RECIST guideline (version 1.1)
2010|1084.0|9.0|Lancet Neurology|Hypothetical model of dynamic biomarkers of the Alzheimer's pathological cascade
