----  Field Name Management accounting: 
----  Field Level 2.0: 
----  Field Papers Number 6030:
----  All time max citation paper: Strategic factor markets: expectations, luck, and business strategy, 1986, (1902.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1970|2.0|2.0|Communications of The ACM|The allocation of computer resourcesis pricing the answer?
1973|8.0|5.0|Journal of Human Resources|The Economics of Group Practice.
1975|8.0|8.0|Water Resources Research|Hydrologic estimation and economic regret
1976|10.0|2.0|Journal of Dairy Science|Relationship of Age at First Calving, Days Open, Days Dry, and Herdlife to a Profit function for Dairy Cattle1
1977|3.0|2.0|IEEE Transactions on Reliability|System Availability and Optimum Spare Units
1978|13.0|9.5|Accounting Organizations and Society|A contingency framework for management accounting systems research
1979|2.0|1.0|Information Processing and Management|Design of a model-based online management information system for interlibrary loan networks
1980|15.0|1.0|Accounting Organizations and Society|The contingency theory of management accounting: achievement and prognosis
1981|3.0|1.5|Decision Sciences|STOCHASTIC COSTVOLUMEPROFIT ANALYSIS WITH A LINEAR DEMAND FUNCTION
1982|6.0|2.0|Decision Sciences|REPORTING OF MANAGEMENT FORECASTS: AN EIGENVECTOR MODEL FOR ELICITATION AND REVIEW OF FORECASTS
1983|12.0|5.0|Accounting Organizations and Society|Towards a descriptive theory of management accounting
1984|22.0|1.5||The evolution of management accounting
1985|14.0|3.0|foundations of computer science|Automatic verification of probabilistic concurrent finite state programs
1986|25.0|4.0|ACM Transactions on Computer Systems|Low cost management of replicated data in fault-tolerant distributed systems
1987|9.0|3.0|Management Science|Cost Allocation and Opportunity Costs
1988|6.0|1.0|Theoretical and Applied Genetics|Predictive and postdictive success of statistical analyses of yield trials
1989|6.0|2.0|Management Science|Cost Allocation Revisited: An Optimality Result
1990|18.0|2.0|British Accounting Review|Researching management accounting practice: The role of case study methods
1991|4.0|1.0|Journal of Economic Theory|On the competitive pressure created by the diffusion of innovations
1992|13.0|1.0|Proceedings of the IEEE|On-line power system security analysis
1993|28.0|2.0|IEEE\/ACM Transactions on Networking|Pricing in computer networks: motivation, formulation, and example
1994|41.0|1.0|Water Resources Research|Using genetic algorithms to solve a multiple objective groundwater pollution containment problem
1995|56.0|2.0|IEEE Journal on Selected Areas in Communications|Pricing congestible network resources
1996|25.0|2.0|hawaii international conference on system sciences|Electronic brokerage and electronic auction: the impact of IT on market structures
1997|26.0|2.0|IEEE Transactions on Power Systems|Transaction analysis in deregulated power systems using game theory
1998|20.0|2.5|Journal of Accounting and Economics|The relation between earnings and cash flows
1999|110.0|4.0|Journal of International Economics|Rational contagion and the globalization of securities markets
2000|102.0|3.0|computer vision and pattern recognition|Optimizing learning in image retrieval
2001|67.0|3.0|World Bank Economic Review|Infrastructure, geographical disadvantage, transport costs, and trade
2002|187.0|4.0|IEEE Transactions on Communications|Efficient power control via pricing in wireless data networks
2003|105.0|4.0|IEEE Transactions on Power Systems|ARIMA models to predict next-day electricity prices
2004|79.0|4.0|Economics Bulletin|Models of labour demand with fixed costs of adjustment: a generalised tobit approach
2005|220.0|4.0|The American Economic Review|The Variety and Quality of a Nation's Exports
2006|76.0|3.0|Accounting Organizations and Society|Doing Qualitative Field Research in Management Accounting: Positioning Data to Contribute to Theory
2007|96.0|3.0|World Bank Economic Review|Are Remittances Insurance? Evidence from Rainfall Shocks in the Philippines
2008|114.0|3.0|Management Accounting Research|Management control systems as a packageOpportunities, challenges and research directions
2009|219.0|2.0|The Accounting Review|Correcting for Cross-Sectional and Time-Series Dependence in Accounting Research
2010|197.0|4.0|Transfusion|Activitybased costs of blood transfusions in surgical patients at four hospitals
