----  Field Name Marine biology
----  Field Level 2.0
----  Field Papers Number 106860
----  All time max citation paper Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1922|0|0.0|Journal of the Marine Biological Association of the United Kingdom|The Hydrogen Ion Concentration of Sea Water in its Biological Relations
1929|4.0|4.0|Protoplasma|The effects of acids and alkalies on the viscosity of protoplasm
1930|0|0.0|Journal of the Marine Biological Association of the United Kingdom|Seasonal Variations in the Phosphate and Silicate Content of Sea-Water in Relation to the Phyto-plankton Crop. Part V. November 1927 to April 1929, Compared with Earlier Years from 1923
1932|0|0.0|Journal of the Marine Biological Association of the United Kingdom|Nitrate in Sea-water and its Estimation by means of Diphenylbenzidine
1937|1.0|1.0|Journal of the Marine Biological Association of the United Kingdom|Oxidation-Reduction Potential in Sea Water
1938|1.0|1.0|Journal of the Marine Biological Association of the United Kingdom|Salt Error in Determinations of Phosphate in Sea Water
1939|0|0.0|Journal of the Optical Society of America|Laboratory Analysis of the Selective Absorption of Light by Sea Water*
1940|1.0|1.0|Proceedings of The Royal Society of London. Series B, Biological Sciences (1934-1990)|On the Function of Chlorocruorin
1947|0|0.0|Journal of the Marine Biological Association of the United Kingdom|Experiments on the Vertical Migration of Plankton Animals
1948|1.0|1.0|Journal of the Marine Biological Association of the United Kingdom|The Estimation of Phosphate and of Total Phosphorus in Sea Waters
1949|0|0.0|Microbiology|Development of Bacteria in Waters Stored in Glass Containers
1950|0|0.0|American Journal of Botany|The effects of auxins on the growth of marine algae.
1951|1.0|1.0|Biological Reviews|THE VERTICAL MIGRATION OF PLANKTONIC CRUSTACEA
1954|8.0|1.0|Geochimica et Cosmochimica Acta|The transport and deposition of uranium, ionium and radium in rivers, oceans and ocean sediments
1955|2.0|2.0|Journal of the Marine Biological Association of the United Kingdom|Biologically active compounds in the sea
1956|6.0|3.0|Geochimica et Cosmochimica Acta|Dissolution and precipitation of silica at low temperatures
1957|18.0|2.5|Archives of Microbiology|The development of artificial media for marine algae
