----  Field Name Mental health
----  Field Level 2.0
----  Field Papers Number 154355
----  All time max citation paper The theory of planned behavior, 1991, (6275.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1917|0|0.0|Journal of Criminal Law & Criminology|A Bibliography on the Relations of Crime and Feeble-Mindedness
1918|0|0.0|JAMA|Changes in the Brain in Gas (Carbon Monoxid) Poisoning
1922|0|0.0|JAMA Internal Medicine|Biochemical Studies in a Fatal Case of Methyl Alcohol Poisoning
1934|0|0.0|American Journal of Surgery|Epidemic of fatal estivo-autumnal malaria: Among drug addicts in New York City transmitted by common use of hypodermic syringe
1938|0|0.0|The Journal of Psychology|Imagination and Will
1941|3.0|0.0|JAMA Pediatrics|STATURE AND WEIGHT OF CHILDREN OF THE UNITED STATES: WITH REFERENCE TO THE INFLUENCE OF RACIAL, REGIONAL, SOCIOECONOMIC AND SECULAR FACTORS
1943|0|0.0|Review of Educational Research|Chapter VIII: Mental Health of Children and Families in Wartime
1946|0|0.0|Review of Educational Research|Mental Health in Community Life
1947|3.0|3.0|Archives of Ophthalmology|OCULAR INJURY DUE TO SULFUR DIOXIDE: II. Experimental Study and Comparison with Ocular Effects of Freezing
1948|3.0|2.0|American Journal of Surgery|Observations of burn scars sustained by atomic bomb survivors: A preliminary study
1949|19.0|0.0|Electroencephalography and Clinical Neurophysiology|Effect upon the EEG of acute injury to the brain stem activating system
1950|4.0|0.5|Eos, Transactions American Geophysical Union|Nearshore water circulation related to bottom topography and wave refraction
1951|4.0|1.0|American Heart Journal|Factors influencing the T wave of the electrocardiogram: II. Effects of drinking iced water
1952|6.0|1.0|American Heart Journal|Isolated traumatic rupture of the interventricular septum due to blunt force
1953|5.0|1.0|The Journal of Pediatrics|Transcutaneous absorption of boric acid
1954|2.0|1.0|Journal of Neurosurgery|The syndrome of acute central cervical spinal cord injury; with special reference to the mechanisms involved in hyperextension injuries of cervical spine
1955|3.0|1.0|The New England Journal of Medicine|Therapeutic factors in survival after lethal cholinesterase inhibition by phosphorus insecticides
1956|5.0|1.0|JAMA Internal Medicine|THE MANIFESTATIONS AND TREATMENT OF POISONING DUE TO NERVE GAS AND OTHER ORGANIC PHOSPHATE ANTICHOLINESTERASE COMPOUNDS
1957|8.0|2.0|Psychiatric Quarterly|Psychiatric implications of brain damage in children
1958|4.0|1.0|JAMA Pediatrics|Acute poisoning with oil of wintergreen treated by exchange transfusion
1959|3.0|1.0|American Journal of Public Health|Some Clinical Considerations in the Prevention of Suicide Based on a Study of 134 Successful Suicides
1960|5.0|0.0|JAMA Pediatrics|Studies on Acute Iron Poisoning
1961|9.0|1.0|The Journal of Abnormal and Social Psychology|Transmission of Aggression Through Imitation of Aggressive Models
1962|20.0|1.0|Annals of the New York Academy of Sciences|ON CURRENT STATUS OF SEROTONIN AS A BRAIN NEUROHORMONE AND IN ACTION OF RESERPINELIKE DRUGS
1963|7.0|2.0||The determination of organophosphate pesticides and their residues by paper chromatography
1964|14.0|1.0|The New England Journal of Medicine|Risk of Post-Transfusion Viral Hepatitis.
1965|11.0|1.0|Toxicology and Applied Pharmacology|A toxicologic study of dimethyl sulfoxide
1966|18.0|1.0|Journal of Pharmaceutical Sciences|Effect of complex formation on drug absorption III: Concentration and drugdependent effect of a nonionic surfactant
1967|14.0|1.0|Acta Psychologica|Short term memory systems in human information processing
1968|32.0|2.0|The New England Journal of Medicine|Alcohol-induced hepatic injury in nonalcoholic volunteers
