----  Field Name Metabolic engineering: 
----  Field Level 2.0: 
----  Field Papers Number 2677:
----  All time max citation paper: Non-fermentative pathways for synthesis of branched-chain higher alcohols as biofuels., 2008, (767.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1990|4.0|4.0|Annals of the New York Academy of Sciences|Strategies and Challenges in Metabolic Engineeringa
1991|63.0|55.5|Science|Toward a science of metabolic engineering
1992|3.0|3.0|Nature Biotechnology|Metabolic Engineering of Candida Tropicalis for the Production of Long|[ndash]|Chain Dicarboxylic Acids
1993|47.0|10.5|Fems Microbiology Reviews|Citrate metabolism in lactic acid bacteria
1994|12.0|2.0|Planta|Metabolic engineering of glycine betaine synthesis: plant betaine aldehyde dehydrogenases lacking typical transit peptides are targeted to tobacco chloroplasts where they confer betaine aldehyde resistance
1995|62.0|11.0|Science|Metabolic engineering of a pentose metabolism pathway in ethanologenic Zymomonas mobilis
1996|41.0|3.0|Yeast|Pyruvate metabolism in Saccharomyces cerevisiae.
1997|33.0|6.5|Biotechnology and Bioengineering|Bidirectional reaction steps in metabolic networks: I. Modeling and simulation of carbon isotope labeling experiments.
1998|53.0|7.0|Nature Biotechnology|Controlled proliferation by multigene metabolic engineering enhances the productivity of Chinese hamster ovary cells
1999|87.0|13.0|Microbiology and Molecular Biology Reviews|Metabolic Engineering of Poly(3-Hydroxyalkanoates): From DNA to Plastic
2000|86.0|11.0|Trends in Plant Science|Gibberellin metabolism: new insights revealed by the genes
2001|136.0|16.0|Nature|Natural products and plant disease resistance
2002|92.0|14.0|Current Opinion in Plant Biology|Enhancement of tolerance of abiotic stress by metabolic engineering of betaines and other compatible solutes.
2003|98.0|14.0|Current Opinion in Biotechnology|Advances in flux balance analysis
2004|184.0|17.0|Nature|Global organization of metabolic fluxes in the bacterium Escherichia coli
2005|116.0|19.0|New Phytologist|Proanthocyanidins  a final frontier in flavonoid research?
2006|347.0|15.0|Annual Review of Plant Biology|BIOLOGY AND BIOCHEMISTRY OF GLUCOSINOLATES
2007|182.0|19.5|Applied Microbiology and Biotechnology|Towards industrial pentose-fermenting yeast strains
2008|551.0|27.0|Nature|Non-fermentative pathways for synthesis of branched-chain higher alcohols as biofuels.
2009|513.0|17.0|Science|Drug Discovery and Natural Products: End of an Era or an Endless Frontier?
2010|361.0|19.0|Nature Protocols|A protocol for generating a high-quality genome-scale metabolic reconstruction.
