----  Field Name Metabolomics: 
----  Field Level 2.0: 
----  Field Papers Number 18424:
----  All time max citation paper: Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1969|19.0|19.0|Nature|Recognition of Bacterial Initiator tRNA by Initiation Factors
1971|30.0|2.0|Nature|Estimation of Secondary Structure in Ribonucleic Acids
1972|12.0|12.0|Nature|Spontaneous Release of Type C Viruses from Clonal Lines of Spontaneously Transformed Balb/3T3 Cells
1974|19.0|19.0|Nature|Stratospheric sink for chlorofluoromethanes: chlorine atomc-atalysed destruction of ozone
1975|557.0|14.0|Nature|Identification of two related pentapeptides from the brain with potent opiate agonist activity
1976|168.0|12.5|Nature|C fragment of lipotropin has a high affinity for brain opiate receptors
1977|67.0|9.0|Nature|Role of prostaglandin endoperoxide PGG2 in inflammatory processes
1980|406.0|46.5|Nature|The role of hormone receptors and GTP-regulatory proteins in membrane transduction.
1991|4.0|1.0|Functional Plant Biology|Root Signals Mediate Coordination of Stomatal and Hydraulic Conductance in Growing Sugarcane
1995|16.0|10.5|Journal of Hepatology|Caffeine demethylation measured by breath analysis in experimental liver injury in the rat
1996|1.0|1.0|International Journal of Mass Spectrometry and Ion Processes|Proton transfer reaction mass spectrometry (PTR-MS): propanol in human breath
1997|1035.0|51.0|Nature|Functional rafts in cell membranes
1998|2478.0|53.0|Nature|Dendritic cells and the control of immunity
1999|798.0|54.0|Nature|Molecular characterization of mitochondrial apoptosis-inducing factor
2000|1400.0|53.0|Nature|Distinct types of diffuse large B-cell lymphoma identified by gene expressionprofiling
2001|4579.0|48.0|Nature|Initial sequencing and analysis of the human genome
2002|1438.0|48.0|Nature|Pluripotency of mesenchymal stem cells derived from adult marrow
2003|1006.0|53.5|Nature|The International HapMap Project
2004|1050.0|48.0|Nature|Identification of human brain tumour initiating cells
2005|1559.0|51.0|Nature|MicroRNA expression profiles classify human cancers.
2006|1988.0|48.0|Nature|Reciprocal developmental pathways for the generation of pathogenic effector TH17 and regulatory T cells
2007|1465.0|46.0|Nature|A second generation human haplotype map of over 3.1 million SNPs.
2008|1601.0|51.0|Nature|Building better batteries
2009|2934.0|52.0|Nature|Large-scale pattern growth of graphene films for stretchable transparent electrodes
2010|2096.0|31.0|Nature|A human gut microbial gene catalogue established by metagenomic sequencing
