----  Field Name Microscopy
----  Field Level 2.0
----  Field Papers Number 67695
----  All time max citation paper Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources., 2009, (6860.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1949|5.0|5.0|Archives of Ophthalmology|Studies of the eye with radiosodium autographs
1955|1.0|1.0|Microbiology|The Electron-dense Bodies of Mycobacterium phlei
1956|0|0.0|American Journal of Ophthalmology|LENS CHANGES FOLLOWING X-IRRADIATION: OF SINGLE AND MULTIPLE QUADRANTS
1957|0|0.0|Microbiology|The Water and Solid Content of Living Bacterial Spores and Vegetative Cells as Indicated by Refractive Index Measurements
1958|5.0|2.5|Nuclear Instruments|Electromagnetic isotope separator in Gothenburg
1959|2.0|1.0|Journal of Cell Biology|Chemical and Morphological Studies of Bacterial Spore Formation : I. The Formation of Spores in Bacillus cereus
1960|51.0|8.0|Virology|The Initiation of Vaccinia Infection.
1961|8.0|5.0|Virology|Analysis of the early stages of vaccinia virus infection in KB cells using sodium azide
1962|5.0|1.0|Microbiology|Growth, Cell and Nuclear Divisions in some Bacteria
1963|12.0|3.0|Cell and Tissue Research|The fine structure of differentiating muscle in the salamander tail
1964|4.0|1.0|Proceedings of the IEEE|Stability of a light beam in a beam waveguide
1965|25.0|3.5|Journal of Cell Biology|OLFACTORY CILIA IN THE FROG
1966|15.0|2.0|Cell and Tissue Research|The ultrastructure of the eel pituitary at the elver stage with special reference to its neurosecretory innervation
1967|22.0|1.5|Cell and Tissue Research|ber die Entwicklung von Ependym und Plexus chorioideus der Ratte
1968|19.0|2.0|Journal of Cell Biology|DIFFERENCES IN ENZYME CONTENT OF AZUROPHIL AND SPECIFIC GRANULES OF POLYMORPHONUCLEAR LEUKOCYTES II. Cytochemistry and Electron Microscopy of Bone Marrow Cells
1969|42.0|2.0|Journal of Cell Biology|DETECTION OF COMPLEX CARBOHYDRATES IN THE GOLGI APPARATUS OF RAT CELLS
1970|20.0|2.0|Chromosoma|Whole mount electron microscopy of meiotic chromosomes and the synaptonemal complex.
1971|16.0|2.0|Journal of Investigative Dermatology|A METHOD FOR BIOASSAY OF AN EPIDERMAL CHALONE-LIKE INHIBITOR
1972|11.0|3.0|Physiologial Plant Pathology|Relationships between fungal growth and host changes visible by light microscopy during infection of bean hypocotyls ( Phaseolus vulgaris ) susceptible and resistant to physiological races of Colletotrichum lindemuthianum
1973|24.0|2.0|Chromosoma|The mechanism of G and C banding in mammalian metaphase chromosomes
1974|26.0|1.5|Biopolymers|Fluorescence correlation spectroscopy. II. An experimental realization.
1975|16.0|1.0|Journal of Cell Biology|Tropomyosin antibody: the specific localization of tropomyosin in nonmuscle cells
1976|24.0|3.0|Neuroscience|The effects of taipoxin and notexin on the function and fine structure of the murine neuromuscular junction.
