----  Field Name Moral development: 
----  Field Level 2.0: 
----  Field Papers Number 3039:
----  All time max citation paper: Psychometric Properties of the Strengths and Difficulties Questionnaire, 2001, (1367.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|1.0|1.0|Child Development|CHILDREARING PRACTICES AND MORAL DEVELOPMENT: GENERALIZATIONS FROM EMPIRICAL RESEARCH1
1972|1.0|1.0|Child Development|Techniques of Punishment and the Development of Self-Criticism.
1973|5.0|1.0|Child Development|Judgments of Intentionality in Response to Videotaped and Verbally Presented Moral Dilemmas: The Medium Is the Message.
1974|5.0|0.0|Child Development|The Mediating Role of Cognitive Development in Moral Judgment.
1975|8.0|3.0|Child Development|Intentionality, Degree of Damage, and Moral Judgments.
1976|5.0|1.0|Child Development|Dimensions and Correlates of Prosocial Behavior in Young Children.
1977|15.0|3.0|Journal of Personality and Social Psychology|Psychology and the American ideal
1978|12.0|3.0|Review of Educational Research|The Case for Teaching Social Skills in the Classroom: A Review.
1979|30.0|3.0|Child Development|Child Rearing and Children's Prosocial Initiations toward Victims of Distress.
1980|13.0|3.0|Journal of Personality and Social Psychology|A Cognitive (Attribution)-Emotion-Action Model of Motivated Behavior: An Analysis of Judgments of Help-Giving.
1981|18.0|1.5|Journal of Social Issues|Physiological, Comfort, Performance, and Social Effects of Heat Stress
1982|21.0|2.0|Child Development|The Features and Effects of Friendship in Early Adolescence.
1983|69.0|3.0|Child Development|Behavioral Antecedents of Peer Social Status.
1984|33.0|1.0|Child Development|Sex Differences in the Development of Moral Reasoning: A Critical Review.
1985|6.0|1.0|Review of Educational Research|Does Moral Education Improve Moral Judgment? A Meta-Analysis of Intervention Studies Using the Defining Issues Test
1986|16.0|0.5|Journal of Applied Psychology|Organizational commitment and psychological attachment: The effects of compliance, identification, and internalization on prosocial behavior.
1987|16.0|2.0|Child Development|Moral Stages and Moral Orientations in Real-Life and Hypothetical Dilemmas.
1988|21.0|1.5|Child Development|Multiple Sources of Data on Social Behavior and Social Status in the School: A Cross-Age Comparison.
1989|20.0|1.0|Child Development|A longitudinal study of moral reasoning.
1990|28.0|3.0|Journal of Moral Education|Thinking about Consequences.
1991|58.0|2.0|Child Development|Socialization and temperament in the development of guilt and conscience
1992|39.0|4.0|Merrill-palmer Quarterly|The Effect of Peer and Adult-Child Transactive Discussions on Moral Reasoning.
1993|8.0|0.0|Medical Education|The moral development of medical students: a pilot study of the possible influence of medical education
1994|14.0|3.0|Child Development|Children's Relationships with Peers: Differential Associations with Aspects of the TeacherChild Relationship
1995|40.0|1.0|Behavioral and Brain Sciences|The sociobiology of sociopathy: An integrated evolutionary model
1996|16.0|2.0|Child Development|The Role of Overt Aggression, Relational Aggression, and Prosocial Behavior in the Prediction of Children's Future Social Adjustment.
1997|39.0|2.0|Child Development|Inhibitory Control as a Contributor to Conscience in Childhood: From Toddler to Early School Age
1998|20.0|1.0|Developmental Psychology|Naturalistic Conceptions of Moral Maturity.
1999|15.0|3.0|Human Communication Research|Assessing Explanations for Sex Differences in Emotional Support A Test of the Different Cultures and Skill Specialization Accounts
2000|84.0|3.0|Journal of Theoretical Biology|Strong Reciprocity and Human Sociality
2001|97.0|4.0|Journal of the American Academy of Child and Adolescent Psychiatry|Psychometric Properties of the Strengths and Difficulties Questionnaire
2002|54.0|4.0|Developmental Psychology|Children's perceptions of popular and unpopular peers: a multimethod assessment
2003|161.0|7.5|Annual Review of Psychology|Emotion, Regulation, and Moral Development
2004|76.0|9.0|Annual Review of Psychology|Prosocial Behavior: Multilevel Perspectives
2005|108.0|6.0|Evolution and Human Behavior|Nobody's watching?: Subtle cues affect generosity in an anonymous economic game
2006|135.0|5.0|The American Economic Review|Incentives and Prosocial Behavior
2007|185.0|8.0|Annual Review of Psychology|Putting the Altruism Back into Altruism: The Evolution of Empathy
2008|289.0|7.5|Child Development|Direct and indirect aggression during childhood and adolescence: a meta-analytic review of gender differences, intercorrelations, and relations to maladjustment.
2009|903.0|7.0|PLOS ONE|Chimpanzees Help Each Other upon Request
2010|376.0|9.0|European Journal of Work and Organizational Psychology|Two Decades of Research and Development in Transformational Leadership
