----  Field Name Nanomaterials
----  Field Level 2.0
----  Field Papers Number 58982
----  All time max citation paper Nanowire dye-sensitized solar cells., 2005, (2405.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1934|0|0.0|Transactions of The Royal Society of Tropical Medicine and Hygiene|Lange's colloidal gold reaction and the estimation of total proteins in the cerebrospinal fluid of rhodesian sleeping sickness, and their significance in prognosis
1949|8.0|8.0|Journal of Applied Physics|Particle Size Determination by Soft XRay Scattering
1952|2.0|1.0|Journal of Chemical Physics|Isotopic Composition of Oxygen in the Catalytic Decomposition of Hydrogen Peroxide
1954|0|0.0|Journal of the American Ceramic Society|ParticleSizeDistribution Analysis by a Modification of the Turbidimetric Procedure of Musgrave and Harner
1955|8.0|4.0|Journal of Applied Physics|Electron Microscopy of Monodisperse Latexes
1957|3.0|3.0|Geochimica et Cosmochimica Acta|Lognormal-type distributionsIII
1959|3.0|0.0|Colloid and Polymer Science|Statistical theory of parcticle size distributions in emulsions and suspensions
1962|2.0|2.0|Rheologica Acta|Relative viscosity of suspensions of rigid spheres in Newtonian liquids
1964|1.0|0.0|Journal of Colloid Science|Determination of latex particle size distribution by analytical ultracentrifugation
1965|3.0|3.0|Experimental and Molecular Pathology|Experimental amyloidosis. IV. Effect of colloidal gold on the development of amyloidosis.
1966|2.0|1.0|Journal of the American Ceramic Society|Mechanical Behavior of Polycrystalline Magnesium Oxide at High Temperatures
1967|23.0|8.0|Journal of Geophysical Research|Anisotropic nonconservative scattering and the clouds of Venus
1968|7.0|4.0|Planetary and Space Science|On the particle size distribution of lunar soil
1969|16.0|3.5|Space Science Reviews|An analysis of Martian photometry and polarimetry.
1970|9.0|1.0|Journal of Colloid and Interface Science|The self-bodying action of the mixed emulsifier cetrimide/ cetostearyl alcohol
1971|5.0|0.0|Engineering Geology|GRAIN SIZE, MINERALOGY AND CHEMISTRY OF A QUICK-CLAY SAMPLE FROM THE ULLENSAKER SLIDE, NORWAY
1972|31.0|2.0|Icarus|Variable features on Mars - Preliminary Mariner 9 television results.
1973|34.0|3.0|Journal of Geophysical Research|Variable features on Mars, 2, Mariner 9 global results
1974|8.0|2.0|Journal of Physics and Chemistry of Solids|Optical properties of silver colloidal centers in KCl crystals
1975|26.0|7.0|Journal of Geophysical Research|Theoretical singledomain grain size range in magnetite and titanomagnetite
1976|22.0|3.0|Icarus|Saltation threshold on Mars: The effect of interparticle force, surface roughness, and low atmospheric density
1977|46.0|4.0|Journal of Histochemistry and Cytochemistry|Colloidal gold, a useful marker for transmission and scanning electron microscopy.
