----  Field Name Natural history: 
----  Field Level 2.0: 
----  Field Papers Number 13207:
----  All time max citation paper: Molecular portraits of human breast tumours, 2000, (5924.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1937|1.0|1.0|American Journal of Surgery|Studies of the natural history of genitourinary tumors. I: Primary cancer of ureter: Autopsy study with review of the literature
1938|0|0.0|The Lancet|THE NATURAL HISTORY OF STRAWBERRY NVI
1940|0|0.0|Journal of the Marine Biological Association of the United Kingdom|On the faunas inhabiting intertidal seaweeds
1949|3.0|2.0|Parasitology|The Ecology of the Sheep Tick, Ixodes ricinus L. Host Relation-ships of the Tick. Part 2. Observations on Hill and Moorland Grazings in northern England.
1950|6.0|5.0|British Journal of Surgery|The natural history of carotid body tumours and their diagnosis and treatment. With a report of five cases
1951|11.0|11.0|Cancer|A study of the natural history of acute leukemia with special reference to the duration of the disease and the occurrence of remissions
1952|1.0|0.5|Annals of Applied Biology|THE ECOLOGY OF ANISOPUS FENESTRALIS SCOP. (DIPTERA) IN SEWAGE BACTERIA BEDS
1953|4.0|1.5|American Heart Journal|The natural history and course of hypertension with papilledema (Malignant Hypertension)
1954|4.0|3.0|Annals of the New York Academy of Sciences|THE NATURAL HISTORY OF UNTREATED ACUTE LEUKEMIA
1955|14.0|5.0|Journal of Chronic Diseases|The natural history of systemic lupus erythematosus: An approach to its study through chronic biologic false positive reactors
1956|10.0|1.0|Acta Psychiatrica Scandinavica|NATURAL HISTORY AND EVOLUTION OF THE CONCEPT OF SCHILDER'S DIFFUSE SCLEROSIS
1957|6.0|4.0|Journal of Chronic Diseases|Natural history of glomerulonephritis
1958|4.0|3.0|The American Journal of Medicine|The natural history of postnecrotic cirrhosis?A study of 221 autopsy cases
1959|6.0|3.0|Annals of the New York Academy of Sciences|THE NATURAL HISTORY OF CHORIOCARCINOMA: PROBLEMS OF IMMUNITY AND SPONTANEOUS REGRESSION*
1960|1.0|0.0|The American Journal of Medicine|The natural history of hypertension
1961|1.0|0.5|The American Journal of Medicine|The natural history of ventricular septal defects in infancy and childhoodBased on serial cardiac catheterization studies
