----  Field Name Nephrology: 
----  Field Level 2.0: 
----  Field Papers Number 47427:
----  All time max citation paper: The Banff 97 working classification of renal allograft pathology, 1999, (1925.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1930|1.0|0.5|JAMA Internal Medicine|CHEMISTRY AND METABOLISM IN EXPERIMENTAL YELLOW FEVER IN MACACUS RHESUS MONKEYS: I. CONCENTRATION OF NONPROTEIN NITROGENOUS CONSTITUENTS IN THE BLOOD
1937|2.0|2.0|American Journal of Surgery|The relation of water, sodium chloride, and acid-base balance to renal function in the treatment of lesions of the urinary tract
1940|1.0|0.5|Digestive Diseases and Sciences|Urinary amylase: Its estimation and significance
1944|1.0|0.5|Acta Physiologica Scandinavica|Experimental Studies on Kidney Function during Sulphate Diuresis. 3. Investigations on the Tubular Function of Rabbit Kidneys during Infusion of a Hypertonic Sulphatesolution.1
1945|1.0|1.0|Acta Medica Scandinavica|The Kidney Function and the Renal Clearances of some Sulfanilamide derivatives.1
1948|4.0|3.5|The Journal of Pediatrics|Glomerular filtration rate, effective renal bloodflow, and maximal tubular excretory capacity in infancy
1949|1.0|1.0|Acta Medica Scandinavica|THIOSULFATE AS A MEASURE OF THE GLOMERULAR FILTRATION RATE IN NORMAL AND DISEASED HUMAN KIDNEYS*
1950|4.0|1.0|The American Journal of Medicine|Renal function in renal diseases
1951|2.0|1.5|Journal of Clinical Investigation|ARTIFICIAL KIDNEY FUNCTION: KINETICS OF HEMODIALYSIS 1
1952|1.0|1.0|The American Journal of Medicine|Renal function during emotional diuresis
1953|7.0|1.0|The American Journal of Medicine|Diabetic nephropathy: Kidney biopsy and renal function tests
1954|6.0|1.5|The American Journal of Medicine|Renal function studies in an adult subject with the Fanconi syndrome
1955|1.0|0.0|Acta Paediatrica|Renal Function in Infantile Obstructive Uropathy
1956|5.0|1.5|The New England Journal of Medicine|Renal Function after Recovery from Acute Renal Failure
1957|8.0|2.5|The American Journal of Medicine|Renal function in gout: With a commentary on the renal regulation of urate excretion, and the role of the kidney in the pathogenesis of gout
1958|5.0|2.5|The American Journal of Medicine|The effect of treatment on the vascular deterioration associated with hypertension, with particular emphasis on renal function
1959|1.0|1.0|Journal of Dairy Science|Effect of Synthalin a on Renal Function in Dairy Bull Calves as Measured by Phenolsulfonphthalein Clearance1
1960|11.0|3.0|The New England Journal of Medicine|Absorption of Orally Administered Neomycin and Kanamycin: with special reference to Patients with Severe Hepatic and Renal Disease.
1961|4.0|2.0|Annals of the New York Academy of Sciences|EFFECTS OF 2AMINO2HYDROXYMETHYL1, 3PROPANEDIOL ON RENAL FUNCTION IN REFERENCE TO SALICYLATE AND GLUCOSE*
1962|13.0|2.0|The American Journal of Medicine|Radiocalcium metabolism in disuse osteoporosis in man
1963|4.0|1.0|The New England Journal of Medicine|Renal Function and Sodium Metabolism in Idiopathic Orthostatic Hypotension
1964|20.0|4.0|Comparative Biochemistry and Physiology|Water and electrolyte composition of the body and renal function of the eel ( Anguilla anguilla L.)
1965|32.0|1.0|Metabolism-clinical and Experimental|Metabolic studies in prolonged fasting: I. Inorganic metabolism and kidney function
1966|12.0|0.0|Nature|Effect of Pyrophosphate on Hydroxyapatite and Its Implications in Calcium Homeostasis
1967|17.0|3.0|Journal of Clinical Investigation|The Renal Handling of Insulin*
1968|18.0|2.0|Journal of Clinical Investigation|Control of phosphate excretion in uremic man
1969|14.0|0.0|Archives of Biochemistry and Biophysics|Calcium-binding protein and calcium absorption after vitamin D administration
1970|28.0|2.0|Journal of Clinical Investigation|Effects of parathyroid hormone on plasma and urinary adenosine 3,5-monophosphate in man
1971|27.0|3.0|Circulation Research|Effects of cyclic AMP, sympathomimetic amines, and adrenergic receptor antagonists on renin secretion.
1972|43.0|2.0|Journal of Clinical Investigation|Evidence for a Direct Action of Cholecalciferol and 25-Hydroxycholecalciferol on the Renal Transport of Phosphate, Sodium, and Calcium
1973|27.0|3.0|Journal of Clinical Investigation|The Effect of Chronic Sodium Loading and Sodium Restriction on Plasma Prostaglandin A, E and F Concentrations in Normal Humans
1974|19.0|2.0|European Journal of Clinical Investigation|Bile Salt Sulphates in Cholestasis
1975|35.0|2.0|Physiology & Behavior|Effects of water deprivation, nacl injection, and seven aversive taste stimuli on drinking in two normal mouse strains and one with diabetes insipidus.
1976|48.0|2.0|The New England Journal of Medicine|Adenine arabinoside therapy of herpes zoster in the immunosuppressed. NIAID collaborative antiviral study.
1977|56.0|2.0|Journal of Clinical Investigation|Nephrogenous Cyclic Adenosine Monophosphate as a Parathyroid Function Test
1978|33.0|3.0|The American Journal of Medicine|Reduction of renal function by newer nonsteroidal anti-inflammatory drugs
1979|39.0|3.0|Geochimica et Cosmochimica Acta|The behaviour of dissolved organic material, iron and manganese in estuarine mixing
1980|39.0|3.0|American Journal of Cardiology|Sustained beneficial effects of oral amrinone on cardiac and renal function in patients with severe congestive heart failure
1981|25.0|2.0|Acta Paediatrica|POSTNATAL DEVELOPMENT OF RENAL FUNCTION IN PRETERM AND FULLTERM INFANTS
1982|38.0|2.0|FEBS Letters|CALCIUM-DEPENDENT PROTEIN-KINASE IN PEA SHOOT MEMBRANES
1983|83.0|2.0|The Lancet|EARLY AGGRESSIVE ANTIHYPERTENSIVE TREATMENT REDUCES RATE OF DECLINE IN KIDNEY FUNCTION IN DIABETIC NEPHROPATHY
1984|71.0|2.0|The American Journal of Medicine|Effects of auriculin (atrial natriuretic factor) on blood pressure, renal function, and the renin-aldosterone system in dogs
1985|56.0|2.0|Journal of Molecular and Cellular Cardiology|The homeostasis of calcium in heart cells
1986|34.0|2.0|Environmental Health Perspectives|Metabolism and possible health effects of aluminum
1987|64.0|3.0|Trends in Neurosciences|Neuronal calcium homeostasis
1988|68.0|2.0|Trends in Neurosciences|Inositol polyphosphates and neuronal calcium homeostasis
1989|62.0|2.0|Kidney International|Short and long term effects of antihypertensive therapy in the diabetic rat
1990|58.0|2.0|FEBS Journal|Structural and functional aspects of calcium homeostasis in eukaryotic cells
1991|115.0|2.0|Neuron|NGF and bFGF protect rat hippocampal and human cortical neurons against hypoglycemic damage by stabilizing calcium homeostasis
1992|78.0|2.0|Cell|LDL receptor-related protein internalizes and degrades uPA-PAI-1 complexes and is essential for embryo implantation.
1993|80.0|3.0|Kidney International|A specific endothelin subtype A receptor antagonist protects against injury in renal disease progression
