----  Field Name Neuro-ophthalmology: 
----  Field Level 2.0: 
----  Field Papers Number 4560:
----  All time max citation paper: Evolution of geographic atrophy of the retinal pigment epithelium, 1988, (327.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1971|0|0.0|Developmental Psychobiology|Ontogeny of vision in the peking duck (Aanas platyrhynchos): The pupillary light reflex as a means for investigating visual onset and development in avian embryos
1972|2.0|2.0|Psychophysiology|Stereotype Temporal Conditioning in Infants
1984|5.0|5.0|Ophthalmology|Automated and Manual Periemetry-A Six-Year Overview: Special Emphasis on Neuro-ophthalmic Problems
1987|13.0|2.0|Eye|The objective assessment of cataract.
1988|23.0|2.0|JAMA Neurology|Periventricular and Subcortical Hyperintensities on Magnetic Resonance Imaging: 'Rims, Caps, and Unidentified Bright Objects'
1989|18.0|2.0|Eye|Initial clinical experience using a diode laser in the treatment of retinal vascular disease
1990|18.0|3.0|Eye|The Oxford modular cataract image analysis system
1991|21.0|2.0|Eye|Neovascular growth factors
1992|45.0|2.0|Eye|Rhodopsin and autosomal dominant retinitis pigmentosa
1993|21.0|2.0|Eye|The national cataract surgery survey: II clinical outcomes
1994|26.0|2.0|Eye|Drug resistance and Acanthamoeba Keratitis: The quest for alternative antiprotozoal chemotherapy
1995|18.0|1.0|Eye|Measurement of ocular blood flow velocity using colour doppler imaging in low tension glaucoma
1996|23.0|2.0|Eye|Surgical treatment of full-thickness macular holes using autologous serum.
1997|22.0|2.0|Eye|Amacrine cells of the mammalian retina: Neurocircuitry and functional roles
1998|30.0|2.0|Eye|Evolution of colour vision in vertebrates
1999|24.0|3.0|Eye|Epidemiology of age-related cataract
2000|25.0|3.0|Eye|Molecular genetics of primary congenital glaucoma
2001|26.0|2.0|Eye|Structure and composition of drusen associated with glomerulonephritis: Implications for the role of complement activation in drusen biogenesis
2002|41.0|3.0|Eye|Incidence and risk factors for microbial keratitis in Hong Kong: comparison with Europe and North America.
2003|38.0|4.0|Eye|Stem cell differentiation and the effects of deficiency
2004|33.0|4.0|Eye|Epidemiology of diabetic retinopathy and macular oedema: a systematic review
2005|93.0|4.0|Eye|Smoking and age-related macular degeneration: a review of association
2006|53.0|3.0|Eye|Determination of vitreous interleukin-1 (IL-1) and tumour necrosis factor (TNF) levels in proliferative diabetic retinopathy
2007|47.0|4.0|Current Biology|Short-Wavelength Light Sensitivity of Circadian, Pupillary, and Visual Awareness in Humans Lacking an Outer Retina
2008|78.0|6.0|Eye|Aqueous humour levels of cytokines are correlated to vitreous levels and severity of macular oedema in branch retinal vein occlusion
2009|61.0|6.0|Eye|Microvascular lesions of diabetic retinopathy: clues towards understanding pathogenesis|[quest]|
2010|62.0|6.0|Survey of Ophthalmology|The Neuro-ophthalmology of Mitochondrial Disease
