----  Field Name Neuroendocrinology: 
----  Field Level 2.0: 
----  Field Papers Number 22136:
----  All time max citation paper: Electroconvulsive Therapy Induces Neurogenesis in Frontal Rat Brain Areas, 2013, (1428.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1940|1.0|1.0|JAMA|Adipose Tissue, A Neglected Subject.
1945|2.0|2.0|Journal of Experimental Zoology|Effect of the corpora allata on the metabolism of adult female grasshoppers
1949|0|0.0|Journal of Hygiene|Studies on the Vaccination of Cattle as a Measure against Infection with Tuberculosis with the Living Vole Acid-Fast Bacillus.
1956|6.0|3.5|The Journal of Experimental Biology|Hormonal Control of Ovary Development in Mosquitoes.
1958|9.0|9.0|Journal of Insect Physiology|Some methods for assaying extracts of the juvenile hormone in insects
1959|1.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|ber die Wirkung implantierter Prothoraxdrsen im adulten Weibchen von Leucophaea maderae (Blattaria)
1960|5.0|3.0|Journal of Insect Physiology|Untersuchungen ber die Bedeutung der Corpora allata fr die Differenzierung der Kasten bei der Termite Kalotermes flavicollis F.
1961|19.0|9.5|Journal of Insect Physiology|Some observations on the juvenile hormone effect of farnesol in Rhodnius prolixus Stl (Hemiptera)
1962|9.0|5.0|Journal of Insect Physiology|The influence of juvenile hormone on the oxygen consumption of the last larval instar of Pyrrhocoris apterus L.
1963|32.0|7.5|Journal of Insect Physiology|The role of the corpora allata during ocyte growth in the desert locust, Schistocerca gregaria Forsk.
1964|5.0|2.5|Archives of Biochemistry and Biophysics|Electrophoresis and immunology of purified bovine growth hormone
1965|14.0|4.0|Journal of Insect Physiology|The relationships between the brain, corpora allata, and ocyte growth in the Central American locust, Schistocerca sp.I. The cerebral neurosecretory system, the corpora allata, and ocyte growth
1966|5.0|3.5|Archives of Biochemistry and Biophysics|Sequence of thirteen amino acids in the C-terminal end of bovine growth hormone and localization of a disulflde bridge
1967|18.0|2.0|Comparative Biochemistry and Physiology|Changes in lipid content during the reproductive cycle of Leucophaea maderae and effects of the juvenile hormone on lipid metabolism in vitro
