----  Field Name Neuroethology: 
----  Field Level 2.0: 
----  Field Papers Number 1557:
----  All time max citation paper: Review of Ecological Effects of Roads on Terrestrial and Aquatic Communities, 2000, (912.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1963|1.0|1.0|Nature|Electric Receptors in a Non-electric Fish (Clarias)
1964|2.0|2.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|PACEMAKER ACTIVITY OF THE MEDULLARY NUCLEUS CONTROLLING ELECTRIC ORGANS IN ~IIGH-FRE QUENCY GYMNOTID FISH
1965|1.0|1.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Activity rhythm of an electric fish, Gymnorhamphichthys hypostomus , ellis
1966|0|0.0|Animal Behaviour|Escape responses of three herbivorous gastropods to the predatory gastropod Conus textile
1967|7.0|5.5|Physiology & Behavior|A latency-change mechanism involved in sensory coding of electric fish (mormyrids)
1968|1.0|1.0|Palaeogeography, Palaeoclimatology, Palaeoecology|On the biology and palaeontology of some predators of bivalved mollusca
1969|12.0|5.0|Tissue & Cell|The organization of ampullary sense organs in the electric fish, Gymnarchus niloticus
1970|9.0|6.5|Physiology & Behavior|Electroconvulsive shock induced impairment and enhancement of a learned escape response
1971|2.0|2.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Non-visual functions of crustacean eyestalk ganglia
1972|5.0|0.5||THE ORGANIZATION OF ESCAPE BEHAVIOUR IN THE CRAYFISH
1973|5.0|3.0|Nature|Lightning as Background Noise for Communication among Electric Fish
1974|11.0|5.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Electrosensory Input to the Corpus Cerebelli of the High Frequency Electric Fish Eigenmannia virescens
1975|21.0|2.0|Journal of Comparative and Physiological Psychology|Learned helplessness in the rat: time course, immunization, and reversibility.
1976|48.0|5.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Stimulus Filtering and Electroreception: Tuberous Electroreceptors in Three Species of Gymnotoid Fish
1977|36.0|6.5|Nature|Corollary discharge to cockroach giant interneurones
1978|18.0|8.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|The Escape Behavior of the Cockroach PeHplaneta americana II. Detection of Natural Predators by Air Displacement
1979|4.0|2.5|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Frequency response characteristics of electroreceptors in the weakly electric fish,Gymnotus carapo
1980|12.0|3.0|Physiology & Behavior|Escape induced by combined stimulation in medial hypothalamus and central gray
1981|22.0|4.0|The Journal of Comparative Neurology|The cytology of the posterior lateral line lobe of highfrequency weakly electric fish (gymnotidae): Dendritic differentiation and synaptic specificity in a simple cortex
1982|15.0|3.5|Journal of Molecular and Cellular Cardiology|Electrical and contractile consequences of Na + or Ca 2+ gradient reduction in cultured heart cells
1983|17.0|1.5|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Coordination of lateral giant and non-giant systems in crayfish escape behavior
1984|33.0|5.0|Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology|Differential activation of Mauthncr and non-Mauthner startle circuits in the zebrafish: Implications for functional substitution
1985|27.0|2.0|Physiology & Behavior|Radial maze in the water tank: An aversively motivated spatial working memory task
1986|116.0|4.5|Behavioral and Brain Sciences|Adaptability of innate motor patterns and motor control mechanisms
1987|25.0|3.0|Behavioral and Brain Sciences|Levels of modeling of mechanisms of visually guided behavior
1988|24.0|2.0|The Journal of Comparative Neurology|Anatomical and functional organization of the prepacemaker nucleus in gymnotiform electric fish: The accommodation of two behaviors in one nucleus
1989|15.0|4.0|Molecular Neurobiology|Regulation of Nicotinic Acetylcholine Receptors by Protein Phosphorylation
1990|18.0|2.0|The Journal of Comparative Neurology|Structural and functional organization of a diencephalic sensorymotor interface in the gymnotiform fish, Eigenmannia
1991|32.0|2.0|Journal of Chemical Neuroanatomy|An atlas of the brain of the electric fish Apteronotus leptorhynchus
1992|19.0|4.5|Journal of Chemical Neuroanatomy|Substance P-like immunoreactivity in the brain of the gymnotiform fish Apteronotus leptorhynchus : Presence of sex differences
1993|20.0|3.0|Hydrobiologia|Rotifers as predators on small ciliates
1994|8.0|3.0|Journal of Chemical Neuroanatomy|The distribution of somatostatin binding sites in the brain of gymnotiform fish, Apteronotus leptorhynchus
