----  Field Name Neuroimmunology: 
----  Field Level 2.0: 
----  Field Papers Number 5405:
----  All time max citation paper: Adipose tissue, adipokines, and inflammation, 2005, (935.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1980|12.0|12.0|Journal of Neurochemistry|Preparation and Properties of Antibodies to GD3 and GM1 Gangliosides
1983|44.0|44.0|Journal of Neuroimmunology|Immunohistochemical staining of human brain with monoclonal antibodies that identify lymphocytes, monocytes, and the Ia antigen.
1986|6.0|6.0|Regulatory Peptides|Localization of atrial natriuretic peptide, ANP-(99126) binding sites in the rat thymus and spleen with quantitative autoradiography
1987|40.0|23.5|Journal of Neuroscience Research|Interleukin1like activity in rat brain: Sources, targets, and effects of injury
1988|41.0|4.0|Neurobiology of Aging|Expression of immune system-associated antigens by cells of the human central nervous system: Relationship to the pathology of Alzheimer's disease
1989|9.0|4.0|Peptides|Functional corticotropin-releasing factor (CRF) receptors in mouse spleen: Evidence from adenylate cyclase studies
1990|51.0|5.0|Journal of Investigative Dermatology|Role of Growth Factors, Cytokines, and Their Receptors in the Pathogenesis of Psoriasis
1991|81.0|5.0|Journal of Cell Biology|Oxygen radicals induce human endothelial cells to express GMP-140 and bind neutrophils.
1992|35.0|7.5|Journal of Cell Biology|Identification of a specific glycoprotein ligand for P-selectin (CD62) on myeloid cells.
1993|136.0|6.0|Journal of Clinical Investigation|Vascular cell adhesion molecule-1 (VCAM-1) gene transcription and expression are regulated through an antioxidant-sensitive mechanism in human vascular endothelial cells.
1994|71.0|7.0|Gastroenterology|Inhibition of endothelial-derived nitric oxide promotes P-selectin expression and actions in the rat microcirculation.
1995|114.0|6.0|Journal of Cell Biology|P-selectin glycoprotein ligand-1 mediates rolling of human neutrophils on P-selectin.
1996|81.0|5.5|Circulation|Neovascular expression of E-selectin, intercellular adhesion molecule-1, and vascular cell adhesion molecule-1 in human atherosclerosis and their relation to intimal leukocyte content.
1997|84.0|8.0|Journal of Experimental Medicine|P-Selectin Glycoprotein Ligand-1 (PSGL-1) on T Helper 1 but Not on T Helper 2 Cells Binds to P-Selectin and Supports Migration into Inflamed Skin
1998|180.0|7.0|Gastroenterology|Inflammatory bowel disease: Etiology and pathogenesis
1999|138.0|8.0|The Journal of Allergy and Clinical Immunology|IL-18 : A TH1-inducing, proinflammatory cytokine and new member of the IL-1 family
2000|175.0|8.0|The Journal of Allergy and Clinical Immunology|Mechanisms of eosinophil-associated inflammation
2001|98.0|9.0|Proceedings of the National Academy of Sciences of the United States of America|Heparin and cancer revisited: Mechanistic connections involving platelets, P-selectin, carcinoma mucins, and tumor metastasis
2002|190.0|9.5|Journal of The American Academy of Dermatology|The immunologic basis for the treatment of psoriasis with new biologic agents
2003|131.0|10.0|Journal of Experimental Medicine|Accumulation of tissue factor into developing thrombi in vivo is dependent upon microparticle P-selectin glycoprotein ligand 1 and platelet P-selectin.
2004|263.0|10.0|Annual Review of Immunology|IMMUNOLOGY OF MULTIPLE SCLEROSIS*
2005|444.0|10.0|The Journal of Allergy and Clinical Immunology|Adipose tissue, adipokines, and inflammation
2006|214.0|9.0|European Journal of Immunology|IL22 regulates the expression of genes responsible for antimicrobial defense, cellular differentiation, and mobility in keratinocytes: a potential role in psoriasis
2007|464.0|9.0|Annual Review of Immunology|Structural Basis of Integrin Regulation and Signaling
2008|257.0|10.0|Cancer Letters|Curcumin inhibits proliferation, invasion, angiogenesis and metastasis of different cancers through interaction with multiple cell signaling proteins
2009|189.0|9.0|Gastroenterology|Celiac Disease: From Pathogenesis to Novel Therapies
2010|112.0|11.0|Medicinal Research Reviews|Carbohydrate recognition by boronolectins, small molecules, and lectins.
