----  Field Name Neurosurgery: 
----  Field Level 2.0: 
----  Field Papers Number 3240:
----  All time max citation paper: Diagnostic accuracy of the vegetative and minimally conscious state: Clinical consensus versus standardized neurobehavioral assessment, 2009, (320.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1971|4.0|4.0|Respiration Physiology|Sensitivity to inflation of the respiratory system in the chicken
1972|11.0|5.5|Respiration Physiology|Pulmonary mechanoreceptor fibres in the vagus of the domestic fowl
1974|6.0|6.0|IEEE Transactions on Biomedical Engineering|Pain Suppression by Transcutaneous Electronic Stimulation
1975|0|0.0|IEEE Transactions on Biomedical Engineering|Induction Thermocoagulation of the Brain-Quantitation of Absorbed Power
1976|2.0|2.0|Respiration Physiology|Effect of rib cage or abdomen compression at iso-lung volume on breathing pattern
1977|1.0|1.0|Proceedings of the IEEE|Complex-pattern evoked somatosensory responses in the study of multiple sclerosis
1978|3.0|2.0|European Archives of Oto-rhino-laryngology|Hearing loss and cochlear pathology in the monkey ( Macaca) following exposure to high levels of noise
1979|7.0|0.0|European Archives of Oto-rhino-laryngology|Isolation of an aminoglycoside receptor from guinea pig inner ear tissues and kidney
1980|0|0.0|Ultrasound in Medicine and Biology|Further studies of the transkull transmission of an intense focused ultrasonic beam: Lesion production at 500 kHz
1981|16.0|3.5|Acta Physiologica Scandinavica|Positive feedback facilitation of external intercostal and phrenic inspiratory activity by pulmonary stretch receptors
1982|3.0|1.0|Acta Physiologica Scandinavica|Bilateral reflex effects on phrenic nerve activity in response to singleshock vagal stimulation
1983|1.0|1.0|Respiration Physiology|Response of pulmonary stretch receptors to shifts of functional residual capacity
1984|2.0|1.0|Entomologia Experimentalis Et Applicata|Volumetric feedback and the control of meal size in Schistocerca gregaria
1985|3.0|1.0|Neuroscience Letters|Afferent innervation of extraocular muscles in the rat studied by retrograde and anterograde horseradish peroxidase transport
1986|6.0|4.5|Respiration Physiology|Background activity in pulmonary vagal C-fibers and its effects on breathing
1987|20.0|3.0|Epilepsia|Human Hippocampal Seizure Spread Studied by Depth and Subdural Recording: The Hippocampal Commissure
1988|13.0|2.0|Epilepsia|Localization of cortical function: new information from extraoperative monitoring of patients with epilepsy.
1989|16.0|6.0|Epilepsia|Hemimegalencephaly and Intractable Epilepsy: Benefits of Hemispherectomy
1990|12.0|7.0|Epilepsia|Anterior Temporal Lobectomy and Medically Refractory Temporal Lobe Epilepsy of Childhood
1991|42.0|4.0|Epilepsia|Intractable epilepsy and structural lesions of the brain: mapping, resection strategies, and seizure outcome.
1992|27.0|6.5|Epilepsia|Temporal Lobectomy in Early Childhood
1993|34.0|6.0|Epilepsia|Surgery for intractable infantile spasms: neuroimaging perspectives.
1994|56.0|7.5|human factors in computing systems|Passive real-world interface props for neurosurgical visualization
1995|22.0|2.0|IEEE Computer|Two-handed spatial interface tools for neurosurgical planning
1996|31.0|2.5|IEEE Transactions on Medical Imaging|An automatic registration method for frameless stereotaxy, image guided surgery, and enhanced reality visualization
1997|10.0|1.0|Canadian Medical Association Journal|Guidelines for the use of carotid endarterectomy: current recommendations from the Canadian Neurosurgical Society
1998|39.0|1.0|Proceedings of the IEEE|Toward realistic soft-tissue modeling in medical simulation
1999|42.0|3.0|IEEE Transactions on Medical Imaging|Automated extraction and variability analysis of sulcal neuroanatomy
2000|63.0|2.0|Epilepsia|Subacute Electrical Stimulation of the Hippocampus Blocks Intractable Temporal Lobe Seizures and Paroxysmal EEG Activities
2001|50.0|3.5|IEEE Transactions on Medical Imaging|Landmark-based elastic registration using approximating thin-plate splines
2002|51.0|6.0|Medical Image Analysis|Serial registration of intraoperative MR images of the brain.
2003|58.0|3.0|European Journal of Neurology|The burden of brain diseases in Europe.
2004|89.0|7.0|BMC Neurology|Peak plasma interleukin-6 and other peripheral markers of inflammation in the first week of ischaemic stroke correlate with brain infarct volume, stroke severity and long-term outcome
2005|89.0|6.0|Cancer|Survival rates in patients with lowgrade glioma after intraoperative magnetic resonance image guidance
2006|112.0|9.0|BMC Neurology|COX-2, CB2 and P2X7-immunoreactivities are increased in activated microglial cells/macrophages of multiple sclerosis and amyotrophic lateral sclerosis spinal cord
2007|97.0|6.0|Nature Reviews Neurology|Technology Insight: noninvasive brain stimulation in neurology|[mdash]|perspectives on the therapeutic potential of rTMS and tDCS
2008|162.0|6.0|Nature Reviews Neurology|Mitochondrial biology and oxidative stress in Parkinson disease pathogenesis
2009|269.0|9.0|BMC Neurology|Diagnostic accuracy of the vegetative and minimally conscious state: Clinical consensus versus standardized neurobehavioral assessment
2010|115.0|18.0|BMC Neurology|Open-label add-on treatment trial of minocycline in fragile X syndrome
