----  Field Name Nonlinear system
----  Field Level 2.0
----  Field Papers Number 213903
----  All time max citation paper Collective dynamics of 'small-world' networks, 1998, (10030.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1935|1.0|0.5|Journal of Genetics|A study of mutations in evolution
1936|0|0.0|Transactions of The American Institute of Electrical Engineers|Tensor Analysis of Multielectrode-Tube Circuits
1937|1.0|1.0|Bulletin of the American Mathematical Society|Boundary value problems of the calculus of variations
1938|2.0|2.0|Transactions of the American Mathematical Society|A system of ordinary linear differential equations with two-point boundary conditions
1940|0|0.0|Acta Mathematica|The existence of minimal surfaces of given topological structure under prescribed boundary conditions
1941|4.0|2.5|Journal of Chemical Physics|Dispersion and Absorption in Dielectrics I. Alternating Current Characteristics
1942|0|0.0|Transactions of the American Mathematical Society|A new class of self-adjoint boundary value problems
1946|1.0|1.0|Journal of Chemical Physics|Ultrasonic propagation in liquids : II. Theoretical study of the free volume model of the liquid state
1947|2.0|2.0|Journal of Chemical Physics|Note on a Form of the Secular Equation for Molecular Vibrations
1949|0|0.0|Bulletin of Mathematical Biology|Theory of the mitotic index and its application to tissue growth measurement
1950|3.0|3.0|Journal of Chemical Physics|The Kinetics of Phase Transitions in Binary Systems
1951|2.0|0.0|Journal of Applied Physics|Forced Vibration of Reed as a Method of Determining Viscoelasticity
1952|4.0|0.0|Journal of Chemical Physics|TwoCenter Heteronuclear Hybrid CoulombExchange Integrals
1953|20.0|0.0|Journal of Chemical Physics|FreeElectron Network Model for Conjugated Systems. I. Theory
1954|7.0|1.0|Journal of Chemical Physics|Polarization Effects in the Ionic Conductivity of Silver Bromide
1955|0|0.0|Bulletin of Mathematical Biology|Studies on the relations between pressure and flow in the circulation
1956|3.0|1.0|Physica D: Nonlinear Phenomena|Thermodynamics of sedimentation in paucidisperse systems
1957|5.0|3.0|Journal of Chemical Physics|Theory of Radiation Chemistry. IV. Chemical Reactions in the General Track Composed of N Particles
1958|14.0|1.5|Nuclear Physics|On anomalous conversion coefficients of dipole transitions
1959|15.0|1.0|Journal of Chemical Physics|Statistical Mechanical Theory of Transport Processes. XII. Dense Rigid Sphere Fluids
1960|9.0|1.0|Archive for Rational Mechanics and Analysis|Fourier-transform methods in the theory of approximation
1961|22.0|2.0|Journal of Chemical Physics|Shock Tube Determination of Dissociation Rates of Oxygen
1962|57.0|1.0|Nuclear Physics|A POTENTIAL MODEL REPRESENTATION OF TWO-NUCLEON DATA BELOW 315 Mev
1963|69.0|2.0|Journal of Geophysical Research|Explorer 10 magnetic field measurements
1964|24.0|2.0|Journal of Geophysical Research|Velocity of shear waves in rocks to 10 kilobars, 1
1965|30.0|1.0|Nuclear Physics|The polarization of protons scattered by carbon
1966|9.0|1.0|Journal of Differential Equations|The first and second boundary value problems for nonlinear second order differential equations
1967|45.0|1.0|Bulletin of the American Mathematical Society|Differentiable dynamical systems
1968|54.0|1.0|Numerische Mathematik|Piecewise Hermite interpolation in one and two variables with applications to partial differential equations
1969|41.0|2.0|Journal of Theoretical Biology|A phase-shift model for the spatial and temporal organization of developing systems
1970|29.0|1.0|Planetary and Space Science|Minor ion diffusion in the F2-region of the ionosphere
1971|66.0|1.0|Journal of Geophysical Research|Average and unusual locations of the earth's magnetopause and bow shock
1972|37.0|1.0|Journal of Geophysical Research|Outer magnetosphere near midnight at quiet and disturbed times
1973|28.0|1.0|Journal of Geophysical Research|Frictional heating of the descending lithosphere
1974|56.0|2.0|Journal of Geophysical Research|The proton ring current and its interaction with the plasmapause: Storm recovery phase
1975|50.0|2.0|Journal of Chemical Physics|Exact quantum, quasiclassical, and semiclassical reaction probabilities for the collinear F+H2 --> FH+H reaction
1976|54.0|1.0|Geophysical Research Letters|Nonlinear equatorial spread F
1977|54.0|2.0|Mathematics of Computation|Multi-level adaptive solutions to boundary-value problems
1978|38.0|2.0|Journal of Chemical Physics|Solution of the Smoluchowski equation with a Coulomb potential. I. General results
1979|76.0|2.0|Nature|Growth rate influence on the chemical composition of phytoplankton in oceanic waters
1980|72.0|2.0|Journal of Fluid Mechanics|Many routes to turbulent convection
1981|67.0|2.0|Biological Cybernetics|An oscillation theory of handwriting
1982|62.0|2.0|Journal of Mathematical Biology|The Nature of the Coupling Between Segmental Oscillators of the Lamprey Spinal Generator for Locomotion: A Mathematical Model
1983|107.0|2.0|IEEE Transactions on Pattern Analysis and Machine Intelligence|On the Foundations of Relaxation Labeling Processes
1984|69.0|2.0|Journal of Applied Physics|Oxygenrelated thermal donors in silicon: A new structural and kinetic model
1985|139.0|2.0|Brain Research Reviews|Spatial EEG patterns, non-linear dynamics and perception: the neo-sherringtonian view
1986|168.0|2.0|international conference on management of data|An amateur's introduction to recursive query processing strategies
1987|215.0|2.0|Behavioral and Brain Sciences|How brains make chaos in order to make sense of the world
1988|121.0|2.0|Communications in Mathematical Physics|Topological sigma models
1989|63.0|2.0|Journal of Applied Physics|The role of hydrogen in vapor deposition of diamond
1990|324.0|2.0|IEEE Transactions on Neural Networks|Identification and control of dynamical systems using neural networks
1991|82.0|2.0|IEEE Transactions on Automatic Control|Systematic design of adaptive controllers for feedback linearizable systems
1992|106.0|2.0|international symposium on physical design|Testing for nonlinearity in time series: the method of surrogate data
