----  Field Name Nurse education: 
----  Field Level 2.0: 
----  Field Papers Number 3646:
----  All time max citation paper: A review and an integration of research on job burnout, 1993, (639.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1967|0|0.0|International Journal of Nursing Studies|Overview of the associate degree in nursing in the U.S.A.: Possible applications to nursing education in the United Kingdom
1978|2.0|2.0|Nursing Forum|A Review of Student Stress in Nursing Education Programs
1979|0|0.0|International Journal of Nursing Studies|United States undergraduate nursing education: a system pathology
1980|0|0.0|Educational Technology Research and Development|Effects of Narrator Gender on Conceptual Learning.
1981|2.0|0.5|Journal of Advanced Nursing|Self directed learning and student selected goals in nurse education
1982|1.0|0.5|International Journal of Nursing Studies|Effects of nursing education on attitudes of nursing students toward dying patients in the Nigerian sociocultural environment
1983|1.0|0.5|Computers in Education|The Use of computers in nursing education, practice and administration
1984|0|0.0|Nurse Education Today|Research into the process of attitude change and its implications for nurse education
1985|2.0|1.0|Nurse Education Today|Traditional versus progressive nurse education: a review of the literature
1986|12.0|1.0|Nurse Education Today|Nurse education: learner-centred or teacher-centred?
1987|4.0|1.0|Nurse Education Today|Nursing education and professional role acquisition  theoretical perspectives
1988|7.0|1.0|Journal of Professional Nursing|Identification of predictors of success for the NCLEX and students at risk for NCLEX failure in a baccalaureate nursing program
1989|9.0|1.0|Journal of Professional Nursing|Gilligan's different voice: A perspective for nursing
1990|11.0|1.5|Journal of Professional Nursing|A Critical Review of Human Immunodeficiency Virus Infection--And Acquired Immunodeficiency Syndrome-Related Research: The Knowledge, Attitudes, and Practice of Nurses.
1991|10.0|2.0|Higher Education|Improving the Quality of Student Learning: The Influence of Learning Context and Student Approaches to Learning on Learning Outcomes.
1992|11.0|2.0|Journal of Pain and Symptom Management|Pain and addiction: an urgent need for change in nursing education.
1993|17.0|2.0|Academy of Management Review|A review and an integration of research on job burnout
1994|22.0|1.0|Nurse Education Today|Reflective practice in nursing: issues and implications for nurse education
1995|15.0|2.0|Nurse Education Today|Towards a newmodel of nursing education
1996|13.0|2.0|Journal of Advanced Nursing|A critique of multiculturalism in health care: the challenge for nurse education
1997|19.0|3.0|Diabetologia|Sustained good glycaemic control in NIDDM patients by implementation of structured care in general practice: 2-year follow-up study
1998|20.0|3.0|Journal of Advanced Nursing|Implementing health promoting nursing: the integration of interpersonal skills and health promotion
1999|19.0|3.0|Journal of Advanced Nursing|Skills competency in nurse education : nurse managers' perceptions of diploma level preparation
2000|26.0|4.0|International Journal of Cardiology|Reasons for adherence with antihypertensive medication
2001|26.0|3.0|Nurse Education Today|A NEW PARADIGM FOR PRACTICE EDUCATION
2002|47.0|4.0|Journal of Advanced Nursing|Clinical competence assessment in nursing: a systematic review of the literature
2003|70.0|4.0|Journal of Advanced Nursing|Portfolios and assessment of competence: a review of the literature
2004|32.0|4.0|Nursing Inquiry|The heart of the art: emotional intelligence in nurse education
2005|109.0|4.0|Circulation|Discharge Education Improves Clinical Outcomes in Patients With Chronic Heart Failure
2006|95.0|5.0|Journal of Advanced Nursing|Effectiveness of intermediatefidelity simulation training technology in undergraduate nursing education
2007|48.0|6.0|Nurse Education Today|Objective structured clinical examination (OSCE): review of literature and implications for nursing education
2008|112.0|7.0|International Journal of Nursing Education Scholarship|Comparing NET and ERI Standardized Exam Scores between Baccalaureate Graduates Who Pass or Fail the NCLEX-RN 
2009|73.0|5.0|Implementation Science|Barriers and facilitators to evidence based care of type 2 diabetes patients: experiences of general practitioners participating to a quality improvement program
2010|84.0|5.0|BMC Health Services Research|Protocol and baseline data from The Inala Chronic Disease Management Service evaluation study: a health services intervention study for diabetes care.
