----  Field Name Ontology: 
----  Field Level 2.0: 
----  Field Papers Number 32338:
----  All time max citation paper: Ecological responses to recent climate change, 2002, (3582.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1936|0|0.0|Journal of Symbolic Logic|A System of Formal Logic Without an Analogue to the Curry $W$ Operator
1943|0|0.0|Journal of Symbolic Logic|A Homogeneous System for Formal Logic
1961|1.0|1.0|Annals of the New York Academy of Sciences|EXPERIMENTAL ANALYSIS OF GENETIC DETERMINANTS IN RESISTANCE TO INFECTIOUS DISEASE*
1962|0|0.0|International Journal of Clinical and Experimental Hypnosis|Personal identity, multiple personality, and hypnosis
1964|3.0|3.0|Communications of The ACM|Techniques for the simulation of computer logic
1965|52.0|2.5|Nuclear Physics|Gamma-ray energies determined with a lithium-drifted germanium detector
1966|2.0|0.0|Journal of Symbolic Logic|Algebraic Semantics for Modal Logics II
1968|12.0|7.0|IEEE Transactions on Information Theory|On a class of majority-logic decodable cyclic codes
1969|8.0|2.0|IEEE Spectrum|Physical problems and limits in computer logic
1970|6.0|0.0|IEEE Transactions on Computers|Functional Partitioning and Simulation of Digital Circuits
1971|12.0|0.0|Insect Biochemistry|Protein synthesis during insect development
1972|7.0|0.5|Proceedings of the American Mathematical Society|Embedding nuclear spaces in products of an arbitrary Banach space
1973|6.0|2.5|Human Ecology|Genetic and cultural pools: Some suggestions for a unified theory of biocultural evolution
1974|22.0|2.0|IEEE Transactions on Computers|The Cost of Developing Large-Scale Software
1975|22.0|3.0|Review of Educational Research|Childrens Ability to Handle Piagets Propositional Logic: A Conceptual Critique
1976|12.0|1.0|Atherosclerosis|Lipid metabolism in cultured aortic smooth muscle cells and comparison with other cell types Part 1. Composition of cells grown in hyperlipemic serum
1977|26.0|1.0|symposium on the theory of computing|Propositional modal logic of programs
1978|56.0|2.0|Cognitive Psychology|The psychology of syllogisms
1979|26.0|3.0|ACM Transactions on Database Systems|Limitations of record-based information models
1980|26.0|2.0|Journal of Experimental Child Psychology|The Development of Linear Syllogistic Reasoning.
1981|62.0|4.0|international joint conference on artificial intelligence|REASONING ABOUT KNOWLEDGE AND ACTION
1982|19.0|2.0|IEEE Transactions on Communications|Performance of CSMA/CD Networks Under Combined Voice and Data Loads
1983|30.0|3.0|IEEE Transactions on Communications|Modular Verification of Computer Communication Protocols
1984|22.0|4.0|ACM Transactions on Programming Languages and Systems|The ``Hoare Logic'' of CSP, and All That
1985|57.0|2.0|Artificial Intelligence|A method for managing evidential reasoning in a hierarchical hypothesis space
1986|96.0|5.0|British Journal of Psychology|Understanding face recognition
1987|305.0|3.0|IEEE Computer|Hypertext: An Introduction and Survey
1988|133.0|2.0|Behavioral and Brain Sciences|A framework for the functional analysis of behaviour
1989|110.0|2.0|ACM Computing Surveys|The family of concurrent logic programming languages
1990|171.0|2.5||A Computational Logic
1991|51.0|3.0|IEEE Transactions on Signal Processing|Analysis of the properties of median and weighted median filters using threshold logic and stack filter representation
1992|184.0|2.0|Behavioral and Brain Sciences|Time and the observer: The where and when of consciousness in the brain
1993|120.0|2.5|Behavioral and Brain Sciences|Unconscious cerebral initiative and the role of conscious will in voluntary action
1994|69.0|3.0|IEEE Transactions on Software Engineering|Inconsistency handling in multiperspective specifications
1995|145.0|3.0|IEEE Transactions on Software Engineering|Specification and analysis of system architecture using Rapide
1996|121.0|3.0|European Journal of Neuroscience|Perisynaptic Location of Metabotropic Glutamate Receptors mGluR1 and mGluR5 on Dendrites and Dendritic Spines in the Rat Hippocampus
1997|140.0|2.0|international symposium on computer architecture|Complexity-effective superscalar processors
1998|150.0|2.0|Journal of Experimental Medicine|Conversion of Membrane-bound Fas(CD95) Ligand to Its Soluble Form Is Associated with Downregulation of Its Proapoptotic Activity and Loss of Liver Toxicity
1999|114.0|4.0|Artificial Intelligence|Experiences with an interactive museum tour-guide robot
2000|263.0|3.0|international conference on software engineering|Bandera: extracting finite-state models from Java source code
2001|272.0|4.0|design automation conference|Route packets, not wires: on-chip inteconnection networks
2002|734.0|4.0|Nature|Ecological responses to recent climate change
2003|212.0|4.0|IEEE Transactions on Knowledge and Data Engineering|Determining semantic similarity among entity classes from different ontologies
2004|260.0|5.0|Risk Analysis|Risk as Analysis and Risk as Feelings: Some Thoughts about Affect, Reason, Risk, and Rationality
2005|782.0|4.0|IEEE Transactions on Knowledge and Data Engineering|Toward the next generation of recommender systems: a survey of the state-of-the-art and possible extensions
2006|293.0|3.0|Management Information Systems Quarterly|The nature of theory in information systems
2007|541.0|3.0|Nature Biotechnology|The OBO Foundry: coordinated evolution of ontologies to support biomedical data integration
2008|312.0|3.0|Nature Neuroscience|Unconscious determinants of free decisions in the human brain
2009|365.0|2.0|Medicine and Science in Sports and Exercise|Progressive Statistics for Studies in Sports Medicine and Exercise Science
2010|332.0|3.0|American Journal of Psychiatry|Prenatal Infection and Schizophrenia: A Review of Epidemiologic and Translational Studies
