----  Field Name Organic synthesis: 
----  Field Level 2.0: 
----  Field Papers Number 36627:
----  All time max citation paper: The Banff 97 working classification of renal allograft pathology, 1999, (1925.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1930|0|0.0|The Journal of Infectious Diseases|Disinfection. IV. Do Bacteria die logarithmically ?
1932|3.0|2.0|The Biological Bulletin|Fat metabolism of the chick embryo under standard conditions of artificial incubation.
1934|7.0|3.5|JAMA Pediatrics|A study of the teeth of a group of school children previously examined for rickets.
1936|1.0|1.0|Journal of Hygiene|Studies on Endemic and Experimental Goitre.
1940|4.0|1.0|Journal of Dairy Science|Oxidized Flavor in Milk: I. Effect of the Development of Oxidized Flavor on the Iodine Number of the Phospholipid Fraction of Milk
1941|2.0|1.5|Journal of Food Science|PREPARATION AND ESTIMATION OF CRUDE CITRIN SOLUTIONS (VITAMIN P) FROM LEMONS
1943|2.0|1.0|JAMA|ROCKY MOUNTAIN SPOTTED FEVER
1944|0|0.0|JAMA Internal Medicine|Recent advances in physiology of the thyroid and their clinical application.
1946|6.0|5.0|JAMA|The treatment of hyperthyroidism with radioactive iodine.
1949|2.0|1.0|Annals of Applied Biology|OBSERVATIONS ON APPLE CANKER III. THE ANATOMY OF THE STEM CANKER
1950|8.0|2.0|Journal of Dairy Science|The determination of protein sulfhydryl groups with iodine and o-iodosobenzoate by an amperometric titration.
1951|8.0|5.5|Nature|Labelling of Proteins with Iodine-131, Sulphur-35 and Phosphorus-32
1952|3.0|2.0|Archives of Biochemistry and Biophysics|The effect of fat and pyridoxine deficiencies on rat liver dehydrogenases
1955|11.0|9.0|JAMA Internal Medicine|SYSTEMIC MONILIASIS AND ASPERGILLOSIS COMPLICATING CORTICOTROPIN THERAPY
1956|0|0.0|JAMA|EFFECTS OF 3,5,3 L-TRIIODOTHYRONINE IN PATIENTS WITH METABOLIC INSUFFICIENCY: PRELIMINARY REPORT
1957|3.0|0.0|Journal of Chemical Physics|Structure of the Interhalogen Compounds. III. Concluding Note on Bromide Trifluoride, Bromine Pentafluoride, and Iodine Pentafluoride
1958|6.0|0.0|Journal of Atmospheric and Solar-Terrestrial Physics|On the production of radioisotopes in the atmosphere by cosmic radiation and their application to meteorology
1959|27.0|15.0|Physics of Fluids|Interferometric Measurement in the Shock Tube of the Dissociation Rate of Oxygen
