----  Field Name Organization development: 
----  Field Level 2.0: 
----  Field Papers Number 6581:
----  All time max citation paper: User acceptance of computer technology: a comparison of two theoretical models, 1989, (5769.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1958|6.0|6.0|American Journal of Botany|Growth and Organized Development of Cultured Cells. I. Growth and Division of Freely Suspended Cells
1960|0|0.0|The Journal of Agricultural Science|Proportionality of organ development in osteodystrophic dwarf beef cattle
1965|2.0|2.0|Microbiology|The Interaction of Hydrogen Ion, Carbon Dioxide and Potassium Ion in Controlling the Formation of Resistant Sporangia in Blastocladiella emersonii
1967|2.0|2.0|Physiologia Plantarum|Growth and Development of Pelargonium Pith Cells in vitro. II. Initiation of Organized Development
1970|1.0|0.0|Planta|Distribution of phenylalanine ammonia-lyase in etiolated and far-red irradiated radish seedlings
1971|15.0|15.0|Phytochemistry|Relationship between organ development and activity of enzymes involved in flavone glycoside biosynthesis in young parsley plants
1972|3.0|3.0|Comparative Biochemistry and Physiology Part A: Physiology|Chelicerate neuromuscular systems: The distal flexor of the mero-carpopodite of Limulus polyphemus (L.)
1973|4.0|1.0|Research in Higher Education|Differences Between Physical and Social Sciences in University Graduate Departments.
1974|20.0|1.0|Physiology & Behavior|Electrical stimulation of forebrain structures and its effect on copulatory as well as stimulus-bound behavior in ovariectomized hormone-primed rats
1975|2.0|2.0|Management Science|Achieving Organizational Consensus with Respect to R&D Project Selection Criteria
1976|7.0|5.0|Geochimica et Cosmochimica Acta|Maximum carbon isotope fractionation in photosynthesis by blue-green algae and a green alga
1977|2.0|0.0|Nature|An early Cambrian chert biota and its implications
1978|5.0|1.5|Physiology & Behavior|Effects of medial septal stimulation on hypothalamically-elicited intraspecific attack and associated hissing in cats
1979|16.0|0.0|international conference on software engineering|The impact of mesa on system design
1980|10.0|0.5|Brain Research|Septal and amygdalar efferents to the hypothalamus which facilitate hypothalamically elicited intraspecific aggression and associated hissing in the cat. An autoradiographic study
1981|10.0|0.0|Review of Educational Research|Organization Development in Schools: The State of the Art.
1982|14.0|1.0|Differentiation|Antibodies to Murine Amelogenins: Localization of Enamel Proteins During Tooth Organ Development in vitro
1983|11.0|2.0|Neuroscience|Characterization and distribution of acetylcholine receptors and acetylcholinesterase during electric organ development in Torpedo marmorata
1984|11.0|2.0|Journal of Management|Taxonomic Approaches to Studying Strategy: Some Conceptual and Methodological Issues
1985|21.0|1.0|Personnel Psychology|The Effects of Psychologically Based Intervention Programs on Worker Productivity: A Meta-Analysis.
1986|17.0|1.0|Neuroscience Letters|Magnetic stimulation of the human brain: Facilitation of motor responses by voluntary contraction of ipsilateral and contralateral muscles with additional observations on an amputee
1987|20.0|3.5|Brain Research|Central motor tract propagation in man: studies with non-invasive, unifocal, scalp stimulation
1988|16.0|1.5|Academy of Management Journal|Relation of Dominant Problems to Stages of Growth in Technology-Based New Ventures
1989|74.0|6.0|Management Science|User acceptance of computer technology: a comparison of two theoretical models
1990|74.0|3.0|Cell|extramacrochaetae, a negative regulator of sensory organ development in Drosophila, defines a new class of helix-loop-helix proteins
1991|21.0|3.5|Organization Science|Organizational Performance and Information Technology Investment Intensity in the Insurance Industry
1992|99.0|3.0|European Journal of Pharmacology|Production of endogenous nitric oxide and activation of soluble guanylate cyclase are required for N-methyl-D-aspartate-produced facilitation of the nociceptive tail-flick reflex
1993|17.0|2.5|Cell and Tissue Research|The embryonic development of the Drosophila visual system.
1994|20.0|4.0|Strategic Management Journal|Organizational performance in a regulated environment: The role of strategic orientation
1995|21.0|2.0|Journal of Vegetation Science|VARIATION IN SPECIES RICHNESS ON SMALL GRASSLAND QUADRATS - NICHE STRUCTURE OR SMALL-SCALE PLANT MOBILITY
1996|65.0|3.0|The Plant Cell|AINTEGUMENTA, an APETALA2-like gene of Arabidopsis with pleiotropic roles in ovule development and floral organ growth.
1997|100.0|3.0|Neuron|Crx, a Novel Otx-like Paired-Homeodomain Protein, Binds to and Transactivates Photoreceptor Cell-Specific Genes
1998|195.0|4.0|Nature|Zebrafish organizer development and germ-layer formation require nodal-related signals
1999|230.0|7.0|Cell|The EGF-CFC Protein One-Eyed Pinhead Is Essential for Nodal Signaling
2000|171.0|7.0|Nature|B and C floral organ identity functions require SEPALLATA MADS-box genes
2001|160.0|7.5|Current Opinion in Genetics & Development|New aspects of Wnt signaling pathways in higher vertebrates
2002|252.0|5.0|Organization Science|Deliberate Learning and the Evolution of Dynamic Capabilities
2003|323.0|6.5|Annual Review of Physiology|Short-Term Synaptic Plasticity
2004|215.0|8.0|Management Information Systems Quarterly|Review: information technology and organizational performance: an integrative model of it business value
2005|104.0|8.0|Journal of Ecology|Is the change of plantplant interactions with abiotic stress predictable? A metaanalysis of field results in arid environments
2006|177.0|7.0|Nature Immunology|Lymphoid organ development: from ontogeny to neogenesis
2007|472.0|7.0|Journal of Vision|Bimodal sensory discrimination is finer than dual single modality discrimination
2008|434.0|7.0|Journal of Ecology|Facilitation in plant communities: the past, the present, and the future
2009|285.0|7.0|Journal of Ecology|Refining the stressgradient hypothesis for competition and facilitation in plant communities
2010|263.0|6.0|Nature|Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate
