----  Field Name Orthopedic surgery: 
----  Field Level 2.0: 
----  Field Papers Number 11021:
----  All time max citation paper: Mesenchymal stem cells as trophic mediators., 2006, (995.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1948|0|0.0|The New England Journal of Medicine|Orthopedic Surgery: Conditions of the Shoulder
1950|1.0|1.0|Archives of Surgery|ACTINOMYCOSIS OF THE KNEE: Report of a Case
1972|1.0|1.0|Annals of The Royal College of Surgeons of England|Congenital dislocation of the hip.
1973|1.0|1.0|Journal of Biomechanics|Polymer composites for use in orthopedic surgery
1975|3.0|3.0|IEEE Transactions on Biomedical Engineering|Electrical Correlates of Acupuncture Points
1977|1.0|0.5|World Journal of Surgery|Surgery of hemophiliacs20 years' experience
1978|2.0|1.0|JAMA Pediatrics|Haemophilus influenzae Type b Osteomyelitis
1979|22.0|11.5|IEEE Transactions on Biomedical Engineering|Physiology and Mathematics of Myoelectric Signals
1980|2.0|1.0|Journal of Small Animal Practice|Transarticular pinning as a treatment for hip luxation in the dog and cat
1981|4.0|2.0|American Journal of Orthodontics|Morphologic changes in the sagittal dimension using the Frnkel appliance
1982|8.0|3.0|IEEE Transactions on Biomedical Engineering|A Procedure for Decomposing the Myoelectric Signal Into Its Constituent Action Potentials - Part I: Technique, Theory, and Implementation
1983|9.0|3.0|Histopathology|Glandular (tubular and follicular) variants of medullary carcinoma of the thyroid
1984|4.0|1.5|American Journal of Orthodontics|A comparison of Class II treatment changes noted with the light wire, edgewise, and Frnkel appliances
1985|19.0|4.0|The Lancet|CONTROLLED COMPARISON OF SHORT-WAVE DIATHERMY TREATMENT WITH OSTEOPATHIC TREATMENT IN NON-SPECIFIC LOW BACK PAIN
1986|4.0|1.0|Journal of Orthopaedic Research|Immunofluorescent localization of structural collagen types in endochondral fracture repair
1987|18.0|2.0|JAMA|A cost-effectiveness analysis of prophylaxis against deep-vein thrombosis in major orthopedic surgery.
1988|8.0|1.0|Journal of Biomedical Engineering|Design and performance of a fracture monitoring transducer
1989|13.0|3.0|Bone|Changes in extracellular matrix vesicles during healing of rat tibial bone: A morphometric and biochemical study
1990|20.0|1.0|Journal of Orthopaedic Research|Fatigue fractures in thoroughbred racehorses: Relationships with age, peak bone strain, and training
1991|24.0|1.0|Arthroscopy|Meniscal transplantation in the human knee: A preliminary report
1992|27.0|2.0|Clinical Materials|Biodegradable self-reinforced composite materials; Manufacturing structure and mechanical properties
1993|58.0|2.5|Bone|Basic biomechanical measurements of bone: A tutorial
1994|49.0|1.0|Journal of Biomedical Materials Research|Macrophage/particle interactions: effect of size, composition and surface area.
1995|22.0|3.0|Bone|Platelet-derived growth factor expression in normally healing human fractures.
1996|36.0|3.0|Biomaterials|Poly(-hydroxy acids): carriers for bone morphogenetic proteins
1997|59.0|3.0|Journal of Clinical Epidemiology|A comparison of different indices of responsiveness
1998|58.0|3.0|Bone|Distinct and Overlapping Patterns of Localization of Bone Morphogenetic Protein (BMP) Family Members and a BMP Type II Receptor During Fracture Healing in Rats
1999|64.0|4.0|Bone|Adenovirus-mediated direct gene therapy with bone morphogenetic protein-2 produces bone
2000|94.0|4.0|Blood|Impact of the patient population on the risk for heparin-induced thrombocytopenia.
2001|165.0|5.0|Trends in Molecular Medicine|Mesenchymal stem cells: building blocks for molecular medicine in the 21st century
2002|164.0|6.0|JAMA Internal Medicine|Fondaparinux vs enoxaparin for the prevention of venous thromboembolism in major orthopedic surgery: a meta-analysis of 4 randomized double-blind studies.
2003|120.0|7.0|Journal of Cellular Biochemistry|Fracture healing as a postnatal developmental process: Molecular, spatial, and temporal aspects of its regulation
2004|62.0|6.0|European Journal of Pharmaceutics and Biopharmaceutics|Localized delivery of growth factors for bone repair
2005|216.0|6.0|Biomaterials|Chitosan: a versatile biopolymer for orthopaedic tissue-engineering.
2006|410.0|8.0|Journal of Cellular Biochemistry|Mesenchymal stem cells as trophic mediators.
2007|158.0|8.0|BMC Musculoskeletal Disorders|An internet survey of 2,596 people with fibromyalgia
2008|379.0|9.0|Polymer|Electrospinning jets and polymer nanofibers
2009|163.0|9.0|Circulation|Plasma parathyroid hormone and the risk of cardiovascular mortality in the community
2010|175.0|12.0|Journal of Bone and Mineral Research|Teriparatide for acceleration of fracture repair in humans: A prospective, randomized, doubleblind study of 102 postmenopausal women with distal radial fractures
