----  Field Name Paleobiology: 
----  Field Level 2.0: 
----  Field Papers Number 13142:
----  All time max citation paper: Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1969|19.0|19.0|Nature|Recognition of Bacterial Initiator tRNA by Initiation Factors
1971|30.0|2.0|Nature|Estimation of Secondary Structure in Ribonucleic Acids
1972|12.0|12.0|Nature|Spontaneous Release of Type C Viruses from Clonal Lines of Spontaneously Transformed Balb/3T3 Cells
1974|19.0|19.0|Nature|Stratospheric sink for chlorofluoromethanes: chlorine atomc-atalysed destruction of ozone
1975|557.0|14.0|Nature|Identification of two related pentapeptides from the brain with potent opiate agonist activity
1976|168.0|12.5|Nature|C fragment of lipotropin has a high affinity for brain opiate receptors
1977|67.0|9.0|Nature|Role of prostaglandin endoperoxide PGG2 in inflammatory processes
1980|406.0|46.5|Nature|The role of hormone receptors and GTP-regulatory proteins in membrane transduction.
1981|6.0|5.5|Geochimica et Cosmochimica Acta|Sulfur isotopic studies of Archean slate and graywacke from northern Minnesota - Evidence for the existence of sulfate reducing bacteria
1983|13.0|13.0|Geochimica et Cosmochimica Acta|The use of hydroxyacids as geochemical indicators
1984|6.0|6.0|Origins of Life and Evolution of Biospheres|The stratified microbial community at Laguna Figueroa, Baja California, Mexico - A possible model for prephanerozoic laminated microbial communities preserved in cherts
1985|1.0|0.5|Transactions of The Royal Society of Edinburgh-earth Sciences|Isopodichnus , related arthropod trace fossils and notostracans from Triassic fluvial sediments
1986|2.0|1.0|IEEE Transactions on Geoscience and Remote Sensing|Paleodrainages of the Eastern Sahara-The Radar Rivers Revisited (SIR-A/B Implications for a Mid-Tertiary Trans-Afnrcan Drainage System)
1988|19.0|10.0|Icarus|Are there carbonate deposits in the Valles Marineris, Mars?
1989|3.0|3.0|Geophysical Research Letters|Structure and dating errors in the geologic time scale and periodicity in mass extinctions
1990|0|0.0|Geobios|Influence de la diagense sur la production, la prservation et l'chantillonnage des ichnofossiles au sein des sries carbonates: L'exemple du bassin intracratonique ordovicien du Lac-St-Jean et de Chicoutimi (Qubec)
1991|3.0|1.5|Origins of Life and Evolution of Biospheres|Martian paleolakes and waterways - Exobiological implications
1992|1.0|1.0|Geobios|Nouveau remaniement de laganone chez un semionotidae du crtac suprieur de Bolivie: Intrt palobiologique
1993|33.0|7.0||Active Pixel Sensors: Are CCD's Dinosaurs?
1994|6.0|6.0|Oikos|Biogeography of woody plant chemical defense against snowshoe hare browsing: Comparison of Alaska and eastern North America
1995|5.0|5.0||Paleobiology of the Mesoproterozoic Billyakh Group, Anabar Uplift, northern Siberia
1996|11.0|1.0|Ecology|Paleobiology, community ecology, and scales of ecological pattern
1997|1035.0|51.0|Nature|Functional rafts in cell membranes
1998|2478.0|53.0|Nature|Dendritic cells and the control of immunity
1999|798.0|54.0|Nature|Molecular characterization of mitochondrial apoptosis-inducing factor
2000|1400.0|56.0|Nature|Distinct types of diffuse large B-cell lymphoma identified by gene expressionprofiling
2001|4579.0|55.5|Nature|Initial sequencing and analysis of the human genome
2002|1438.0|52.0|Nature|Pluripotency of mesenchymal stem cells derived from adult marrow
2003|1006.0|59.5|Nature|The International HapMap Project
2004|1050.0|54.0|Nature|Identification of human brain tumour initiating cells
2005|1559.0|60.0|Nature|MicroRNA expression profiles classify human cancers.
2006|1988.0|58.5|Nature|Reciprocal developmental pathways for the generation of pathogenic effector TH17 and regulatory T cells
2007|1465.0|60.0|Nature|A second generation human haplotype map of over 3.1 million SNPs.
2008|1601.0|68.0|Nature|Building better batteries
2009|2934.0|67.0|Nature|Large-scale pattern growth of graphene films for stretchable transparent electrodes
2010|2096.0|69.0|Nature|A human gut microbial gene catalogue established by metagenomic sequencing
