----  Field Name Paleoclimatology
----  Field Level 2.0
----  Field Papers Number 106879
----  All time max citation paper Initial sequencing and analysis of the human genome, 2001, (10313.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1938|0|0.0||A pollen profile of Otterbein bog, Warren county, Indiana
1950|2.0|0.0|Parasitology|The reactions of Lucilia sericata (Mg.) to various substances placed on sheep
1951|2.0|0.0|Arctic|A New View of the History of the Aleutians
1952|0|0.0||Cenozoic Climates of the Great basin
1953|1.0|1.0|Journal of Dairy Science|Effects of Seasonal Climatic Changes on Certain Physiological Reactions, Semen Production and Fertility of Dairy Bulls
1954|2.0|1.5|Arctic|Remarks on the Reproduction, Sex Ratio, and Life Expectancy of the Varying Lemming, Dicrostonyx Groenlandicus , in Nature and Captivity
1958|4.0|4.0|Geochimica et Cosmochimica Acta|The concentration and isotopic abundances of atmospheric carbon dioxide in rural areas
1959|1.0|1.0|Tellus A|An Analysis of the Possible Recent Change in Atmospheric Carbon Dioxide Concentration
1960|2.0|1.0|Quarterly Journal of the Royal Meteorological Society|Synoptic and dynamic aspects of climatic change
1961|5.0|2.0|Annals of the New York Academy of Sciences|CONVERGENCE OF EVIDENCE ON CLIMATIC CHANGE AND ICE AGES
1962|22.0|22.0|Icarus|EVIDENCE FROM THE MOON'S SURFACE FEATURES FOR THE PRODUCTION OF LUNAR GRANITES
1963|7.0|3.0|Icarus|Structure of the lower atmosphere of Venus
1964|19.0|5.0|Journal of Geophysical Research|Atmospheric heating in the auroral zones: A preliminary analysis of the atmospheric drag of the Injun 3 satellite
1965|67.0|7.5|Journal of Geophysical Research|Electron and molecular nitrogen temperature and density in the thermosphere.
1966|33.0|4.0|Planetary and Space Science|Collision frequencies and energy transfer ions
1967|13.0|3.0|Planetary and Space Science|Atmospheric nitrous oxide
1968|30.0|2.0|Journal of Geophysical Research|Ion chemistry governing mesospheric electron concentrations
1969|19.0|3.0|Nature|Recognition of Bacterial Initiator tRNA by Initiation Factors
1970|27.0|2.5|Journal of Geophysical Research|Concerning the influence of elastic scattering upon photoelectron transport and escape
1971|30.0|2.5|Nature|Estimation of Secondary Structure in Ribonucleic Acids
1972|54.0|5.0|Icarus|Investigation of the Martian environment by infrared spectroscopy on Mariner 9
1973|39.0|4.0|Journal of Geophysical Research|Magnetic storm characteristics of the thermosphere.
1974|107.0|4.0|Journal of Geophysical Research|Empirical model of global thermospheric temperature and composition based on data from the Ogo 6 quadrupole mass spectrometer
1975|557.0|6.0|Nature|Identification of two related pentapeptides from the brain with potent opiate agonist activity
1976|168.0|10.0|Nature|C fragment of lipotropin has a high affinity for brain opiate receptors
1977|73.0|8.5|Journal of Geophysical Research|Thermal and albedo mapping of Mars during the Viking primary mission
1978|42.0|3.0|Icarus|The evolution of the atmosphere of the earth
1979|78.0|4.0|Journal of Geophysical Research|Properties and effects of dust particles suspended in the Martian atmosphere
1980|406.0|7.0|Nature|The role of hormone receptors and GTP-regulatory proteins in membrane transduction.
1981|129.0|5.0|Journal of Geophysical Research|Tropospheric chemistry - A global perspective
1982|63.0|5.5|Journal of Geophysical Research|The free radical chemistry of cloud droplets and its impact upon the composition of rain
1983|107.0|5.0|Journal of Geophysical Research|A Revised thermospheric model based on mass spectrometer and incoherent scatter data: MSIS83
1984|61.0|4.0|Journal of Geophysical Research|Seasonal cycle experiment on the climate sensitivity due to a doubling of CO2 with an atmospheric general circulation model coupled to a simple mixedlayer ocean model
1985|96.0|4.0|Journal of Geophysical Research|Trace gas trends and their potential role in climate change
1986|60.0|4.0|Nature|Future global warming from atmospheric trace gases
1987|159.0|4.0|Journal of Geophysical Research|MSIS86 Thermospheric Model
1988|176.0|4.0|Global Biogeochemical Cycles|Biogeochemical aspects of atmospheric methane
1989|44.0|4.0|Journal of Geophysical Research|In situ measurements of total reactive nitrogen, total water, and aerosol in a polar stratospheric cloud in the Antarctic
1990|85.0|5.0|Geological Society, London, Memoirs|Revised World maps and introduction
1991|97.0|4.0|Journal of Geophysical Research|Threedimensional model synthesis of the global methane cycle
1992|121.0|5.0|Ecology|The Problem of Pattern and Scale in Ecology
1993|80.0|5.0|Global Biogeochemical Cycles|Terrestrial ecosystem production: A process model based on global satellite and surface data
1994|97.0|5.0|Climate Dynamics|Decadal atmosphere-ocean variations in the Pacific
1995|193.0|5.0|Reviews of Geophysics|Stratospheretroposphere exchange
1996|120.0|5.0|Geophysical Research Letters|The 19901995 El NioSouthern Oscillation Event: Longest on Record
1997|1035.0|9.0|Nature|Functional rafts in cell membranes
1998|2478.0|11.0|Nature|Dendritic cells and the control of immunity
1999|798.0|12.0|Nature|Molecular characterization of mitochondrial apoptosis-inducing factor
2000|1400.0|12.0|Nature|Distinct types of diffuse large B-cell lymphoma identified by gene expressionprofiling
2001|4579.0|9.0|Nature|Initial sequencing and analysis of the human genome
2002|1438.0|10.0|Nature|Pluripotency of mesenchymal stem cells derived from adult marrow
2003|1006.0|12.0|Nature|The International HapMap Project
2004|1050.0|12.0|Nature|Identification of human brain tumour initiating cells
2005|1559.0|13.0|Nature|MicroRNA expression profiles classify human cancers.
2006|1988.0|13.0|Nature|Reciprocal developmental pathways for the generation of pathogenic effector TH17 and regulatory T cells
2007|1465.0|13.0|Nature|A second generation human haplotype map of over 3.1 million SNPs.
2008|1601.0|13.0|Nature|Building better batteries
2009|2934.0|13.0|Nature|Large-scale pattern growth of graphene films for stretchable transparent electrodes
2010|2096.0|12.0|Nature|A human gut microbial gene catalogue established by metagenomic sequencing
