----  Field Name Pharmacogenomics: 
----  Field Level 2.0: 
----  Field Papers Number 10403:
----  All time max citation paper: A Family-Wide RT-PCR Assay for Detection of Paramyxoviruses and Application to a Large-Scale Surveillance Study, 2012, (1953.0 citations)
----  Papers with max citations after 5 year 
 Year|Citations|Median Citations|Venue Name|Title
1974|2.0|1.0|Biochemical Pharmacology|Accumulation of an epoxy intermediate during the hepatic microsomal metabolism of cis-stilbene to threo-stilbene glycol due to the inhibition of epoxide hydrolase by trans-stilbenimine
1977|0|0.0|Journal of Human Genetics|Studies of red blood cell and serum polymorphisms among the Matagi
1978|3.0|0.0|European Journal of Pharmacology|Genetical differences in sensitivity to tremorine and oxotremorine in mice
1979|1.0|1.0|Journal of Human Genetics|Genetic evidence of gene flow from Indians to Malays
1980|16.0|2.0|Cancer Letters|Specificity of mouse liver cytosolic epoxide hydrolase for K-region epoxides derived from polycyclic aromatic hydrocarbons
1981|28.0|2.0|Insect Biochemistry|The distribution of juvenile hormone esterase and its interrelationship with other proteins influencing juvenile hormone metabolism in the cabbage looper, Trichoplusia ni
1982|20.0|2.0|Archives of Biochemistry and Biophysics|Chalcone oxides--potent selective inhibitors of cytosolic epoxide hydrolase.
1983|42.0|2.0|Analytical Biochemistry|Radiometric assays for mammalian epoxide hydrolases and glutathione S -transferase
1984|12.0|2.0|Archives of Biochemistry and Biophysics|Turnover of membrane proteins: Kinetics of induction and degradation of seven forms of rat liver microsomal cytochrome P-450, NADPH-cytochrome P-450 reductase, and epoxide hydrolase
1985|17.0|1.0|FEBS Journal|Immunoquantification of epoxide hydrolase and cytochrome P450 isozymes in fetal and adult human liver microsomes
1986|25.0|3.0|Biochemical Pharmacology|Distribution and inducibility of cytosolic epoxide hydrolase in male sprague-dawley rats
1987|16.0|1.5|Cancer Research|Hepatic Drug-metabolizing Enzymes in Primary and Secondary Tumors of Human Liver
1988|21.0|1.0|Cancer Research|Long-Lasting Effects of Tobacco Smoking on Pulmonary Drug-metabolizing Enzymes: A Case-Control Study on Lung Cancer Patients
1989|10.0|1.0|Cancer Research|Benzo(a)pyrene Metabolism by Murine Spleen Microsomes
1990|26.0|1.0|Biochemical and Biophysical Research Communications|Leukotriene A4 hydrolase: An epoxide hydrolase with peptidase activity
1991|24.0|2.0|Applied and Environmental Microbiology|Metabolism of phenanthrene by Phanerochaete chrysosporium.
1992|9.0|1.0|Cancer Research|Comparison of Mouse and Human Colon Tumors with Regard to Phase I and Phase II Drug-metabolizing Enzyme Systems
1993|19.0|1.0|Biotechnology and Bioengineering|Expression of epoxide hydrolase in insect cells: A focus on the infected cell
1994|38.0|2.0|Biochemical Pharmacology|HUMAN LIVER CARBAMAZEPINE METABOLISM. ROLE OF CYP3A4 AND CYP2C8 IN 10, 11-EPOXIDE FORMATION
1995|32.0|4.5|Journal of Clinical Microbiology|PCR and single-strand conformational polymorphism for recognition of medically important opportunistic fungi.
1996|35.0|2.0|Tetrahedron|Microbiological transformation 32: Use of epoxide hydrolase mediated biohydrolysis as a way to enantiopure epoxides and vicinal diols: Application to substituted styrene oxide derivatives
1997|178.0|4.0|Psychopharmacology|Behavioral phenotypes of inbred mouse strains : implications and recommendations for molecular studies
1998|69.0|6.0|British Journal of Clinical Pharmacology|Cytochrome P4502C9: an enzyme of major importance in human drug metabolism
1999|136.0|5.5|Trends in Pharmacological Sciences|Polymorphic human cytochrome P450 enzymes: an opportunity for individualized drug treatment
2000|182.0|9.5|Gastroenterology|Pharmacogenomics and metabolite measurement for 6-mercaptopurine therapy in inflammatory bowel disease
2001|147.0|8.0|JAMA|Potential role of pharmacogenomics in reducing adverse drug reactions: a systematic review.
2002|269.0|8.5|Genome Biology|Use of genomic data in risk assessment
2003|109.0|9.0|Annual Review of Pharmacology and Toxicology|MOLECULAR MECHANISMS OF GENETIC POLYMORPHISMS OF DRUG METABOLISM
2004|199.0|9.0|Nature|Moving towards individualized medicine with pharmacogenomics
2005|175.0|9.0|Proceedings of the National Academy of Sciences of the United States of America|Quantitative high-throughput analysis of DNA methylation patterns by base-specific cleavage and mass spectrometry
2006|183.0|8.0|Journal of Clinical Virology|Evidence of human coronavirus HKU1 and human bocavirus in Australian children
2007|250.0|9.0|Pharmacology & Therapeutics|Influence of cytochrome P450 polymorphisms on drug therapies: Pharmacogenetic, pharmacoepigenetic and clinical aspects
2008|279.0|9.0|Mayo Clinic Proceedings|Non-small cell lung cancer: epidemiology, risk factors, treatment, and survivorship.
2009|285.0|10.0|Nature Biotechnology|Dynamic modularity in protein interaction networks predicts breast cancer outcome.
2010|221.0|9.0|Gastroenterology|Replicated Association Between an IL28B Gene Variant and a Sustained Response to Pegylated Interferon and Ribavirin
